home,away,predict_kp,date,draft_kings,line,home_cover,percent_chance,bet
Denver,Oral Roberts,-10,2021-01-16,-10.0,-10.256203654922633,0.0,0.6685832608605686,Oral Roberts
UCLA,Washington,14,2021-01-16,15.0,16.158800414251285,1.0,0.6651155179305043,UCLA
La Salle,Davidson,-5,2021-01-16,-8.5,-10.225780274330734,0.0,0.6647014157579478,Davidson
Southern Miss,Middle Tennessee,2,2021-01-16,2.5,2.9863322465508126,1.0,0.6597303645869785,Southern Miss
Delaware St.,Norfolk St.,-9,2021-01-16,-10.0,-9.714871555508129,0.0,0.6457985750686377,Norfolk St.
St. John's,Marquette,-2,2021-01-16,-2.5,-3.5245543886698307,0.0,0.6427033594438825,Marquette
Oakland,Youngstown St.,2,2021-01-16,3.0,0.5570155600823874,0.0,0.6401512642645093,Youngstown St.
USC,Washington St.,14,2021-01-16,12.5,14.787267858837804,1.0,0.6382873002142295,USC
Akron,Toledo,-5,2021-01-16,-3.5,-7.108869340801622,0.0,0.6345694322938531,Toledo
Vermont,Maine,17,2021-01-16,17.0,17.97447289189689,1.0,0.6342121173126233,Vermont
San Jose St.,Colorado St.,-18,2021-01-16,-19.5,-13.458074229647313,0.0,0.6169173677795149,Colorado St.
Stetson,Liberty,-5,2021-01-16,-7.0,-7.771301725948977,0.0,0.609980349051527,Liberty
Minnesota,Michigan,-4,2021-01-16,-5.5,-6.2649692274123545,0.0,0.6084667629858189,Michigan
Illinois,Ohio St.,5,2021-01-16,6.5,2.2878683980538703,0.0,0.6073898947432366,Ohio St.
Morgan St.,Coppin St.,6,2021-01-16,7.5,8.636443409592783,1.0,0.6046112353674754,Morgan St.
Bucknell,Lehigh,4,2021-01-16,4.0,2.494380131025121,0.0,0.5954663142157552,Lehigh
Manhattan,Niagara,-2,2021-01-16,-1.5,-5.641037220318314,0.0,0.5901239993898251,Niagara
LSU,South Carolina,8,2021-01-16,7.5,9.22040999090714,1.0,0.5867783891558034,LSU
Colorado,Stanford,6,2021-01-16,7.5,6.337515381650714,1.0,0.5848312104338962,Colorado
Furman,East Tennessee St.,9,2021-01-16,10.0,9.922439979937248,1.0,0.5766554114754648,Furman
Butler,Creighton,-9,2021-01-16,-8.0,-11.764559687874911,0.0,0.5757256981243772,Creighton
Texas Southern,Grambling St.,7,2021-01-16,6.5,8.312855289540192,1.0,0.5746684572362527,Texas Southern
Hawaii,Cal St. Bakersfield,-2,2021-01-16,1.0,-3.2040242993803822,0.0,0.5743978064387258,Cal St. Bakersfield
