home,away,predict_kp,date,draft_kings,line,home_cover,percent_chance,bet
North Florida,Kennesaw St.,9,2021-01-22,8.0,12.057735015757952,1.0,0.648883043202562,North Florida
Dixie St.,Grand Canyon,-9,2021-01-22,-11.0,-11.41958663071738,0.0,0.6436185498286067,Grand Canyon
UT Arlington,Little Rock,-1,2021-01-22,1.0,-1.4576176031687886,0.0,0.6233710009622251,Little Rock
Western Illinois,South Dakota,-8,2021-01-22,-7.0,-8.839621620341877,0.0,0.6211434145894277,South Dakota
Quinnipiac,Niagara,1,2021-01-22,-1.0,-2.9759827285082316,0.0,0.6093909501542925,Niagara
Youngstown St.,Illinois Chicago,1,2021-01-22,-1.5,2.5032421390455646,1.0,0.6048227156158774,Youngstown St.
South Dakota St.,North Dakota,15,2021-01-22,14.5,17.232175445286952,1.0,0.5999690622771777,South Dakota St.
Cal St. Northridge,UC Santa Barbara,-9,2021-01-22,-8.5,-8.577745369111671,0.0,0.5968755467312614,UC Santa Barbara
North Dakota St.,Denver,14,2021-01-22,13.5,14.102045085362374,1.0,0.5944494145487765,North Dakota St.
Lipscomb,Florida Gulf Coast,5,2021-01-22,6.0,6.689867877738958,1.0,0.5943721727469642,Lipscomb
Oakland,Detroit,1,2021-01-22,1.0,0.13111644609039885,0.0,0.584227298008972,Detroit
Central Connecticut,Mount St. Mary's,-5,2021-01-22,-5.5,-6.330766210928392,0.0,0.5813116110302803,Mount St. Mary's
Louisiana,Arkansas St.,10,2021-01-22,9.0,7.243759704765036,0.0,0.5736493948443495,Arkansas St.
UC Irvine,Cal Poly,18,2021-01-22,16.5,17.305066627779947,1.0,0.572337461655125,UC Irvine
Cal St. Fullerton,Hawaii,-3,2021-01-22,-4.0,-3.16554301845456,0.0,0.5701562620136134,Hawaii
Louisiana Monroe,Texas St.,-7,2021-01-22,-5.5,-9.071794486922688,0.0,0.5635682477795843,Texas St.
South Alabama,Georgia Southern,5,2021-01-22,2.5,5.8878812430432355,1.0,0.5627129295713009,South Alabama
IUPUI,Wright St.,-11,2021-01-22,-12.5,-10.918054457255938,0.0,0.5550581352208053,Wright St.
FIU,Marshall,-8,2021-01-22,-8.0,-6.9244243450288145,0.0,0.5506730830699129,Marshall
North Alabama,Jacksonville,5,2021-01-22,4.0,3.671828411600597,0.0,0.5480134585524017,Jacksonville
Coastal Carolina,Troy,10,2021-01-22,11.5,11.321749996964396,1.0,0.5462676289514835,Coastal Carolina
Robert Morris,Northern Kentucky,2,2021-01-22,1.5,0.6620533976558214,0.0,0.5429796243053586,Northern Kentucky
Cleveland St.,Milwaukee,5,2021-01-22,4.0,3.964398108477223,1.0,0.5396619281527739,Cleveland St.
Sacred Heart,St. Francis PA,-3,2021-01-22,1.5,-3.098919293741236,0.0,0.5377363092299281,St. Francis PA
Purdue,Michigan,-3,2021-01-22,-4.5,-5.1628168344604894,0.0,0.5341878459046551,Michigan
Boise St.,Fresno St.,14,2021-01-22,15.5,13.815134236443608,1.0,0.5327136416250178,Boise St.
UTEP,Louisiana Tech,-3,2021-01-22,-2.0,-3.0244385435750765,1.0,0.5307774536225801,UTEP
UC San Diego,UC Davis,-1,2021-01-22,-3.0,-0.636823645038664,0.0,0.5234811646133845,UC Davis
Ohio,Ball St.,3,2021-01-22,5.0,4.437966194838875,1.0,0.5225932675052563,Ohio
Wyoming,Nevada,-4,2021-01-22,-3.5,-3.645554217170119,0.0,0.5203735588598487,Nevada
Florida Atlantic,Charlotte,1,2021-01-22,1.5,-1.027782285211888,0.0,0.5142608121912968,Charlotte
Bellarmine,Stetson,2,2021-01-22,3.5,1.6352595201808349,1.0,0.5127455786199814,Bellarmine
UTSA,Southern Miss,5,2021-01-22,5.0,5.440516831804185,0.0,0.512713289504068,Southern Miss
UC Riverside,Cal St. Bakersfield,3,2021-01-22,4.5,0.49639304168354315,1.0,0.5115623936754675,UC Riverside
Green Bay,Purdue Fort Wayne,-2,2021-01-22,-1.0,-1.2688272975453891,0.0,0.509724936190243,Purdue Fort Wayne
UAB,Rice,10,2021-01-22,8.0,8.848226863391698,1.0,0.5089205105834468,UAB
Appalachian St.,Georgia St.,-4,2021-01-22,-4.5,-5.3745729118986,0.0,0.5069133069259939,Georgia St.
Air Force,San Diego St.,-14,2021-01-22,-14.5,-17.99569647979965,0.0,0.5017148217384527,San Diego St.
