home,away,predict_kp,date,draft_kings,line,home_cover,percent_chance,bet
Samford,Western Carolina,-2,2021-01-18,-2.0,-2.06050227539723,0.0,0.6201952989459012,Western Carolina
Connecticut,St. John's,10,2021-01-18,7.0,9.535282574267054,1.0,0.5972354136208714,Connecticut
Southern,Mississippi Valley St.,22,2021-01-18,22.5,22.57216767200625,1.0,0.5659501678750238,Southern
East Tennessee St.,VMI,7,2021-01-18,7.5,4.6786855208250095,0.0,0.551711055708616,VMI
Idaho St.,Sacramento St.,1,2021-01-18,1.5,-0.6025467664090947,1.0,0.5368963138698539,Idaho St.
UNLV,New Mexico,11,2021-01-18,12.0,11.490591663575,1.0,0.5327815947821467,UNLV
UNC Greensboro,The Citadel,14,2021-01-18,13.5,12.287811197912344,0.0,0.5284788239320841,The Citadel
La Salle,Saint Joseph's,2,2021-01-18,2.0,1.345912234480732,0.0,0.5195735104395967,Saint Joseph's
Louisville,Florida St.,1,2021-01-18,2.5,-0.6318594560557678,0.0,0.5177317403366042,Florida St.
Baylor,Kansas,10,2021-01-18,8.5,7.901942782270265,1.0,0.5170979077116159,Baylor
Prairie View A&M,Grambling St.,3,2021-01-18,5.0,2.8494221387054033,1.0,0.5169681982687134,Prairie View A&M
Alcorn St.,Arkansas Pine Bluff,3,2021-01-18,3.5,4.072595067138405,0.0,0.5112368404044758,Arkansas Pine Bluff
Towson,UNC Wilmington,-1,2021-01-18,-2.0,-0.622975256207372,0.0,0.5091597381445069,UNC Wilmington
Air Force,Wyoming,-1,2021-01-18,-3.0,-1.68472661729486,1.0,0.5041605346155883,Air Force
