home,away,predict_kp,date,draft_kings,line,home_cover,percent_chance,bet
Davidson,Fordham,15,2021-01-20,18.0,18.555262224052864,1.0,0.7251298115958477,Davidson
The Citadel,Mercer,-6,2021-01-20,-7.5,-4.255431350779578,0.0,0.6514966004491509,Mercer
Samford,Chattanooga,-2,2021-01-20,1.0,-2.4119479593524495,0.0,0.641156444630075,Chattanooga
Washington,Colorado,-12,2021-01-20,-13.0,-14.239636102143141,0.0,0.6218328233725665,Colorado
VMI,Furman,-10,2021-01-20,-11.5,-9.459708807897403,0.0,0.6115870761117457,Furman
Valparaiso,Loyola Chicago,-11,2021-01-20,-11.5,-14.946252214418525,0.0,0.6111759037433966,Loyola Chicago
Houston,Tulsa,12,2021-01-20,12.5,11.187722192580718,1.0,0.6070668953001968,Houston
St. Bonaventure,VCU,3,2021-01-20,2.0,2.658119964950952,1.0,0.5940987879231844,St. Bonaventure
Illinois St.,Bradley,-8,2021-01-20,-9.0,-9.595576893985598,0.0,0.5884073404579788,Bradley
Georgia,Kentucky,-3,2021-01-20,-3.5,-3.101006485710858,0.0,0.5812868876219675,Kentucky
Wisconsin,Northwestern,10,2021-01-20,11.0,9.196489559394262,1.0,0.57269458515169,Wisconsin
Arkansas,Auburn,6,2021-01-20,6.5,4.455340454705048,0.0,0.5657605862951736,Auburn
Houston Baptist,Nicholls St.,-8,2021-01-20,-8.0,-6.723005780454802,0.0,0.5640698093794717,Nicholls St.
Longwood,High Point,3,2021-01-20,-2.0,2.1011093739852917,1.0,0.5546625733427096,Longwood
Creighton,Providence,9,2021-01-20,9.0,7.652496943204451,0.0,0.5484784756821182,Providence
Georgia Tech,Clemson,-1,2021-01-20,-1.5,-2.744136185494529,1.0,0.5411845230215526,Georgia Tech
Gardner Webb,UNC Asheville,2,2021-01-20,1.0,1.3803164656556497,0.0,0.5403787230687551,UNC Asheville
Western Carolina,East Tennessee St.,-1,2021-01-20,-1.5,-0.20469914305170178,0.0,0.5286678864548766,East Tennessee St.
Boise St.,Fresno St.,13,2021-01-20,14.0,12.496024173710307,1.0,0.5207013461555654,Boise St.
New Orleans,Texas A&M Corpus Chris,3,2021-01-20,4.0,3.4579269106054333,0.0,0.5148970083356261,Texas A&M Corpus Chris
North Carolina,Wake Forest,12,2021-01-20,11.5,10.2381062543413,0.0,0.5132594448237429,Wake Forest
Stephen F. Austin,Northwestern St.,12,2021-01-20,15.5,11.802744457105188,0.0,0.5123341358698541,Northwestern St.
George Mason,Saint Joseph's,6,2021-01-20,8.0,4.797062521757621,0.0,0.5102889331699711,Saint Joseph's
Sam Houston St.,Abilene Christian,-4,2021-01-20,-2.5,-3.6643317115672893,0.0,0.5091067577763695,Abilene Christian
McNeese St.,Southeastern Louisiana,1,2021-01-20,2.5,2.0619344407750155,0.0,0.5088911448166114,Southeastern Louisiana
Campbell,Radford,1,2021-01-20,-2.0,-0.4727495269570916,0.0,0.5064211142306534,Radford
Presbyterian,Winthrop,-16,2021-01-20,-16.0,-15.339174465944513,0.0,0.5056577145654495,Winthrop
Duquesne,Rhode Island,-3,2021-01-20,-4.5,-4.481752633121207,0.0,0.5004568175053767,Rhode Island
