home,away,predict_kp,date,conf_x,adj_off_x,adj_def_x,adj_tempo_x,poss_off_x,poss_def_x,fg_off_x,fg_def_x,turnover_off_x,turnover_def_x,reb_off_x,reb_def_x,three_off_x,three_def_x,experience_x,height_x,wins_five_x,wins_last_x,conf_y,adj_off_y,adj_def_y,adj_tempo_y,poss_off_y,poss_def_y,fg_off_y,fg_def_y,turnover_off_y,turnover_def_y,reb_off_y,reb_def_y,three_off_y,three_def_y,experience_y,height_y,wins_five_y,wins_last_y
Creighton,Villanova,-1,2021-02-13,BE,114.5,93.5,69.5,15.9,17.9,56.2,46.5,16.1,18.7,24.3,29.4,36.3,33.1,2.24,77.0,4,1,BE,120.8,95.2,64.6,18.4,17.3,55.3,52.7,13.6,20.0,28.9,25.3,38.7,37.1,1.89,77.9,4,1
LSU,Tennessee,-1,2021-02-13,SEC,119.2,101.0,70.4,16.2,16.8,53.5,49.6,16.9,20.1,31.2,32.3,34.4,30.5,1.06,77.6,2,1,SEC,109.4,86.5,67.1,17.4,17.3,50.8,45.1,17.3,23.4,30.7,27.3,34.5,29.7,1.56,77.5,4,1
Missouri,Arkansas,1,2021-02-13,SEC,111.6,94.5,69.3,16.6,17.1,51.1,47.1,19.0,17.7,28.9,29.3,30.7,31.3,2.49,77.6,3,0,SEC,111.5,91.9,72.8,15.8,15.9,51.1,47.5,17.0,20.5,33.1,25.1,33.9,31.7,1.56,78.0,4,1
West Virginia,Oklahoma,3,2021-02-13,B12,116.5,94.6,69.2,17.3,16.5,49.1,49.0,17.2,20.3,36.5,31.1,37.4,31.1,1.86,77.2,4,1,B12,112.4,92.3,67.8,17.1,17.4,50.9,48.3,15.5,19.6,29.0,26.9,33.7,37.0,2.07,77.0,4,1
Drake,Loyola Chicago,-3,2021-02-13,MVC,111.1,96.2,67.9,17.3,17.5,55.3,45.9,16.5,19.8,34.5,22.3,37.5,29.6,2.05,76.2,4,1,MVC,111.6,89.0,65.5,17.8,18.6,57.8,46.3,17.8,22.3,24.2,21.8,35.8,31.5,2.23,76.2,5,1
Arizona,Oregon,2,2021-02-13,P12,114.2,96.6,68.4,16.6,18.1,51.2,48.8,17.6,18.7,35.4,23.4,38.0,34.2,1.28,78.7,2,1,P12,111.8,94.2,68.9,16.6,17.2,53.1,48.2,17.7,21.1,29.7,24.8,35.8,31.9,2.3,77.3,3,1
Xavier,Connecticut,2,2021-02-13,BE,111.3,95.1,68.4,16.3,17.6,54.6,45.3,17.2,16.7,27.4,27.2,36.4,32.2,1.95,77.2,3,1,BE,110.8,94.3,64.5,19.2,17.3,48.9,47.8,18.7,20.5,36.9,30.0,34.5,32.5,1.91,77.8,1,0
Michigan St.,Iowa,-7,2021-02-13,B10,107.0,93.1,68.9,16.7,17.1,48.5,47.2,19.6,16.1,31.2,25.9,32.7,30.9,1.71,77.9,2,1,B10,126.2,99.3,69.9,15.9,17.5,55.2,49.1,13.3,17.0,33.4,31.2,38.9,34.9,1.66,77.9,2,1
Ohio St.,Indiana,6,2021-02-13,B10,121.1,95.4,67.0,18.1,17.2,52.8,47.8,15.2,15.6,29.9,25.9,35.2,33.1,1.99,77.5,5,1,B10,110.8,91.4,65.9,18.1,17.3,50.0,48.1,16.8,17.7,25.0,25.3,34.6,33.7,1.35,77.2,3,1
N.C. State,Duke,-2,2021-02-13,ACC,109.4,97.5,69.0,16.7,17.5,52.9,51.9,18.8,22.8,29.5,30.9,36.1,35.3,1.7,77.0,2,0,ACC,114.4,97.5,69.6,16.7,16.9,52.6,53.4,18.8,19.4,32.8,25.7,34.3,38.9,0.88,77.1,2,0
Kentucky,Auburn,2,2021-02-13,SEC,106.1,91.5,67.4,17.3,17.1,46.3,46.4,20.9,16.6,33.0,29.2,31.8,31.2,0.95,78.9,1,0,SEC,111.9,97.2,71.9,16.1,16.3,52.6,49.1,21.9,19.2,33.8,30.5,33.5,31.3,0.76,78.7,2,1
South Carolina,Mississippi,-1,2021-02-13,SEC,106.3,95.7,73.7,15.5,16.7,48.2,50.9,20.7,22.7,35.3,32.5,31.0,34.3,1.65,77.5,2,0,SEC,106.5,90.8,65.3,17.9,17.1,49.1,49.4,20.0,24.5,34.1,26.3,28.5,37.3,1.98,77.1,3,1
Stanford,Utah,3,2021-02-13,P12,106.3,91.4,69.8,16.7,17.3,51.2,47.1,21.1,20.2,26.9,28.2,30.6,33.3,1.33,78.8,2,0,P12,110.7,97.4,66.8,17.9,17.7,51.9,49.7,17.4,20.6,25.7,30.1,34.3,35.3,1.37,77.5,4,1
Virginia,North Carolina,7,2021-02-13,ACC,116.0,90.5,59.9,20.0,18.8,57.9,47.7,15.4,16.2,22.2,21.5,39.5,33.0,1.9,77.8,4,1,ACC,109.8,92.8,70.5,15.8,17.7,48.4,50.3,21.0,18.9,40.0,24.5,32.0,36.3,1.12,78.9,4,1
Rutgers,Northwestern,8,2021-02-13,B10,110.6,91.2,67.7,17.0,17.6,51.7,48.1,16.2,19.5,29.4,29.5,33.1,32.9,2.0,77.9,4,0,B10,107.8,95.7,69.4,16.1,18.1,51.9,50.5,16.0,16.9,19.0,26.1,35.2,34.1,1.51,77.9,0,0
DePaul,Providence,-2,2021-02-13,BE,101.2,95.6,70.9,15.8,18.0,47.2,48.6,21.7,20.6,32.7,29.5,31.6,30.1,1.91,76.8,1,0,BE,109.4,97.8,66.1,18.2,17.4,49.1,49.8,16.9,16.8,30.3,29.6,32.6,30.5,1.86,78.1,2,1
Pepperdine,Saint Mary's,-2,2021-02-13,WCC,106.0,100.1,71.0,15.6,17.4,49.8,50.8,17.4,18.1,23.0,26.8,32.1,28.9,1.94,76.8,3,1,WCC,105.5,94.1,62.5,20.2,16.2,49.8,46.9,16.6,17.9,27.4,21.1,32.7,35.0,1.57,77.7,2,1
Louisiana Tech,UAB,3,2021-02-13,CUSA,102.8,93.8,69.6,16.6,17.1,49.8,46.0,18.3,18.8,26.7,23.5,33.1,30.0,2.12,76.2,4,1,CUSA,103.9,95.2,67.0,17.4,17.9,50.0,44.6,14.7,23.7,28.5,25.8,30.8,29.7,2.28,76.8,4,0
Washington St.,USC,-8,2021-02-13,P12,100.8,93.6,68.7,17.7,16.8,48.7,45.6,21.4,18.5,29.6,27.2,35.5,30.9,1.1,78.7,3,1,P12,112.5,89.3,67.4,17.3,18.1,51.7,43.9,18.1,17.6,37.1,27.3,33.0,31.4,1.72,79.5,5,1
Georgetown,Butler,2,2021-02-13,BE,105.3,97.7,69.5,16.3,16.9,49.0,49.0,21.5,14.8,31.9,25.7,34.9,34.2,2.15,78.1,2,0,BE,103.1,95.6,64.5,19.5,17.4,48.1,52.8,17.0,18.7,25.9,22.6,33.8,36.3,1.75,76.5,2,1
Missouri St.,Bradley,2,2021-02-13,MVC,105.0,99.9,69.1,17.3,17.2,52.5,47.5,18.0,15.0,22.7,23.6,31.9,33.8,1.64,77.5,3,1,MVC,102.3,96.9,66.5,16.9,18.9,49.9,48.4,19.6,18.7,29.1,26.6,31.9,37.0,1.62,77.3,2,1
Loyola Marymount,Pacific,3,2021-02-13,WCC,102.2,97.1,67.8,17.7,17.1,49.7,47.9,24.0,18.5,32.8,20.3,31.8,34.4,1.8,78.3,2,1,WCC,102.2,96.8,66.6,18.9,16.3,45.4,51.4,16.8,19.8,28.7,24.1,30.3,35.0,2.26,77.0,1,1
UC Riverside,UC Irvine,3,2021-02-13,BW,101.3,95.5,66.9,19.4,16.6,53.8,42.6,18.8,16.6,27.7,23.5,39.5,30.0,2.0,78.7,4,1,BW,100.7,95.7,66.9,18.3,17.3,46.5,46.7,20.3,19.2,32.4,25.1,32.4,34.3,0.99,77.5,2,0
Mercer,UNC Greensboro,-1,2021-02-13,SC,106.1,105.4,68.8,16.9,17.0,54.7,50.6,18.1,17.5,27.3,27.9,36.5,31.8,1.94,77.2,2,1,SC,100.8,94.7,68.3,16.7,16.8,47.6,46.7,17.0,21.9,32.8,26.8,28.8,29.9,1.72,77.2,4,1
Oral Roberts,South Dakota St.,-4,2021-02-13,Sum,107.7,109.2,70.2,16.2,17.2,51.8,50.9,16.5,17.7,26.3,32.5,37.7,33.4,1.62,76.5,3,1,Sum,109.3,102.9,70.8,15.8,17.3,54.8,48.0,15.8,15.0,21.5,23.2,40.5,30.6,1.55,77.3,4,1
East Tennessee St.,Wofford,2,2021-02-13,SC,103.0,100.0,65.7,17.9,17.2,50.7,50.7,20.6,20.1,31.7,26.8,35.1,34.4,1.94,77.2,2,0,SC,106.3,102.8,66.3,17.9,17.3,55.0,52.2,19.6,18.8,27.1,29.5,36.0,35.0,1.47,75.5,3,0
San Francisco,Gonzaga,-17,2021-02-13,WCC,106.7,97.1,68.4,17.6,16.5,52.2,47.3,17.8,19.8,25.5,24.5,35.8,29.7,2.02,77.8,2,0,WCC,124.3,88.5,74.6,14.2,17.5,60.5,47.2,15.8,20.3,31.5,23.3,34.9,34.3,1.51,78.2,5,1
Army,Colgate,-4,2021-02-13,Pat,99.2,100.5,68.6,16.8,16.8,53.0,51.1,18.4,20.5,22.9,25.5,33.0,34.0,1.99,75.1,3,1,Pat,108.3,101.1,70.4,15.6,17.4,56.0,43.3,13.4,17.5,28.1,25.5,38.3,24.4,1.84,76.5,5,1
Iowa St.,Kansas,-10,2021-02-13,B12,103.4,100.9,70.4,16.7,16.8,49.3,52.1,20.6,18.9,23.1,35.9,32.9,32.4,1.83,76.3,0,0,B12,112.1,91.8,68.8,16.2,17.7,50.4,48.3,17.9,19.3,32.2,26.3,34.9,34.3,1.48,78.2,3,1
Syracuse,Boston College,9,2021-02-13,ACC,112.5,96.9,69.3,15.7,17.6,50.3,48.0,16.0,21.5,29.2,32.2,32.1,30.9,1.56,78.0,3,1,ACC,105.9,100.2,70.7,16.6,16.8,50.3,54.2,18.7,18.9,24.1,28.6,33.0,33.5,1.8,76.8,1,0
Washington,UCLA,-9,2021-02-13,P12,103.9,103.6,70.5,16.5,17.7,48.3,50.8,19.6,17.1,24.4,38.3,32.4,34.3,1.92,77.9,1,0,P12,113.6,97.0,64.1,18.4,18.1,50.4,50.0,16.3,18.7,32.6,25.3,35.4,33.5,1.48,77.4,2,0
James Madison,Hofstra,2,2021-02-13,CAA,102.3,103.0,71.3,16.1,17.3,50.1,47.9,17.3,21.4,27.4,28.6,33.5,29.8,1.36,76.3,5,1,CAA,106.1,105.7,67.8,17.0,18.0,50.2,51.5,17.7,18.0,30.1,27.7,31.9,33.5,1.69,76.7,4,1
Mississippi St.,Vanderbilt,8,2021-02-13,SEC,108.1,95.3,66.0,18.1,17.3,50.4,47.6,21.3,18.5,36.8,26.4,36.8,32.9,1.26,78.9,2,0,SEC,107.2,103.2,68.5,17.7,16.3,51.3,53.7,20.1,19.3,30.6,27.1,34.8,35.9,1.41,77.1,1,0
Cleveland St.,Detroit,2,2021-02-13,Horz,99.8,99.4,66.8,17.7,17.2,50.4,48.2,19.9,20.9,30.7,32.7,32.2,30.2,2.07,76.9,4,0,Horz,108.0,107.2,67.4,17.7,17.1,54.1,54.6,16.9,18.8,26.9,28.9,39.0,37.5,2.43,77.6,5,1
Texas,TCU,12,2021-02-13,B12,113.4,92.0,68.9,16.2,18.1,51.8,45.6,19.2,17.5,31.8,27.2,34.2,31.2,1.89,77.9,2,1,B12,107.9,100.6,67.2,18.4,16.7,51.4,50.0,20.1,16.6,30.0,27.9,35.2,32.3,1.15,77.7,2,1
