home,away,predict_kp,date,conf_x,adj_off_x,adj_def_x,adj_tempo_x,poss_off_x,poss_def_x,fg_off_x,fg_def_x,turnover_off_x,turnover_def_x,reb_off_x,reb_def_x,three_off_x,three_def_x,experience_x,height_x,wins_five_x,wins_last_x,conf_y,adj_off_y,adj_def_y,adj_tempo_y,poss_off_y,poss_def_y,fg_off_y,fg_def_y,turnover_off_y,turnover_def_y,reb_off_y,reb_def_y,three_off_y,three_def_y,experience_y,height_y,wins_five_y,wins_last_y
Texas,Kansas,2,2021-02-23,B12,114.7,93.6,68.7,16.3,18.1,52.7,45.9,19.3,17.6,31.7,27.0,35.0,32.3,1.91,77.9,2,0,B12,111.3,90.6,68.3,16.3,18.0,49.8,47.4,17.7,20.1,31.7,26.4,34.2,33.3,1.47,78.3,5,1
Auburn,Florida,-1,2021-02-23,SEC,112.9,99.0,71.7,16.1,16.3,51.8,49.8,21.7,18.9,34.8,31.6,33.3,32.7,0.76,78.7,1,0,SEC,112.7,94.2,68.9,16.1,17.1,52.7,47.5,20.0,20.5,31.3,31.4,35.5,32.0,1.55,77.3,3,1
Virginia Tech,Georgia Tech,2,2021-02-23,ACC,111.6,94.2,65.9,18.1,18.0,52.0,48.2,17.2,17.4,28.6,23.4,34.3,32.5,1.58,76.3,3,1,ACC,113.5,96.5,67.4,17.5,17.5,53.9,52.2,16.0,22.1,22.9,28.9,35.8,37.2,2.56,76.2,3,1
VCU,Saint Louis,3,2021-02-23,A10,106.5,90.3,69.6,15.8,17.7,51.3,45.5,21.2,24.3,29.4,31.1,33.6,29.4,1.26,77.3,4,0,A10,110.4,94.9,68.6,16.4,17.9,52.1,47.0,16.9,21.1,35.5,23.0,34.3,32.9,1.84,76.2,4,0
Louisville,Notre Dame,3,2021-02-23,ACC,110.1,94.5,65.9,17.7,18.2,48.9,48.3,18.3,17.4,31.5,26.7,30.4,31.5,0.98,77.6,2,0,ACC,116.5,101.5,66.4,17.8,18.3,55.1,50.1,15.5,12.6,20.6,28.3,38.1,36.3,2.21,78.6,3,0
Georgia,LSU,-5,2021-02-23,SEC,109.4,99.9,72.7,15.6,16.5,50.9,52.4,21.8,22.2,33.9,32.8,31.4,33.6,1.85,75.8,2,0,SEC,121.4,101.4,70.3,16.2,16.8,54.1,48.8,16.8,19.7,31.5,32.7,35.1,30.2,1.06,77.6,3,1
Missouri,Mississippi,4,2021-02-23,SEC,112.8,96.5,68.6,16.8,16.8,51.8,47.8,18.7,17.5,28.2,28.9,31.6,32.3,2.46,77.6,2,1,SEC,106.5,92.1,65.4,17.8,17.1,49.1,49.3,20.4,24.4,33.8,27.4,28.5,36.8,1.98,77.1,4,0
Michigan St.,Illinois,-9,2021-02-23,B10,108.0,95.0,68.8,16.9,17.2,48.5,48.1,19.5,15.4,31.2,26.1,33.3,31.6,1.71,77.9,3,1,B10,119.0,90.2,69.8,16.6,17.0,56.9,46.3,18.5,16.7,32.3,22.6,39.3,33.4,1.64,77.1,5,1
Georgetown,Connecticut,-3,2021-02-23,BE,106.8,98.0,69.8,16.5,16.9,50.2,48.8,22.4,15.4,32.5,26.0,36.8,34.1,2.14,78.1,3,1,BE,111.9,94.5,65.0,18.9,17.5,48.9,47.2,18.4,19.3,36.2,29.7,34.7,32.2,1.87,77.9,2,0
Ohio,Akron,1,2021-02-23,MAC,111.1,104.1,68.7,16.9,16.7,55.5,52.2,17.0,20.7,28.1,26.9,35.2,35.5,1.45,77.0,4,1,MAC,109.9,100.9,69.0,17.1,17.4,54.2,48.3,18.1,17.3,29.2,26.7,35.4,31.1,1.94,75.6,4,1
Nebraska,Penn St.,-7,2021-02-23,B10,100.5,94.8,71.3,15.2,18.0,46.0,49.7,18.7,18.7,24.1,28.4,31.8,31.7,1.94,78.3,1,0,B10,113.0,94.9,68.8,16.6,18.1,48.1,52.9,16.3,20.5,31.8,27.5,34.3,33.2,2.23,76.1,1,0
Villanova,St. John's,11,2021-02-23,BE,121.7,97.7,64.3,18.6,17.3,54.2,53.1,13.4,19.4,29.0,25.2,37.4,36.9,1.9,77.9,3,1,BE,113.0,100.6,73.2,14.9,17.2,51.1,53.2,16.8,22.5,29.4,30.7,35.9,34.7,1.48,77.0,3,0
TCU,West Virginia,-9,2021-02-23,B12,107.3,102.2,66.8,18.4,16.8,50.4,50.0,20.4,16.7,29.5,28.3,34.5,32.3,1.16,77.7,2,0,B12,118.4,96.8,69.1,17.4,16.6,49.1,50.0,16.4,20.0,35.8,30.6,37.4,32.6,1.84,77.2,4,1
Richmond,Massachusetts,7,2021-02-23,A10,113.5,98.9,68.5,16.5,17.8,53.9,52.8,15.0,22.0,20.5,28.7,34.1,32.1,2.46,76.2,3,1,A10,106.4,99.6,72.3,16.5,16.1,48.4,51.0,16.2,21.3,25.6,23.5,32.4,33.0,1.05,76.9,4,1
San Diego,Pacific,-2,2021-02-23,WCC,98.7,100.8,70.0,16.8,16.0,46.4,52.3,18.2,18.6,19.2,26.2,32.2,38.2,2.09,77.6,2,0,WCC,104.1,99.3,65.8,18.7,16.9,47.5,52.5,16.8,19.1,28.1,23.4,30.1,37.4,2.26,77.0,2,1
Central Michigan,Miami OH,-3,2021-02-23,MAC,101.2,109.1,71.6,15.7,16.8,48.4,53.1,18.8,19.3,28.9,33.3,32.3,34.4,2.14,77.3,0,0,MAC,107.2,107.7,65.9,18.5,16.8,50.3,53.3,16.3,18.1,28.1,29.6,34.9,35.9,1.92,75.0,1,1
Arizona St.,Washington,8,2021-02-23,P12,109.3,101.1,72.6,16.1,17.1,49.7,52.3,14.8,21.3,20.9,31.2,33.6,36.3,1.89,76.5,2,0,P12,102.6,102.7,70.2,16.6,17.7,48.2,50.3,19.3,17.6,23.6,36.2,33.3,33.8,1.91,77.8,2,1
Kansas St.,Oklahoma,-12,2021-02-23,B12,101.2,103.3,65.2,18.8,17.4,47.7,54.4,22.6,18.7,30.0,27.5,30.2,38.2,1.02,76.9,1,1,B12,113.3,93.1,67.0,17.2,17.5,50.7,47.8,15.2,18.5,28.8,27.2,33.3,35.9,2.08,76.9,4,1
Eastern Michigan,Bowling Green,-7,2021-02-23,MAC,97.6,105.9,67.9,17.1,16.8,44.4,59.8,18.0,19.2,25.2,30.9,26.3,38.6,2.32,76.3,0,0,MAC,107.8,103.2,70.2,16.1,16.8,48.2,52.0,14.0,19.5,29.5,29.7,32.3,34.2,1.81,76.3,2,1
Georgia St.,Appalachian St.,7,2021-02-23,SB,105.6,103.7,69.6,15.8,18.1,51.0,48.7,17.8,20.8,31.0,33.8,31.5,33.1,1.71,76.4,3,1,SB,100.7,105.2,65.5,18.2,17.8,47.6,51.1,18.1,20.2,27.6,28.6,31.5,33.4,1.86,76.3,1,0
Campbell,High Point,4,2021-02-23,BSth,102.6,109.6,64.3,18.6,17.7,55.6,52.3,18.3,21.6,18.3,31.1,37.0,30.8,1.78,75.4,5,1,BSth,98.4,107.6,66.2,18.5,16.9,47.1,52.3,18.7,20.2,31.7,27.8,30.5,35.0,1.2,76.3,1,0
Baylor,Iowa St.,26,2021-02-23,B12,123.7,88.9,68.5,16.2,17.4,59.1,47.0,17.4,25.9,37.9,29.8,43.9,31.8,1.96,76.6,5,1,B12,101.6,101.2,69.4,17.0,16.8,48.0,51.2,21.2,18.4,23.6,35.4,32.1,32.0,1.85,76.3,0,0
Northern Illinois,Buffalo,-13,2021-02-23,MAC,94.9,108.1,64.1,18.3,17.6,44.5,54.4,21.8,16.8,33.7,29.4,31.2,38.2,1.88,76.8,1,0,MAC,107.7,98.6,73.5,14.6,17.3,50.7,46.2,18.0,18.4,36.3,27.4,33.2,28.2,2.25,76.9,3,0
Liberty,North Alabama,15,2021-02-23,ASun,108.1,100.3,62.4,19.3,17.8,56.4,46.9,15.5,17.4,22.6,23.0,37.2,32.0,1.76,75.8,5,1,ASun,93.7,106.1,71.0,16.1,17.6,46.4,51.2,21.4,19.9,26.7,25.2,31.4,35.7,1.75,76.1,0,0
Prairie View A&M,Arkansas Pine Bluff,15,2021-02-23,SWAC,96.5,102.5,67.9,17.4,16.9,51.5,47.5,20.5,26.2,31.3,32.8,32.7,31.4,2.07,76.8,5,1,SWAC,91.2,115.4,67.4,18.5,15.8,41.6,54.5,22.5,17.7,27.5,32.9,30.1,41.3,2.26,75.8,0,0
Texas Southern,Mississippi Valley St.,27,2021-02-23,SWAC,99.3,106.0,70.3,16.4,16.2,47.2,48.7,22.4,17.6,32.1,26.7,29.2,33.6,2.54,77.9,4,0,SWAC,82.2,123.8,70.0,16.8,15.9,43.6,57.3,23.7,15.3,16.8,38.7,32.2,36.3,1.42,76.2,1,0
