home,away,predict_kp,date,conf_x,adj_off_x,adj_def_x,adj_tempo_x,poss_off_x,poss_def_x,fg_off_x,fg_def_x,turnover_off_x,turnover_def_x,reb_off_x,reb_def_x,three_off_x,three_def_x,experience_x,height_x,wins_five_x,wins_last_x,conf_y,adj_off_y,adj_def_y,adj_tempo_y,poss_off_y,poss_def_y,fg_off_y,fg_def_y,turnover_off_y,turnover_def_y,reb_off_y,reb_def_y,three_off_y,three_def_y,experience_y,height_y,wins_five_y,wins_last_y
Syracuse,Louisville,1,2021-02-03,ACC,112.2,96.3,69.7,15.6,17.5,51.1,46.9,16.1,20.5,28.4,31.7,31.7,29.7,1.55,77.9,3,1,ACC,110.3,92.5,66.3,17.7,18.4,50.2,46.8,18.1,17.6,31.2,25.5,31.9,30.9,0.98,77.5,2,1
Providence,Seton Hall,1,2021-02-03,BE,110.5,97.1,66.4,18.1,17.4,49.3,49.6,16.5,17.2,30.1,29.9,32.5,30.9,1.86,78.1,2,0,BE,113.9,97.9,67.8,17.1,17.7,52.8,51.0,18.9,17.8,28.4,28.3,34.1,38.4,2.37,79.2,1,0
Alabama,LSU,7,2021-02-03,SEC,113.8,89.1,74.1,14.3,17.6,52.0,45.5,18.4,21.2,30.4,29.8,36.0,30.6,1.89,77.8,4,0,SEC,117.9,100.5,70.6,16.1,16.9,53.8,48.8,17.3,19.9,32.3,32.5,34.3,30.4,1.06,77.6,2,0
Missouri,Kentucky,4,2021-02-03,SEC,111.9,94.1,69.5,16.5,17.2,51.3,46.1,19.0,17.3,30.6,29.9,30.1,29.5,2.49,77.6,4,1,SEC,105.6,90.3,66.5,17.5,17.3,45.7,45.8,21.4,17.4,34.7,30.5,29.0,30.2,0.94,78.9,1,0
N.C. State,Virginia,-6,2021-02-03,ACC,109.5,97.6,69.4,16.6,17.4,52.9,52.1,17.7,23.7,28.9,32.3,36.2,35.6,1.74,77.0,1,0,ACC,115.5,91.0,59.9,19.8,18.9,57.7,48.3,14.0,16.3,23.1,20.1,39.3,34.4,1.86,77.7,4,0
Rhode Island,VCU,1,2021-02-03,A10,105.5,93.1,69.5,16.9,16.9,50.6,46.2,21.1,18.0,29.3,26.0,32.8,31.4,1.92,76.4,3,0,A10,104.3,90.3,70.9,15.6,17.4,51.9,45.1,21.6,25.3,29.6,31.2,34.0,30.1,1.27,77.3,3,1
Pittsburgh,Virginia Tech,-5,2021-02-03,ACC,105.5,95.9,69.5,16.7,16.9,47.7,48.1,18.1,18.6,35.0,27.3,32.1,30.2,1.23,77.7,2,0,ACC,110.4,91.5,66.5,17.9,18.0,52.1,47.7,17.8,17.9,29.6,23.5,34.6,32.2,1.62,76.3,4,1
Tulsa,SMU,-1,2021-02-03,Amer,103.7,94.5,65.8,17.4,18.1,49.1,46.6,20.2,22.1,26.5,34.4,28.9,32.4,2.27,77.2,2,1,Amer,111.4,97.1,68.5,16.0,17.7,52.1,47.0,18.5,19.7,29.3,28.6,34.9,35.1,2.16,77.4,3,0
St. John's,Villanova,-8,2021-02-03,BE,109.9,99.1,73.7,14.7,17.2,50.6,53.8,16.9,23.1,29.4,30.4,35.0,36.6,1.49,77.0,4,1,BE,119.8,93.5,64.8,18.3,17.3,54.8,52.6,12.3,19.6,27.5,22.2,37.5,36.5,1.89,77.9,5,1
TCU,Oklahoma St.,-5,2021-02-03,B12,106.5,98.8,67.3,18.3,16.8,51.8,50.0,20.6,17.0,28.5,28.5,35.2,31.5,1.13,77.7,0,0,B12,110.5,92.5,70.7,15.7,17.4,52.3,47.5,20.8,19.1,33.4,29.1,33.1,33.2,1.12,77.6,4,1
Florida,South Carolina,9,2021-02-03,SEC,114.4,94.4,70.1,16.1,17.3,54.2,47.9,19.6,21.2,32.5,32.0,38.3,33.9,1.51,77.3,4,1,SEC,107.3,96.8,73.4,15.3,17.2,49.4,51.4,20.9,22.2,36.3,31.8,33.8,33.3,1.64,77.5,1,0
Mercer,East Tennessee St.,1,2021-02-03,SC,106.3,105.6,70.3,16.7,16.8,55.3,50.4,17.9,16.0,27.8,27.4,36.5,33.1,1.96,77.3,3,0,SC,101.7,98.4,66.9,17.8,16.8,50.5,49.9,21.8,21.3,32.4,27.3,34.3,34.4,1.93,77.2,4,0
Memphis,UCF,9,2021-02-03,Amer,103.7,88.2,71.6,16.0,17.0,50.7,44.3,21.7,22.7,33.0,24.9,36.2,28.7,1.11,77.8,4,1,Amer,104.1,97.7,68.3,17.3,17.1,48.5,51.5,22.6,19.8,28.7,31.5,34.7,33.5,1.46,77.6,1,0
La Salle,Saint Louis,-10,2021-02-03,A10,100.2,101.6,68.4,16.9,17.4,50.6,50.9,21.5,20.7,24.4,29.7,35.2,30.5,1.35,76.6,2,0,A10,110.6,94.0,69.3,15.8,17.6,56.6,48.2,17.4,23.1,34.8,21.8,39.5,34.6,1.88,76.2,3,0
Creighton,Georgetown,14,2021-02-03,BE,116.1,93.9,69.4,15.9,17.9,56.7,46.1,15.5,17.9,24.3,30.3,36.9,32.8,2.22,77.0,3,1,BE,104.7,98.7,69.1,16.3,16.9,48.7,47.6,20.9,13.4,31.4,25.7,34.7,33.3,2.18,78.1,1,1
Western Carolina,Chattanooga,-1,2021-02-03,SC,99.9,106.4,70.5,16.6,16.9,51.1,53.9,19.6,16.9,24.7,24.8,31.5,35.1,1.77,76.1,1,1,SC,102.1,104.9,67.6,17.7,16.4,50.9,53.0,16.3,19.1,21.5,25.4,36.2,33.4,1.9,77.2,2,0
East Carolina,Houston,-16,2021-02-03,Amer,99.6,98.3,68.3,17.6,17.2,46.4,48.4,19.7,21.0,27.8,27.0,31.1,31.9,1.99,77.7,0,0,Amer,113.9,86.0,65.6,19.3,16.5,48.6,40.7,17.9,22.9,40.9,27.1,34.3,24.8,1.76,77.0,5,1
Wofford,VMI,7,2021-02-03,SC,106.4,102.3,65.7,18.0,17.4,55.3,51.3,20.0,18.5,28.8,30.0,36.2,34.6,1.51,75.5,4,1,SC,105.6,108.9,70.2,16.6,16.9,53.7,51.8,17.7,14.3,22.8,27.2,38.0,36.3,1.55,76.3,2,0
