home,away,predict_kp,date,conf_x,adj_off_x,adj_def_x,adj_tempo_x,poss_off_x,poss_def_x,fg_off_x,fg_def_x,turnover_off_x,turnover_def_x,reb_off_x,reb_def_x,three_off_x,three_def_x,experience_x,height_x,wins_five_x,wins_last_x,conf_y,adj_off_y,adj_def_y,adj_tempo_y,poss_off_y,poss_def_y,fg_off_y,fg_def_y,turnover_off_y,turnover_def_y,reb_off_y,reb_def_y,three_off_y,three_def_y,experience_y,height_y,wins_five_y,wins_last_y
Illinois,Iowa,1,2021-01-29,B10,117.1,92.2,70.9,16.5,16.7,57.3,46.4,18.5,16.3,33.3,22.2,39.7,33.6,1.62,77.0,3,1,B10,125.1,98.0,71.1,15.7,17.1,56.4,48.6,13.7,17.8,34.3,30.1,38.4,34.8,1.68,77.8,4,0
Richmond,Saint Louis,1,2021-01-29,A10,113.3,98.5,69.7,16.3,17.7,54.6,53.0,15.1,22.3,20.8,28.4,34.9,33.2,2.46,76.2,3,1,A10,111.1,94.4,69.5,15.8,17.6,56.6,48.2,17.4,23.1,34.8,21.8,39.5,34.6,1.88,76.2,3,0
Colorado St.,Boise St.,2,2021-01-29,MWC,109.0,95.9,70.5,16.4,17.4,56.2,46.9,19.7,20.2,20.5,26.0,39.1,29.2,1.19,75.8,4,1,MWC,109.8,96.5,69.5,16.0,17.8,53.1,46.1,15.6,21.2,30.9,21.0,33.6,29.7,2.05,78.2,4,0
Buffalo,Ohio,3,2021-01-29,MAC,106.7,100.6,74.7,14.4,17.1,51.1,45.6,18.2,17.2,35.4,29.1,33.9,26.9,2.34,76.9,3,1,MAC,109.8,104.8,69.7,16.9,17.0,54.9,52.9,16.3,20.8,28.3,27.6,36.3,35.9,1.43,77.0,3,1
Grand Canyon,New Mexico St.,1,2021-01-29,WAC,103.8,100.8,65.4,18.1,16.7,54.2,47.1,21.6,16.7,33.1,18.8,30.8,34.2,2.11,77.5,5,1,WAC,103.4,98.4,67.7,17.7,14.3,37.3,37.9,18.4,13.2,20.0,25.0,26.9,22.2,2.22,76.6,3,1
Rice,North Texas,-5,2021-01-29,CUSA,102.2,105.3,70.5,16.9,16.5,53.8,50.4,19.7,17.8,28.0,26.9,36.5,34.5,1.48,76.9,2,0,CUSA,104.0,96.0,64.9,17.6,17.6,55.4,44.6,20.0,20.9,25.5,26.6,39.4,30.6,2.33,77.0,3,1
UC Davis,UC Santa Barbara,-6,2021-01-29,BW,100.4,104.3,72.1,14.7,16.9,49.8,56.0,20.2,24.7,22.0,28.8,31.6,35.8,1.61,75.5,3,1,BW,107.0,98.8,66.9,17.2,17.7,53.3,47.2,15.1,22.5,27.7,24.4,35.8,31.6,2.31,77.4,5,1
Texas St.,Louisiana,4,2021-01-29,SB,100.8,99.5,64.2,19.3,17.3,53.7,49.8,21.6,23.9,26.5,27.9,41.6,33.8,2.38,75.7,5,1,SB,98.9,99.9,71.5,16.1,16.9,49.5,47.6,21.0,18.7,30.2,26.6,33.2,33.2,1.75,77.7,3,1
Hawaii,UC Irvine,-5,2021-01-29,BW,101.5,106.4,69.7,17.4,18.0,50.7,52.8,17.4,16.7,30.6,24.6,34.0,35.6,1.73,77.0,1,1,BW,102.3,96.4,68.1,18.3,16.5,47.4,46.7,20.6,19.3,32.4,23.9,34.2,31.7,0.97,77.5,5,1
Niagara,Monmouth,-2,2021-01-29,MAAC,99.3,106.0,65.3,18.4,18.4,45.8,48.9,15.2,19.9,22.5,27.6,31.1,33.4,2.48,75.6,2,0,MAAC,102.5,102.8,76.3,14.5,17.1,50.9,47.1,18.0,21.0,26.4,27.4,40.0,30.7,2.01,75.9,4,1
Youngstown St.,Detroit,-1,2021-01-29,Horz,104.7,112.2,67.9,17.4,17.9,47.1,55.9,15.6,18.1,34.7,32.1,28.1,38.0,1.63,76.4,1,1,Horz,104.0,107.7,68.2,17.4,16.7,51.4,55.0,17.8,18.9,26.8,29.2,36.7,39.2,2.46,77.6,3,1
