home,away,predict_kp,date,conf_x,adj_off_x,adj_def_x,adj_tempo_x,poss_off_x,poss_def_x,fg_off_x,fg_def_x,turnover_off_x,turnover_def_x,reb_off_x,reb_def_x,three_off_x,three_def_x,experience_x,height_x,wins_five_x,wins_last_x,conf_y,adj_off_y,adj_def_y,adj_tempo_y,poss_off_y,poss_def_y,fg_off_y,fg_def_y,turnover_off_y,turnover_def_y,reb_off_y,reb_def_y,three_off_y,three_def_y,experience_y,height_y,wins_five_y,wins_last_y
Illinois,Wisconsin,4,2021-02-06,B10,117.0,90.8,70.1,16.6,16.9,56.6,46.5,18.3,16.3,33.0,23.2,39.7,34.4,1.63,77.0,3,1,B10,113.1,89.3,64.9,18.5,17.8,51.4,46.0,13.8,17.2,24.1,23.0,37.6,31.9,2.39,78.0,3,1
Missouri,Alabama,-3,2021-02-06,SEC,111.7,93.9,70.0,16.5,17.2,51.0,46.6,18.8,17.7,30.0,29.2,31.0,30.5,2.49,77.7,4,1,SEC,113.0,87.7,74.3,14.3,17.5,52.0,44.8,18.6,20.9,30.3,29.0,35.5,30.3,1.88,77.8,4,1
Oklahoma St.,Texas,-2,2021-02-06,B12,110.5,93.4,70.8,15.7,17.5,52.5,47.9,20.4,19.1,32.6,29.3,34.1,33.2,1.11,77.6,3,0,B12,114.2,91.3,69.3,16.2,18.1,53.2,45.3,19.1,17.0,31.8,27.1,35.0,30.2,1.9,78.0,2,0
West Virginia,Kansas,2,2021-02-06,B12,114.2,93.9,69.0,17.3,16.6,48.2,48.9,16.9,20.1,36.5,30.5,35.9,31.0,1.87,77.2,3,1,B12,111.4,91.3,68.2,16.3,18.0,49.9,48.7,17.7,19.6,31.4,26.3,34.2,34.8,1.47,78.2,2,1
Kentucky,Tennessee,-3,2021-02-06,SEC,105.3,90.3,66.9,17.5,17.2,46.3,45.8,21.5,17.3,33.8,30.0,30.2,31.0,0.93,78.9,1,0,SEC,108.2,86.1,65.9,17.6,17.7,50.2,45.1,17.1,23.9,31.2,27.1,34.5,30.2,1.59,77.5,2,0
USC,UCLA,4,2021-02-06,P12,112.8,91.5,67.9,17.2,18.0,52.0,44.3,18.0,17.6,36.8,27.7,33.3,32.7,1.73,79.6,4,1,P12,114.4,96.2,63.9,18.6,18.1,51.5,49.6,16.5,18.5,33.3,24.1,37.3,31.9,1.51,77.5,4,1
Duke,North Carolina,4,2021-02-06,ACC,112.6,94.3,69.3,16.6,17.1,51.2,51.8,18.9,20.0,32.6,24.8,32.7,36.7,0.88,77.0,2,0,ACC,108.7,92.1,70.4,15.8,17.7,47.6,49.6,21.0,18.9,40.0,24.2,30.2,35.8,1.11,78.9,3,0
Connecticut,Seton Hall,3,2021-02-06,BE,110.6,92.1,64.1,19.2,17.3,49.0,46.8,18.9,21.0,38.2,29.0,36.0,30.7,1.98,77.8,3,1,BE,113.5,96.3,67.4,17.2,17.8,52.2,50.5,18.6,18.2,28.5,28.4,33.0,38.1,2.37,79.1,2,1
Saint Louis,St. Bonaventure,2,2021-02-06,A10,110.3,95.2,69.8,15.7,17.6,55.2,49.0,17.5,22.8,35.3,22.5,37.4,35.3,1.88,76.2,2,0,A10,109.8,93.8,66.8,17.9,17.7,48.8,45.3,17.7,20.4,35.2,28.9,30.5,29.1,1.93,77.3,5,1
Colorado,Arizona,6,2021-02-06,P12,115.1,94.0,66.9,17.0,18.6,52.3,48.1,16.1,20.5,30.6,24.7,37.0,33.7,2.31,77.3,3,0,P12,112.6,95.7,68.8,16.4,18.0,51.2,48.3,17.7,19.4,35.0,23.4,37.8,33.3,1.3,78.7,3,0
Clemson,Syracuse,2,2021-02-06,ACC,105.4,90.5,65.3,17.6,18.3,47.9,49.5,18.9,23.2,26.4,28.0,30.9,34.7,1.77,77.0,2,1,ACC,111.9,95.9,69.7,15.6,17.5,51.1,46.9,16.1,20.5,28.4,31.7,31.7,29.7,1.55,77.9,3,1
Marquette,Creighton,-5,2021-02-06,BE,109.1,98.0,67.2,18.1,17.0,51.6,47.0,20.8,15.4,31.4,28.5,34.8,35.7,1.73,78.1,2,1,BE,116.0,95.2,69.8,15.8,17.9,56.7,46.7,15.7,17.9,24.1,30.1,37.0,33.6,2.22,77.0,3,0
Georgia Tech,Notre Dame,3,2021-02-06,ACC,110.4,96.0,67.5,17.6,16.9,52.9,51.1,15.9,21.6,24.1,29.9,36.6,36.7,2.56,76.3,2,0,ACC,113.1,99.4,66.9,17.8,18.4,54.2,49.5,15.8,12.6,20.0,27.6,38.7,35.5,2.16,78.7,4,1
Auburn,Mississippi,4,2021-02-06,SEC,111.5,97.0,72.0,16.1,16.1,52.8,48.7,21.8,19.1,33.6,30.7,32.9,31.0,0.77,78.7,2,0,SEC,103.8,90.6,65.9,17.6,17.1,48.0,48.4,20.1,24.9,33.8,26.2,27.7,36.7,1.98,77.2,3,1
Providence,St. John's,1,2021-02-06,BE,108.5,96.7,65.9,18.3,17.4,48.8,49.2,17.0,16.9,30.1,29.9,32.6,30.0,1.85,78.1,2,0,BE,109.7,97.3,73.5,14.7,17.3,50.6,53.0,17.0,23.2,29.5,30.7,35.5,35.9,1.49,77.0,5,1
South Carolina,Mississippi St.,2,2021-02-06,SEC,107.1,95.8,73.2,15.4,17.1,49.3,50.9,20.6,21.7,35.9,30.7,32.8,32.8,1.64,77.5,2,1,SEC,107.0,94.9,66.2,18.1,17.4,49.6,47.0,20.8,18.8,36.8,26.2,35.7,33.0,1.27,78.9,1,0
Boston College,N.C. State,-1,2021-02-06,ACC,107.3,100.0,70.8,16.6,16.7,51.6,54.3,19.5,18.8,25.5,28.2,34.5,34.2,1.81,76.7,1,0,ACC,109.0,97.5,69.3,16.7,17.6,52.6,52.2,17.9,23.3,29.3,31.3,35.8,35.5,1.73,77.0,1,0
Purdue,Northwestern,8,2021-02-06,B10,111.7,91.7,66.3,18.7,17.3,51.2,49.0,19.6,16.9,33.1,23.4,34.7,32.2,1.06,78.3,3,0,B10,107.1,95.6,69.6,15.8,17.9,52.0,51.3,15.6,16.9,18.9,25.6,35.4,34.1,1.51,77.8,0,0
Miami FL,Virginia Tech,-6,2021-02-06,ACC,102.1,96.9,68.1,18.2,16.4,48.2,50.8,19.8,18.9,27.3,26.6,29.4,37.1,1.52,78.6,1,1,ACC,110.9,93.1,66.4,18.0,18.0,51.8,48.3,17.4,17.5,29.3,23.3,34.2,32.6,1.62,76.3,3,0
North Texas,Louisiana Tech,3,2021-02-06,CUSA,105.3,96.3,64.1,18.0,17.4,56.0,46.2,19.9,20.8,26.3,26.7,38.4,30.9,2.33,76.9,4,0,CUSA,102.1,95.1,70.0,16.4,16.9,50.0,46.0,17.8,18.5,26.6,22.9,33.3,30.1,2.12,76.2,4,1
Butler,DePaul,3,2021-02-06,BE,102.9,95.7,65.3,19.6,17.4,47.7,53.9,16.6,18.8,25.0,21.1,34.1,37.0,1.66,76.6,2,0,BE,101.2,94.8,71.8,15.5,17.8,47.5,48.3,21.8,20.7,32.1,29.4,31.3,29.3,1.91,76.8,2,0
Old Dominion,Marshall,-4,2021-02-06,CUSA,102.0,100.1,67.0,17.8,17.2,47.5,52.4,18.7,19.8,31.3,26.5,29.3,36.2,2.31,76.9,4,1,CUSA,107.7,97.0,72.2,14.6,17.7,52.8,48.7,16.5,20.9,25.7,30.2,33.1,34.8,1.95,77.1,2,0
Tulsa,UCF,5,2021-02-06,Amer,103.0,93.9,66.0,17.4,18.0,48.9,47.2,20.3,22.8,26.5,34.6,28.5,32.8,2.27,77.2,2,0,Amer,103.8,97.8,68.3,17.4,16.9,48.3,51.7,23.1,20.2,29.1,32.2,33.2,33.0,1.48,77.6,1,0
Oregon St.,Washington St.,2,2021-02-06,P12,106.8,101.4,65.0,18.6,17.2,47.5,49.6,16.1,17.4,29.1,29.5,35.2,30.5,2.0,78.3,3,1,P12,99.5,93.9,68.4,17.7,16.8,48.3,45.2,21.5,18.6,29.4,27.6,34.3,31.0,1.1,78.7,2,1
