home,away,predict_kp,date,conf_x,adj_off_x,adj_def_x,adj_tempo_x,poss_off_x,poss_def_x,fg_off_x,fg_def_x,turnover_off_x,turnover_def_x,reb_off_x,reb_def_x,three_off_x,three_def_x,experience_x,height_x,wins_five_x,wins_last_x,conf_y,adj_off_y,adj_def_y,adj_tempo_y,poss_off_y,poss_def_y,fg_off_y,fg_def_y,turnover_off_y,turnover_def_y,reb_off_y,reb_def_y,three_off_y,three_def_y,experience_y,height_y,wins_five_y,wins_last_y
Minnesota,Purdue,1,2021-02-11,B10,111.6,94.3,70.0,16.4,16.9,46.6,47.8,15.3,18.8,29.2,32.1,29.4,33.0,1.89,78.0,2,1,B10,112.3,92.0,66.3,18.6,17.3,51.1,49.2,19.5,17.1,32.7,23.4,34.7,32.4,1.05,78.4,3,1
Stanford,Colorado,-2,2021-02-11,P12,107.3,91.3,70.1,16.7,17.1,51.6,46.6,21.2,20.4,27.6,28.3,31.1,32.9,1.33,78.8,3,1,P12,116.5,93.9,66.9,17.1,18.6,53.3,47.9,16.2,20.6,29.9,25.6,37.9,33.7,2.27,77.4,4,1
Arizona St.,Oregon,-3,2021-02-11,P12,109.0,98.3,73.2,15.8,16.9,50.2,51.6,15.2,22.4,20.2,30.8,31.9,34.5,1.76,76.7,2,1,P12,111.9,95.0,69.0,16.5,17.3,53.2,48.9,17.8,21.2,30.1,24.2,35.4,31.6,2.24,77.4,2,1
Washington St.,UCLA,-5,2021-02-11,P12,99.9,93.8,68.2,17.7,16.8,48.2,45.5,21.4,18.8,29.5,27.4,34.2,31.2,1.09,78.7,2,0,P12,113.5,96.0,63.6,18.6,18.2,50.6,49.5,16.4,18.5,33.2,25.0,36.1,32.1,1.49,77.4,3,0
California,Utah,-5,2021-02-11,P12,103.5,101.6,65.3,18.7,17.0,50.3,53.8,19.8,18.3,22.9,25.6,33.6,39.4,2.01,77.4,0,0,P12,109.7,96.3,66.8,17.9,17.6,51.5,49.0,17.6,20.6,26.0,29.7,33.7,35.2,1.38,77.5,3,1
Temple,East Carolina,2,2021-02-11,Amer,100.8,98.4,68.5,17.5,17.5,45.1,48.5,19.5,16.4,26.8,26.4,31.1,35.7,1.59,77.6,1,0,Amer,100.9,97.7,68.3,17.5,17.2,46.0,48.0,19.3,21.1,27.6,28.2,30.5,31.2,2.0,77.7,1,0
Radford,Winthrop,-2,2021-02-11,BSth,99.9,102.0,64.7,19.6,17.1,51.2,48.6,23.4,17.8,35.8,22.3,30.1,36.8,1.2,75.5,4,1,BSth,104.6,99.6,74.4,14.4,17.7,53.0,50.7,19.3,23.5,35.3,21.6,35.2,33.7,1.98,76.7,4,0
Montana St.,Eastern Washington,-3,2021-02-11,BSky,99.2,102.1,68.7,17.1,17.6,50.3,48.1,17.7,19.2,21.2,27.7,34.6,31.9,1.98,76.8,3,0,BSky,106.0,102.7,72.8,15.3,17.9,53.0,49.6,17.1,16.7,24.4,25.6,34.5,34.2,1.67,77.2,5,1
Montana,Weber St.,1,2021-02-11,BSky,97.5,99.2,64.7,18.7,17.7,47.7,47.1,20.4,18.4,23.0,31.6,36.4,30.3,1.05,77.1,2,0,BSky,103.7,103.3,72.1,15.8,17.0,56.4,48.7,17.8,19.1,22.3,26.3,38.0,34.5,2.08,77.5,4,1
Arizona,Oregon St.,10,2021-02-11,P12,114.3,96.8,68.5,16.5,18.0,51.4,49.2,17.5,19.2,35.2,23.3,38.0,34.4,1.29,78.7,2,0,P12,106.4,101.3,65.4,18.6,17.2,47.1,50.0,17.1,17.6,28.9,29.3,34.9,31.0,2.0,78.3,2,0
UT Arlington,Texas St.,-2,2021-02-11,SB,97.6,102.9,69.6,16.7,16.8,45.7,50.2,16.7,20.0,26.4,30.9,34.7,36.0,1.55,76.6,4,1,SB,101.3,100.4,62.5,19.7,17.5,52.6,51.3,20.3,23.9,28.5,27.0,39.3,36.3,2.38,75.7,3,1
Washington,USC,-13,2021-02-11,P12,104.6,104.3,70.7,16.4,17.8,48.4,50.8,19.5,17.0,25.0,38.2,33.0,34.7,1.92,77.9,2,0,P12,112.9,90.2,67.6,17.3,18.1,51.8,43.8,18.0,17.5,37.0,28.0,33.4,31.9,1.72,79.5,4,1
Boise St.,UNLV,11,2021-02-11,MWC,109.6,95.7,69.4,16.1,17.5,53.1,48.0,16.1,20.9,28.9,20.2,34.8,31.0,2.06,78.1,2,0,MWC,105.6,104.1,66.9,18.0,17.4,51.0,53.3,19.5,18.9,26.2,25.7,34.6,39.4,1.49,77.5,2,1
