home,away,predict_kp,date,conf_x,adj_off_x,adj_def_x,adj_tempo_x,poss_off_x,poss_def_x,fg_off_x,fg_def_x,turnover_off_x,turnover_def_x,reb_off_x,reb_def_x,three_off_x,three_def_x,experience_x,height_x,wins_five_x,wins_last_x,conf_y,adj_off_y,adj_def_y,adj_tempo_y,poss_off_y,poss_def_y,fg_off_y,fg_def_y,turnover_off_y,turnover_def_y,reb_off_y,reb_def_y,three_off_y,three_def_y,experience_y,height_y,wins_five_y,wins_last_y
Louisville,Florida St.,1,2021-01-18,ACC,111.5,93.3,66.5,17.4,18.5,52.4,46.5,18.6,17.6,29.6,26.0,33.0,31.4,0.98,77.5,4,0,ACC,114.0,94.1,69.7,16.7,17.3,54.0,48.0,19.4,21.0,34.5,30.3,38.2,36.0,1.97,79.6,3,1
Baylor,Kansas,10,2021-01-18,B12,119.0,86.5,69.8,15.8,17.5,58.4,45.6,17.2,26.9,38.2,28.9,42.3,30.0,1.94,76.7,5,1,B12,112.8,90.4,68.6,16.3,17.5,49.9,47.7,18.2,18.2,35.1,25.7,34.6,33.0,1.43,78.2,3,0
Connecticut,St. John's,10,2021-01-18,BE,111.2,91.3,64.8,18.7,17.6,49.5,45.4,19.1,22.1,39.5,30.9,35.5,28.7,1.91,77.8,4,1,BE,107.7,99.2,74.3,14.5,17.1,50.0,55.3,17.0,23.2,28.6,28.3,34.2,37.4,1.5,77.0,2,0
La Salle,Saint Joseph's,2,2021-01-18,A10,97.9,100.4,68.7,16.7,17.8,49.3,49.5,21.1,19.9,23.0,29.9,35.0,28.1,1.38,76.6,2,0,A10,102.3,104.8,74.2,15.9,16.6,47.8,54.2,20.0,18.9,21.7,34.2,28.8,38.1,1.2,78.0,1,0
Towson,UNC Wilmington,-1,2021-01-18,CAA,100.6,107.1,67.1,18.2,16.1,45.3,53.4,20.6,14.6,34.1,29.8,29.0,38.5,1.82,77.2,1,0,CAA,101.9,104.7,69.2,16.6,17.1,50.3,49.1,19.4,19.4,29.0,30.9,36.7,32.6,1.88,76.7,4,1
Samford,Western Carolina,-2,2021-01-18,SC,99.3,108.2,73.9,15.3,16.6,49.3,51.8,20.5,18.7,30.9,26.9,29.5,33.0,2.19,76.7,1,0,SC,103.2,106.2,71.4,16.2,17.0,52.9,52.0,20.4,17.5,25.4,27.4,33.5,33.3,1.68,75.9,2,0
Air Force,Wyoming,-1,2021-01-18,MWC,98.1,107.0,62.2,19.7,17.4,52.9,54.6,23.9,20.2,14.4,34.0,34.6,34.3,1.98,76.8,1,1,MWC,103.9,108.9,69.9,16.5,17.4,53.5,52.3,14.8,18.3,24.0,29.8,36.7,34.0,1.1,78.0,1,0
Idaho St.,Sacramento St.,1,2021-01-18,BSky,97.6,106.5,65.4,19.9,16.7,49.4,50.2,26.2,17.4,31.0,25.7,30.5,38.7,1.85,76.8,4,1,BSky,96.1,101.7,65.1,19.1,19.2,47.3,47.6,17.4,25.6,26.1,26.7,37.1,28.1,2.35,77.0,3,0
East Tennessee St.,VMI,7,2021-01-18,SC,98.7,98.7,68.0,17.2,16.8,47.1,48.2,23.9,22.5,30.3,29.3,29.6,34.9,1.87,77.0,3,0,SC,102.3,108.6,71.3,16.3,16.7,53.3,51.7,18.6,15.0,23.3,26.8,38.1,35.7,1.6,76.5,2,1
Prairie View A&M,Grambling St.,3,2021-01-18,SWAC,93.3,104.4,69.9,17.3,17.1,47.3,50.8,22.7,23.2,32.2,39.6,30.9,32.8,2.02,76.8,2,1,SWAC,92.2,104.4,70.4,16.8,16.8,46.9,45.9,23.3,20.2,26.4,33.3,31.3,34.8,2.37,77.5,3,1
Alcorn St.,Arkansas Pine Bluff,3,2021-01-18,SWAC,92.6,112.2,70.2,17.4,16.7,44.1,61.2,21.6,17.8,30.1,38.4,26.4,41.8,2.05,75.1,1,1,SWAC,90.7,112.1,70.3,18.6,14.7,41.8,58.1,22.4,16.4,26.4,31.6,31.8,44.1,2.25,75.8,2,0
UNLV,New Mexico,11,2021-01-18,MWC,106.7,102.4,68.5,17.7,16.5,52.0,53.6,18.8,18.3,26.5,26.0,34.2,38.8,1.6,77.3,3,1,MWC,97.1,106.1,66.7,17.8,17.3,39.4,54.2,20.5,18.7,31.5,33.2,24.7,37.9,1.46,77.9,1,0
UNC Greensboro,The Citadel,14,2021-01-18,SC,101.4,96.7,69.8,16.5,16.6,46.3,46.0,18.6,22.1,35.1,27.2,28.2,30.8,1.75,77.3,3,1,SC,102.2,113.2,78.1,13.8,16.6,57.5,53.6,16.6,16.2,24.9,28.6,40.4,34.2,1.79,76.7,3,0
Southern,Mississippi Valley St.,22,2021-01-18,SWAC,95.6,103.7,69.6,16.4,16.4,45.0,50.4,23.1,16.6,29.4,23.5,33.0,34.5,2.12,76.0,2,1,SWAC,82.8,119.8,70.5,16.9,15.7,41.4,60.0,22.2,15.8,17.5,39.6,31.5,37.9,1.3,76.0,0,0
