home,away,predict_kp,date,conf_x,adj_off_x,adj_def_x,adj_tempo_x,poss_off_x,poss_def_x,fg_off_x,fg_def_x,turnover_off_x,turnover_def_x,reb_off_x,reb_def_x,three_off_x,three_def_x,experience_x,height_x,wins_five_x,wins_last_x,conf_y,adj_off_y,adj_def_y,adj_tempo_y,poss_off_y,poss_def_y,fg_off_y,fg_def_y,turnover_off_y,turnover_def_y,reb_off_y,reb_def_y,three_off_y,three_def_y,experience_y,height_y,wins_five_y,wins_last_y
Texas Tech,Baylor,-4,2021-01-16,B12,112.1,89.0,67.0,17.8,17.7,49.8,45.1,15.9,26.3,34.6,28.6,33.3,31.6,1.41,76.9,4,1,B12,119.3,87.5,69.3,15.6,17.6,59.0,46.1,16.7,26.8,38.7,27.5,42.8,30.5,1.88,76.8,5,1
Minnesota,Michigan,-4,2021-01-16,B10,111.9,94.0,71.6,16.0,16.8,47.3,47.3,15.0,18.0,29.6,31.7,30.3,32.5,1.88,78.0,2,0,B10,117.5,90.3,68.1,16.7,17.7,59.0,43.2,17.7,15.2,30.7,24.3,37.3,34.5,2.11,77.9,5,1
Illinois,Ohio St.,5,2021-01-16,B10,116.1,91.4,70.9,16.5,16.6,57.9,45.7,18.7,15.6,34.0,20.7,41.2,31.7,1.63,77.0,4,0,B10,116.3,95.1,66.3,18.2,17.4,51.1,46.9,14.6,16.2,33.0,26.3,32.8,33.7,1.98,77.3,3,1
Alabama,Arkansas,4,2021-01-16,SEC,112.6,92.3,74.4,14.2,17.6,49.9,46.6,17.8,21.4,32.8,30.4,33.3,31.1,1.92,78.0,5,1,SEC,111.2,93.2,73.9,15.3,16.0,52.1,46.0,16.3,19.8,34.7,24.0,34.7,30.4,1.57,77.9,2,0
Clemson,Virginia,2,2021-01-16,ACC,107.7,86.8,66.3,17.3,17.9,49.7,44.7,18.9,26.4,28.6,27.6,33.9,29.9,1.75,76.8,4,1,ACC,111.9,90.6,59.3,19.4,19.2,57.0,47.8,13.4,16.5,23.7,22.7,36.4,34.2,1.87,77.6,4,1
Florida St.,North Carolina,3,2021-01-16,ACC,113.1,93.3,69.9,16.6,17.4,53.8,47.5,18.8,21.1,34.3,29.4,37.2,35.3,1.94,79.5,3,1,ACC,108.9,90.9,70.9,16.1,17.5,45.8,49.2,21.6,18.9,42.1,24.2,29.3,34.7,1.09,78.8,3,1
Utah St.,San Diego St.,2,2021-01-16,MWC,105.2,90.0,69.2,16.7,17.3,51.4,44.0,19.8,21.9,35.8,20.3,34.3,32.0,1.43,78.2,5,1,MWC,108.4,91.8,64.9,17.1,18.7,51.0,48.2,18.9,22.7,27.0,26.2,36.6,34.1,2.52,76.7,3,0
Mississippi St.,Florida,-2,2021-01-16,SEC,110.4,98.9,64.9,18.5,17.8,51.8,48.1,19.8,18.2,38.3,25.9,38.7,36.2,1.29,79.0,3,0,SEC,111.9,94.3,69.8,16.0,17.1,53.4,48.1,19.9,21.6,32.2,28.9,38.8,37.8,1.51,77.4,3,1
Pittsburgh,Syracuse,-2,2021-01-16,ACC,103.8,92.8,70.1,16.3,16.8,47.9,44.7,20.5,20.9,36.5,26.2,30.2,27.3,1.12,77.8,4,1,ACC,110.4,93.7,70.2,15.2,17.2,51.7,45.9,17.7,22.1,29.6,30.8,32.8,29.1,1.5,77.9,3,0
Auburn,Kentucky,-1,2021-01-16,SEC,108.7,97.3,71.0,16.2,16.4,53.9,49.1,23.5,20.1,33.8,29.4,33.5,30.4,0.75,78.8,1,1,SEC,106.9,92.0,67.9,17.1,17.7,46.3,46.9,21.3,18.0,34.8,30.7,30.3,32.8,0.9,79.0,3,0
