home,away,predict_kp,date,conf_x,adj_off_x,adj_def_x,adj_tempo_x,poss_off_x,poss_def_x,fg_off_x,fg_def_x,turnover_off_x,turnover_def_x,reb_off_x,reb_def_x,three_off_x,three_def_x,experience_x,height_x,wins_five_x,wins_last_x,conf_y,adj_off_y,adj_def_y,adj_tempo_y,poss_off_y,poss_def_y,fg_off_y,fg_def_y,turnover_off_y,turnover_def_y,reb_off_y,reb_def_y,three_off_y,three_def_y,experience_y,height_y,wins_five_y,wins_last_y
Purdue,Michigan,-3,2021-01-22,B10,111.2,92.0,66.9,18.4,17.2,52.5,48.8,19.5,16.6,31.5,23.3,35.1,31.5,1.08,78.4,4,1,B10,116.6,90.0,68.4,16.7,17.7,58.2,43.9,18.2,15.1,30.3,23.6,37.6,32.9,2.07,77.9,4,1
Ohio,Ball St.,3,2021-01-22,MAC,108.6,105.0,69.2,17.0,17.0,56.0,53.5,16.8,20.6,26.6,28.7,38.2,35.3,1.47,76.9,3,0,MAC,102.9,101.0,70.4,16.9,16.9,50.8,48.4,18.7,19.1,26.6,30.8,33.8,31.0,1.97,76.9,2,0
UTEP,Louisiana Tech,-3,2021-01-22,CUSA,101.3,102.4,67.5,17.3,18.5,47.0,53.0,15.1,19.7,26.3,26.4,33.2,36.2,1.93,77.8,2,0,CUSA,102.1,95.9,69.5,16.5,16.4,50.2,45.3,17.9,18.6,26.4,24.6,34.0,29.9,2.13,76.1,3,1
UC Riverside,Cal St. Bakersfield,3,2021-01-22,BW,100.6,97.8,65.2,19.5,16.7,55.0,42.7,18.8,15.8,29.5,23.1,39.3,27.9,2.0,78.7,3,1,BW,100.9,98.7,64.2,19.6,16.2,45.3,48.1,20.1,21.5,41.5,25.8,30.9,31.5,2.71,77.0,5,1
Wyoming,Nevada,-4,2021-01-22,MWC,105.1,108.6,69.8,16.7,17.5,54.3,52.2,15.0,18.4,23.7,29.0,37.9,32.6,1.08,78.0,1,1,MWC,105.2,98.9,70.6,17.0,17.4,50.5,46.7,19.7,18.3,25.9,24.1,34.8,32.6,1.03,78.3,3,1
UT Arlington,Little Rock,-1,2021-01-22,SB,101.4,104.4,71.4,15.8,16.6,46.6,53.5,15.6,19.9,24.0,29.5,34.8,39.6,1.67,76.7,3,0,SB,105.3,105.1,67.6,17.2,16.9,54.3,52.1,22.8,20.6,31.2,29.8,35.1,34.4,1.93,77.9,2,0
Appalachian St.,Georgia St.,-4,2021-01-22,SB,101.1,105.2,66.3,18.2,17.9,50.3,53.1,19.3,20.0,25.6,28.7,34.3,35.3,1.77,76.5,4,1,SB,105.9,99.6,70.8,15.1,17.8,51.3,47.2,16.3,20.9,28.5,35.3,33.9,33.2,1.61,76.3,4,1
Florida Atlantic,Charlotte,1,2021-01-22,CUSA,100.5,103.4,66.9,16.9,18.1,50.8,53.9,19.5,19.1,33.8,24.0,33.8,39.8,1.65,77.0,2,1,CUSA,99.7,100.0,62.8,18.9,18.2,51.9,48.8,20.5,20.3,22.3,23.7,34.4,29.9,1.77,77.6,2,1
Siena,Saint Peter's,5,2021-01-22,MAAC,104.3,101.6,67.7,19.3,15.9,55.8,46.9,17.7,15.0,28.1,25.8,38.7,33.0,1.79,76.5,5,1,MAAC,96.8,98.0,67.4,17.3,16.5,48.0,46.3,21.2,22.2,29.4,32.2,34.1,36.0,1.27,76.1,2,0
UC San Diego,UC Davis,-1,2021-01-22,BW,97.9,104.4,70.0,17.8,17.0,46.9,55.5,22.3,19.4,15.5,35.4,27.3,37.7,1.75,76.9,2,0,BW,100.3,103.3,71.0,14.5,16.8,51.5,50.0,19.7,22.3,15.5,31.3,28.6,33.3,1.58,75.5,2,1
FIU,Marshall,-8,2021-01-22,CUSA,102.2,106.6,71.7,15.8,17.4,53.4,52.2,20.6,23.1,27.4,35.6,35.7,36.2,1.93,74.8,1,0,CUSA,106.6,97.1,72.7,14.5,17.5,52.4,48.3,17.7,21.0,25.6,28.6,32.8,36.7,1.96,77.2,2,0
Oakland,Detroit,1,2021-01-22,Horz,101.4,108.8,70.8,16.9,16.5,45.7,56.4,18.3,19.7,28.6,35.5,30.9,37.4,1.42,75.8,3,1,Horz,102.2,107.0,68.3,17.4,16.7,50.3,53.9,18.0,18.8,26.6,30.4,35.9,37.4,2.49,77.6,2,1
Green Bay,Purdue Fort Wayne,-2,2021-01-22,Horz,100.6,110.7,67.7,18.5,16.2,48.4,54.9,16.1,17.3,24.2,30.2,35.1,35.8,1.28,76.3,3,0,Horz,102.5,106.3,73.2,16.3,16.6,60.4,51.5,26.1,19.8,29.1,28.7,43.9,30.4,2.07,77.6,4,1
Youngstown St.,Illinois Chicago,1,2021-01-22,Horz,104.1,112.3,66.9,17.5,18.3,47.3,55.9,16.4,17.1,36.0,34.5,28.1,37.9,1.63,76.4,2,0,Horz,95.7,101.0,68.8,17.3,16.5,50.0,44.8,17.8,14.8,22.7,26.6,34.4,25.4,2.31,77.8,3,1
Bellarmine,Stetson,2,2021-01-22,ASun,100.1,106.4,66.8,17.7,17.9,53.1,56.8,19.0,22.5,26.1,25.8,38.4,40.5,2.0,77.0,3,1,ASun,99.0,104.6,68.8,18.3,15.8,46.7,50.8,22.3,18.2,25.4,28.2,35.1,33.1,0.82,77.2,3,0
Robert Morris,Northern Kentucky,2,2021-01-22,Horz,98.2,105.0,68.3,17.0,16.4,48.1,53.9,19.9,19.4,31.7,30.8,33.9,38.3,1.77,75.7,2,0,Horz,98.8,105.3,65.3,17.8,17.8,48.7,51.5,21.7,21.3,36.8,35.4,27.5,33.6,1.23,75.7,1,0
Cal St. Fullerton,Hawaii,-3,2021-01-22,BW,93.0,104.8,71.8,16.2,16.2,50.1,52.8,20.0,20.0,25.1,23.3,36.1,37.4,1.53,77.0,2,1,BW,99.3,104.6,72.1,16.7,17.9,51.4,51.9,18.6,18.6,24.5,31.2,33.3,35.9,1.75,77.0,2,0
Quinnipiac,Niagara,1,2021-01-22,MAAC,92.1,101.9,70.3,16.3,16.9,45.3,40.5,23.0,16.1,20.8,29.1,29.4,29.0,1.18,77.5,2,0,MAAC,98.9,105.3,65.3,18.3,18.8,46.1,49.6,15.9,20.6,22.7,28.8,32.3,34.8,2.5,75.5,2,0
Cleveland St.,Milwaukee,5,2021-01-22,Horz,97.6,99.1,66.7,17.7,17.2,47.5,47.5,21.2,22.1,32.0,34.9,30.2,29.8,1.9,77.1,4,0,Horz,97.6,103.2,70.1,16.2,17.3,51.2,52.9,16.4,20.9,21.1,21.9,33.2,38.8,1.75,76.8,2,0
UTSA,Southern Miss,5,2021-01-22,CUSA,104.2,108.0,72.2,15.8,17.0,46.9,55.8,16.8,18.0,25.2,25.8,29.2,39.4,1.93,76.8,1,0,CUSA,95.7,103.1,65.2,18.6,17.3,48.8,46.3,22.4,17.5,28.0,23.7,36.0,31.1,1.69,77.4,2,1
Rider,Marist,1,2021-01-22,MAAC,98.9,111.0,68.1,17.7,17.9,47.6,54.1,17.9,16.2,28.4,27.7,32.7,37.0,1.73,76.3,1,0,MAAC,93.9,102.8,66.0,18.2,17.5,50.6,47.4,21.7,19.7,23.9,26.4,31.4,32.6,1.43,75.9,1,0
Merrimack,Fairleigh Dickinson,1,2021-01-22,NEC,92.3,105.0,67.8,16.8,19.0,49.3,51.8,16.4,22.9,21.7,30.8,28.6,42.1,1.35,75.7,2,1,NEC,99.1,111.2,70.2,16.6,16.8,48.9,54.7,20.6,18.7,27.6,32.7,34.7,30.9,1.44,75.6,2,0
Sacred Heart,St. Francis PA,-3,2021-01-22,NEC,95.1,109.7,68.1,17.9,16.6,44.9,50.8,19.3,15.7,29.2,27.9,31.2,31.1,1.12,75.6,3,0,NEC,98.4,105.6,69.6,16.6,16.6,47.7,49.5,19.8,19.0,25.9,31.4,32.7,26.0,1.26,76.8,2,1
