home,away,predict_kp,date,conf_x,adj_off_x,adj_def_x,adj_tempo_x,poss_off_x,poss_def_x,fg_off_x,fg_def_x,turnover_off_x,turnover_def_x,reb_off_x,reb_def_x,three_off_x,three_def_x,experience_x,height_x,wins_five_x,wins_last_x,conf_y,adj_off_y,adj_def_y,adj_tempo_y,poss_off_y,poss_def_y,fg_off_y,fg_def_y,turnover_off_y,turnover_def_y,reb_off_y,reb_def_y,three_off_y,three_def_y,experience_y,height_y,wins_five_y,wins_last_y
Texas,West Virginia,2,2021-02-20,B12,114.1,92.6,68.4,16.2,18.2,51.9,45.5,19.1,17.8,31.8,26.9,33.9,31.3,1.91,77.9,2,1,B12,117.7,96.1,68.8,17.4,16.6,48.9,49.2,16.5,19.8,36.2,30.6,36.9,31.3,1.84,77.2,3,0
Duke,Virginia,-1,2021-02-20,ACC,116.5,97.5,68.4,17.1,17.1,53.4,52.6,18.6,19.7,33.0,26.3,35.7,37.6,0.86,77.1,2,1,ACC,116.5,92.0,59.5,20.1,18.8,57.4,47.8,15.4,15.7,21.5,22.2,39.8,33.5,1.9,77.8,4,0
Kansas,Texas Tech,1,2021-02-20,B12,111.0,90.3,68.3,16.2,17.8,49.9,47.4,18.0,20.3,31.9,26.5,34.4,33.3,1.48,78.3,4,1,B12,113.0,91.6,65.9,17.8,17.7,49.1,47.5,16.1,24.7,34.6,28.7,33.9,35.0,1.43,76.9,3,0
Minnesota,Illinois,-5,2021-02-20,B10,113.3,96.3,69.3,16.6,17.1,46.3,48.9,15.0,18.9,29.8,32.5,29.1,33.6,1.86,78.0,2,0,B10,117.9,90.7,69.7,16.8,17.0,56.7,46.2,18.7,16.3,32.4,22.8,38.9,32.8,1.63,77.0,5,1
North Carolina,Louisville,1,2021-02-20,ACC,109.8,92.9,70.4,15.8,17.9,47.7,50.0,20.3,18.7,39.5,23.9,31.0,36.5,1.1,78.9,3,1,ACC,111.1,93.0,65.6,17.7,18.4,50.2,46.8,18.1,17.6,31.2,25.5,31.9,30.9,0.98,77.5,2,1
Syracuse,Notre Dame,2,2021-02-20,ACC,112.6,97.5,69.3,15.7,17.6,50.4,47.7,16.4,21.4,28.9,31.8,32.5,30.8,1.56,78.0,3,1,ACC,116.6,101.3,66.6,17.7,18.3,55.1,50.0,15.5,12.6,20.5,28.1,38.1,35.8,2.21,78.7,4,1
LSU,Auburn,5,2021-02-20,SEC,120.5,101.1,70.0,16.2,16.9,53.7,49.2,16.9,19.9,30.6,32.4,34.4,30.4,1.06,77.6,3,1,SEC,113.2,98.1,71.5,16.2,16.3,52.4,49.2,22.0,19.1,34.6,30.9,33.7,32.0,0.75,78.7,1,0
Villanova,Connecticut,6,2021-02-20,BE,122.2,98.0,64.1,18.5,17.2,54.6,53.8,13.5,19.7,29.1,25.1,38.2,37.8,1.9,77.9,3,0,BE,112.6,94.7,64.8,19.0,17.4,49.3,47.3,18.5,19.7,36.9,29.8,35.5,33.0,1.88,77.8,3,1
Pittsburgh,Florida St.,-7,2021-02-20,ACC,109.2,98.0,68.6,17.1,17.4,49.1,49.8,18.2,18.5,34.4,26.7,32.8,31.7,1.27,77.6,1,0,ACC,118.0,94.5,69.2,16.9,17.6,54.8,48.1,19.3,20.1,35.6,28.3,39.8,34.7,1.99,79.6,4,1
South Carolina,Missouri,-2,2021-02-20,SEC,107.1,97.5,74.1,15.5,16.6,48.0,51.7,21.2,22.8,35.1,32.3,31.9,35.0,1.66,77.5,1,0,SEC,111.8,96.0,68.5,16.7,17.0,51.1,47.9,19.0,17.8,28.9,28.9,31.0,32.4,2.47,77.6,2,0
