home,away,predict_kp,date,conf_x,adj_off_x,adj_def_x,adj_tempo_x,poss_off_x,poss_def_x,fg_off_x,fg_def_x,turnover_off_x,turnover_def_x,reb_off_x,reb_def_x,three_off_x,three_def_x,experience_x,height_x,wins_five_x,wins_last_x,conf_y,adj_off_y,adj_def_y,adj_tempo_y,poss_off_y,poss_def_y,fg_off_y,fg_def_y,turnover_off_y,turnover_def_y,reb_off_y,reb_def_y,three_off_y,three_def_y,experience_y,height_y,wins_five_y,wins_last_y
Michigan,Iowa,3,2021-02-25,B10,120.9,90.2,67.5,17.0,17.9,56.9,44.2,17.4,14.8,30.7,24.7,38.7,33.1,2.14,77.9,5,1,B10,126.9,97.2,69.7,16.1,17.4,55.6,48.1,13.6,16.3,32.7,30.3,40.3,34.7,1.7,78.0,4,1
Colorado,USC,1,2021-02-25,P12,114.5,93.4,66.6,17.4,18.6,52.2,47.3,17.0,20.1,30.0,25.3,36.1,32.5,2.29,77.4,3,1,P12,114.4,90.9,67.2,17.4,18.0,52.5,44.3,18.3,17.2,36.7,27.8,35.2,32.0,1.71,79.4,4,1
Michigan St.,Ohio St.,-7,2021-02-25,B10,108.6,94.5,68.9,16.9,17.2,49.0,47.9,19.1,15.4,30.9,26.7,33.6,31.5,1.71,77.9,3,1,B10,125.0,97.8,67.0,18.2,17.2,53.9,48.7,15.2,15.6,30.3,26.6,36.8,34.3,2.0,77.5,4,0
Stanford,Oregon,1,2021-02-25,P12,106.1,92.0,69.7,16.6,17.4,52.3,47.0,21.1,20.9,25.3,28.1,31.5,32.9,1.36,78.8,3,0,P12,111.1,94.8,67.6,17.0,17.6,52.6,48.2,17.7,21.1,29.2,27.1,35.7,32.2,2.24,77.5,4,0
Utah,UCLA,-1,2021-02-25,P12,109.6,98.9,67.2,17.9,17.7,51.1,50.5,18.5,20.3,25.2,29.8,32.6,35.4,1.36,77.7,2,0,P12,113.5,97.3,64.3,18.4,18.1,51.2,49.8,16.2,18.2,31.1,24.3,36.0,34.5,1.46,77.3,3,1
San Diego St.,Boise St.,7,2021-02-25,MWC,112.4,91.2,65.8,16.7,18.7,53.9,47.3,17.4,23.0,31.1,24.0,38.7,33.5,2.42,76.6,5,1,MWC,111.4,96.3,68.9,16.3,17.7,53.1,48.4,15.9,20.6,28.3,23.1,35.4,31.5,2.07,78.3,4,1
Minnesota,Northwestern,5,2021-02-25,B10,112.4,96.6,69.7,16.7,17.0,46.4,49.5,15.4,18.7,29.3,32.4,29.6,34.2,1.85,77.9,2,0,B10,106.5,95.0,68.9,16.2,18.2,50.6,50.6,16.4,17.0,19.0,26.3,34.2,33.8,1.52,77.9,0,0
Pepperdine,Loyola Marymount,3,2021-02-25,WCC,106.6,100.3,71.3,15.5,17.8,49.7,50.0,17.5,17.9,22.9,27.1,31.8,28.3,1.93,76.8,3,0,WCC,105.8,99.7,67.4,18.1,17.0,51.3,49.7,23.3,17.5,31.9,20.6,34.5,33.7,1.85,78.4,4,0
Arizona,Washington St.,8,2021-02-25,P12,114.6,97.7,68.1,16.8,18.2,50.7,49.2,17.4,18.1,34.6,24.0,37.9,34.0,1.22,78.7,2,1,P12,102.5,94.2,68.2,18.0,16.8,48.5,46.4,21.4,18.7,30.4,25.7,34.6,31.8,1.05,78.8,3,1
California,Oregon St.,-2,2021-02-25,P12,103.8,103.1,65.1,18.7,17.2,49.1,53.8,19.2,17.9,24.0,25.3,33.0,39.4,1.99,77.4,1,0,P12,106.4,99.5,65.6,18.7,17.2,46.7,49.3,17.1,18.3,29.3,29.2,33.8,30.2,2.02,78.3,1,0
