home,away,predict_kp,date,conf_x,adj_off_x,adj_def_x,adj_tempo_x,poss_off_x,poss_def_x,fg_off_x,fg_def_x,turnover_off_x,turnover_def_x,reb_off_x,reb_def_x,three_off_x,three_def_x,experience_x,height_x,wins_five_x,wins_last_x,conf_y,adj_off_y,adj_def_y,adj_tempo_y,poss_off_y,poss_def_y,fg_off_y,fg_def_y,turnover_off_y,turnover_def_y,reb_off_y,reb_def_y,three_off_y,three_def_y,experience_y,height_y,wins_five_y,wins_last_y
Wisconsin,Michigan,-1,2021-02-14,B10,112.2,88.6,65.0,18.5,17.6,50.5,46.4,13.7,18.0,23.1,23.6,35.9,31.9,2.39,78.0,3,1,B10,117.8,89.3,67.6,16.8,17.7,57.6,43.0,18.4,15.5,30.4,25.1,37.7,32.2,2.08,77.9,4,1
Maryland,Minnesota,1,2021-02-14,B10,110.1,93.3,65.9,17.9,18.6,51.7,49.8,16.7,16.9,21.8,25.2,34.0,34.9,1.83,78.4,2,0,B10,112.0,94.1,69.9,16.5,17.0,46.8,47.7,15.3,18.7,29.5,32.3,29.4,32.1,1.89,78.0,2,1
Drake,Loyola Chicago,-6,2021-02-14,MVC,111.2,97.4,67.6,17.4,17.6,54.8,47.0,16.3,19.8,33.9,22.6,37.0,30.1,2.05,76.2,3,0,MVC,113.4,88.1,65.2,17.9,18.6,58.3,46.1,17.8,21.9,24.5,21.8,36.1,31.2,2.24,76.3,5,1
Georgia Tech,Pittsburgh,5,2021-02-14,ACC,111.3,96.4,67.8,17.6,17.4,53.1,52.4,15.8,21.8,22.8,29.1,35.6,37.5,2.57,76.2,2,0,ACC,108.1,96.7,69.3,16.9,17.2,48.3,49.0,17.4,18.2,34.4,26.8,32.5,31.5,1.25,77.6,1,0
Seton Hall,Marquette,8,2021-02-14,BE,115.2,97.2,67.1,17.2,17.9,52.5,50.7,18.7,18.2,29.0,28.5,33.8,37.8,2.43,79.2,2,1,BE,109.3,99.8,66.8,18.2,17.1,51.7,48.6,20.9,15.4,30.7,28.7,34.8,36.8,1.74,78.1,1,0
Cincinnati,UCF,3,2021-02-14,Amer,104.0,95.3,70.7,16.7,16.8,47.9,48.7,20.9,19.5,28.8,24.5,28.7,30.9,1.6,77.4,4,1,Amer,104.0,97.1,66.8,17.8,17.4,48.6,50.2,22.8,20.5,29.8,32.7,35.0,33.1,1.53,77.7,2,1
Arizona St.,Oregon St.,6,2021-02-14,P12,108.0,98.2,73.1,15.8,16.9,49.4,51.6,15.5,22.0,21.0,30.4,32.1,35.0,1.78,76.6,2,0,P12,106.4,101.1,65.2,18.6,17.3,46.8,49.8,16.6,17.7,28.5,29.9,34.6,31.4,2.0,78.3,2,0
Oral Roberts,South Dakota St.,-1,2021-02-14,Sum,108.9,108.9,71.0,16.1,17.0,52.8,51.2,16.3,18.0,25.5,32.2,38.8,33.9,1.61,76.5,3,1,Sum,108.3,103.7,71.5,15.7,17.1,54.9,49.3,16.3,15.0,21.9,22.4,40.5,32.6,1.56,77.3,3,0
Missouri St.,Bradley,4,2021-02-14,MVC,106.4,99.4,69.0,17.3,17.2,53.6,47.5,18.5,15.4,23.3,23.6,33.7,33.2,1.65,77.5,4,1,MVC,102.0,98.0,66.3,17.0,18.9,49.8,49.4,19.7,19.0,28.8,27.0,31.5,38.1,1.59,77.3,2,0
Army,Colgate,-4,2021-02-14,Pat,99.4,100.7,68.8,16.7,16.8,52.7,52.0,18.0,20.1,22.7,24.7,33.3,35.2,1.99,75.1,3,0,Pat,108.8,100.8,71.2,15.6,17.3,56.7,44.0,13.7,17.0,26.6,24.9,39.4,26.1,1.84,76.5,5,1
