home,away,predict_kp,date,conf_x,adj_off_x,adj_def_x,adj_tempo_x,poss_off_x,poss_def_x,fg_off_x,fg_def_x,turnover_off_x,turnover_def_x,reb_off_x,reb_def_x,three_off_x,three_def_x,experience_x,height_x,wins_five_x,wins_last_x,conf_y,adj_off_y,adj_def_y,adj_tempo_y,poss_off_y,poss_def_y,fg_off_y,fg_def_y,turnover_off_y,turnover_def_y,reb_off_y,reb_def_y,three_off_y,three_def_y,experience_y,height_y,wins_five_y,wins_last_y
Nevada,Colorado St.,-2,2021-03-05,MWC,107.1,98.6,70.1,16.6,17.5,51.2,47.8,18.5,18.2,23.3,24.5,35.1,33.2,1.02,78.2,3,0,MWC,108.1,94.0,70.3,16.5,17.6,56.8,47.3,20.9,20.1,24.1,24.8,37.1,28.8,1.21,75.7,5,1
Buffalo,Kent St.,4,2021-03-05,MAC,107.9,95.7,74.7,14.8,17.0,51.3,46.1,17.9,18.1,36.8,26.5,32.7,28.0,2.2,77.1,4,1,MAC,107.7,97.9,70.2,17.5,16.7,51.5,48.6,19.2,17.2,35.3,28.2,34.2,34.8,2.15,77.5,4,1
VCU,Dayton,6,2021-03-05,A10,105.9,90.0,69.8,16.0,17.8,50.8,46.0,20.9,24.0,29.4,31.1,33.1,29.4,1.24,77.3,0,0,A10,109.1,97.7,66.1,18.6,17.5,55.7,47.9,21.0,17.4,23.1,29.0,37.3,31.7,1.91,77.8,0,0
Loyola Marymount,San Francisco,-1,2021-03-05,WCC,107.2,99.4,67.2,18.3,16.7,51.6,50.8,23.0,17.7,32.5,20.6,34.4,34.9,1.85,78.4,0,0,WCC,106.1,97.8,68.5,17.6,16.7,51.0,49.3,17.1,19.6,24.9,24.5,33.7,32.6,1.99,77.8,0,0
Saint Louis,Massachusetts,7,2021-03-05,A10,111.1,94.3,68.1,16.9,17.8,52.3,47.7,17.6,20.4,36.5,22.0,35.5,34.1,1.91,76.3,0,0,A10,106.1,98.8,72.1,16.5,16.4,50.1,50.8,16.7,20.1,25.2,24.3,32.8,33.7,1.02,76.9,0,0
Davidson,George Mason,5,2021-03-05,A10,113.1,100.1,62.9,19.3,18.5,55.4,49.4,17.3,15.7,27.6,21.2,35.0,34.0,1.75,78.4,0,0,A10,101.8,96.3,68.2,16.9,17.7,48.9,49.1,17.6,19.5,30.4,22.5,32.9,34.3,1.57,76.1,0,0
St. Bonaventure,Duquesne,8,2021-03-05,A10,110.3,92.3,65.3,18.6,18.3,50.5,46.1,17.2,19.7,33.0,28.7,36.5,30.8,1.93,77.3,0,0,A10,102.5,96.2,69.3,17.5,17.6,48.2,46.8,19.3,19.7,30.5,29.3,30.1,28.5,1.67,76.2,0,0
Miami FL,Boston College,1,2021-03-05,ACC,100.9,98.6,68.2,18.4,16.7,46.7,52.2,18.8,17.8,27.1,26.2,29.4,37.0,1.72,78.6,0,0,ACC,105.9,101.4,71.7,16.7,16.4,50.2,55.4,18.8,18.9,24.7,28.0,33.7,34.8,1.79,76.9,1,0
North Texas,UAB,7,2021-03-05,CUSA,106.8,92.9,64.4,18.5,17.1,55.9,46.5,21.3,21.1,27.2,25.4,37.5,31.9,2.34,76.9,4,0,CUSA,102.0,95.4,68.1,17.0,17.8,49.0,46.5,15.2,23.2,27.9,25.8,30.1,31.2,2.3,76.9,3,0
Pacific,Santa Clara,3,2021-03-05,WCC,103.0,97.2,67.2,18.3,17.2,47.4,51.0,16.5,18.6,27.4,24.3,29.9,34.9,2.21,76.9,0,0,WCC,99.5,98.2,70.6,15.5,17.9,47.1,46.8,18.4,16.8,23.2,24.8,30.2,32.0,1.94,79.0,0,0
