home,away,predict_kp,date,conf_x,adj_off_x,adj_def_x,adj_tempo_x,poss_off_x,poss_def_x,fg_off_x,fg_def_x,turnover_off_x,turnover_def_x,reb_off_x,reb_def_x,three_off_x,three_def_x,experience_x,height_x,wins_five_x,wins_last_x,conf_y,adj_off_y,adj_def_y,adj_tempo_y,poss_off_y,poss_def_y,fg_off_y,fg_def_y,turnover_off_y,turnover_def_y,reb_off_y,reb_def_y,three_off_y,three_def_y,experience_y,height_y,wins_five_y,wins_last_y
Penn St.,Purdue,-1,2021-02-26,B10,113.2,95.3,69.4,16.6,17.9,48.2,53.4,16.5,20.6,32.1,26.6,34.5,34.0,2.23,76.1,1,1,B10,113.4,91.9,66.2,18.5,17.3,51.0,49.0,18.9,17.3,32.4,24.2,33.5,32.6,1.04,78.4,3,1
Saint Louis,Richmond,3,2021-02-26,A10,110.3,94.8,68.4,16.5,18.0,51.8,47.2,17.3,20.5,35.8,22.6,34.1,33.0,1.86,76.2,3,0,A10,113.5,98.2,68.5,16.6,17.7,53.9,52.6,14.7,21.8,20.5,27.8,34.2,31.6,2.47,76.1,4,1
Marshall,North Texas,3,2021-02-26,CUSA,111.6,99.2,72.4,14.5,17.6,55.4,48.9,16.1,19.8,24.7,29.4,35.5,34.7,1.96,77.2,4,1,CUSA,106.0,94.4,64.0,18.5,17.2,55.4,45.6,20.8,21.4,27.2,26.2,36.5,30.1,2.33,77.0,4,1
UC Riverside,UC Santa Barbara,-2,2021-02-26,BW,103.7,98.2,66.7,19.3,16.6,54.6,45.0,18.8,15.8,26.7,22.9,39.4,32.7,1.99,78.7,3,0,BW,108.4,96.2,65.4,17.6,18.4,53.8,46.6,16.6,21.8,27.7,25.7,37.0,32.7,2.33,77.3,5,1
Utah St.,Nevada,8,2021-02-26,MWC,107.0,91.8,69.5,16.7,17.4,50.8,46.4,20.0,20.5,35.2,20.9,34.2,33.6,1.5,78.2,2,0,MWC,106.7,98.4,69.6,16.7,17.5,51.0,47.7,18.2,18.1,24.4,23.1,33.9,33.1,1.03,78.2,4,1
Akron,Bowling Green,5,2021-02-26,MAC,109.3,100.8,69.4,16.8,17.5,53.6,48.8,18.0,16.9,29.5,26.5,34.8,32.2,1.94,75.6,4,0,MAC,107.9,102.5,70.4,15.9,17.0,48.7,52.0,14.1,19.5,29.6,29.1,33.2,34.3,1.81,76.2,3,1
Bradley,Drake,-7,2021-02-26,MVC,102.8,100.4,66.1,17.0,18.9,49.7,50.5,19.3,18.6,28.1,26.8,31.5,38.3,1.53,77.3,1,0,MVC,113.4,97.5,67.0,17.6,18.1,55.2,47.3,15.8,19.3,32.7,24.4,37.1,29.5,2.01,76.1,4,1
UTSA,UAB,-4,2021-02-26,CUSA,106.6,107.4,71.5,16.6,16.6,49.0,52.2,15.6,18.7,26.7,27.6,32.7,35.4,1.91,76.7,4,1,CUSA,103.3,95.5,67.5,17.2,17.9,49.2,45.5,15.2,23.7,28.4,25.9,29.7,30.0,2.3,76.9,2,1
Cincinnati,Tulane,5,2021-02-26,Amer,104.3,96.6,70.6,16.8,17.0,47.6,49.3,20.7,18.6,29.0,24.8,29.1,32.9,1.58,77.3,4,1,Amer,98.7,95.6,67.1,17.5,18.0,43.5,48.6,17.2,23.4,24.1,29.5,29.5,34.8,1.05,76.4,2,0
Valparaiso,Indiana St.,-3,2021-02-26,MVC,98.5,101.1,67.2,17.5,18.3,48.0,51.3,18.0,18.3,20.4,27.2,30.1,34.5,1.45,77.0,2,0,MVC,105.3,99.5,67.7,17.6,17.6,50.3,52.3,19.2,21.9,26.0,28.5,35.5,33.3,1.78,76.7,4,1
