home,away,predict_kp,date,conf_x,adj_off_x,adj_def_x,adj_tempo_x,poss_off_x,poss_def_x,fg_off_x,fg_def_x,turnover_off_x,turnover_def_x,reb_off_x,reb_def_x,three_off_x,three_def_x,experience_x,height_x,wins_five_x,wins_last_x,conf_y,adj_off_y,adj_def_y,adj_tempo_y,poss_off_y,poss_def_y,fg_off_y,fg_def_y,turnover_off_y,turnover_def_y,reb_off_y,reb_def_y,three_off_y,three_def_y,experience_y,height_y,wins_five_y,wins_last_y
Georgia Tech,Virginia,-4,2021-02-10,ACC,111.4,96.7,67.4,17.6,17.0,53.7,52.0,15.7,21.3,24.0,29.3,37.1,36.9,2.56,76.2,2,1,ACC,116.3,91.4,59.9,19.9,18.9,58.0,48.1,14.6,16.4,22.2,22.3,39.8,33.9,1.87,77.8,4,1
Iowa,Rutgers,7,2021-02-10,B10,125.5,99.2,70.2,15.8,17.4,55.3,49.1,13.1,17.0,32.9,31.2,38.5,35.6,1.66,77.9,1,0,B10,110.5,90.7,68.0,16.9,17.6,51.9,47.8,16.1,19.7,29.4,28.6,34.2,31.9,2.01,77.9,4,1
Mississippi St.,LSU,1,2021-02-10,SEC,107.1,93.4,66.3,18.0,17.4,49.9,46.4,21.2,18.8,36.9,26.1,36.8,32.3,1.26,78.9,2,1,SEC,116.7,99.9,70.6,16.2,16.7,52.5,49.0,17.3,20.0,31.1,32.2,33.8,30.1,1.05,77.6,1,0
Mississippi,Missouri,-1,2021-02-10,SEC,104.6,90.9,65.9,17.7,17.1,48.4,49.0,20.0,24.8,33.9,26.8,27.9,37.0,1.99,77.2,3,1,SEC,111.3,92.6,69.8,16.6,16.9,50.8,46.2,18.9,17.6,29.5,29.0,30.0,30.9,2.5,77.6,4,1
Northwestern,Indiana,-2,2021-02-10,B10,107.7,95.7,69.7,15.9,17.9,52.0,51.1,16.0,16.9,19.2,25.6,35.4,34.2,1.51,77.8,0,0,B10,110.6,91.2,66.1,18.0,17.3,50.5,48.0,16.9,17.8,24.4,25.9,34.7,33.8,1.35,77.3,2,1
Providence,Connecticut,-2,2021-02-10,BE,109.2,98.2,66.1,18.2,17.3,49.1,50.1,17.0,16.8,30.1,29.7,32.4,31.0,1.86,78.1,1,0,BE,111.6,93.7,64.2,19.3,17.4,49.4,47.7,18.8,21.0,37.7,29.7,35.7,32.3,1.93,77.8,2,0
Saint Louis,Rhode Island,5,2021-02-10,A10,110.5,94.5,69.6,15.9,17.7,55.1,48.4,17.6,22.3,34.6,22.9,37.9,35.0,1.89,76.2,2,1,A10,104.4,92.7,69.2,16.9,16.9,49.8,46.4,21.2,18.1,29.7,26.5,31.5,31.8,1.91,76.4,2,0
UCF,Wichita St.,1,2021-02-10,Amer,104.5,97.4,68.1,17.5,17.1,48.6,51.6,22.5,20.8,28.3,32.2,34.5,33.2,1.53,77.7,2,1,Amer,108.9,98.6,68.9,17.0,17.5,46.4,46.7,15.6,17.3,29.5,33.1,31.8,29.7,1.84,76.6,4,1
UNC Greensboro,Furman,1,2021-02-10,SC,100.7,95.0,68.6,16.6,16.8,47.4,47.1,16.9,21.6,33.1,25.5,28.6,30.2,1.72,77.2,4,0,SC,108.7,100.2,69.2,16.1,17.1,56.8,50.8,18.7,21.7,28.1,29.6,35.1,34.6,1.96,76.6,2,1
South Florida,Houston,-10,2021-02-10,Amer,102.0,95.1,66.6,17.8,17.1,46.8,48.3,21.9,19.5,35.0,24.8,34.2,28.3,1.9,78.3,2,1,Amer,114.1,88.1,65.7,19.1,16.6,48.5,41.8,17.9,22.2,40.3,27.1,34.1,26.4,1.78,77.0,4,1
Boston College,Wake Forest,3,2021-02-10,ACC,106.2,100.0,70.9,16.6,16.7,51.2,54.5,19.6,18.9,24.9,28.5,33.8,34.1,1.8,76.7,1,0,ACC,104.2,98.9,68.1,18.6,16.4,51.2,53.3,20.7,20.3,27.5,25.0,36.5,36.8,1.7,77.5,2,0
Villanova,Marquette,11,2021-02-10,BE,119.2,94.7,64.6,18.4,17.2,54.0,52.8,13.6,19.7,28.8,24.6,37.5,36.8,1.89,77.9,4,1,BE,109.0,98.0,67.0,18.2,17.0,51.7,47.3,20.7,15.4,30.5,28.7,34.5,35.6,1.74,78.1,1,0
San Francisco,Pepperdine,6,2021-02-10,WCC,106.8,96.2,68.6,17.6,16.6,52.6,46.6,18.0,20.0,25.9,24.6,36.3,28.7,2.07,77.8,2,0,WCC,105.3,100.4,71.3,15.6,17.3,49.2,51.1,17.4,18.3,23.0,27.5,31.3,29.0,1.94,76.7,3,1
Nebraska,Wisconsin,-11,2021-02-10,B10,102.1,97.6,72.6,14.6,17.7,46.0,49.7,18.6,19.8,26.1,29.9,30.2,31.6,2.0,78.2,0,0,B10,112.6,89.4,65.2,18.4,17.8,51.0,46.6,13.8,17.6,23.0,23.7,36.5,31.9,2.38,78.0,2,0
