home,away,predict_kp,date,conf_x,adj_off_x,adj_def_x,adj_tempo_x,poss_off_x,poss_def_x,fg_off_x,fg_def_x,turnover_off_x,turnover_def_x,reb_off_x,reb_def_x,three_off_x,three_def_x,experience_x,height_x,wins_five_x,wins_last_x,conf_y,adj_off_y,adj_def_y,adj_tempo_y,poss_off_y,poss_def_y,fg_off_y,fg_def_y,turnover_off_y,turnover_def_y,reb_off_y,reb_def_y,three_off_y,three_def_y,experience_y,height_y,wins_five_y,wins_last_y
Purdue,Penn St.,4,2021-01-17,B10,110.9,92.3,66.5,18.4,17.3,53.1,49.7,20.0,17.1,31.3,21.3,37.4,31.3,1.09,78.4,3,1,B10,112.1,96.3,68.1,16.8,17.8,52.3,53.7,16.1,21.0,31.8,29.3,37.6,31.6,2.2,76.0,1,0
Northwestern,Iowa,-8,2021-01-17,B10,108.1,95.0,70.2,15.5,18.1,52.6,49.2,14.7,16.2,20.1,25.3,37.7,33.2,1.5,77.8,1,0,B10,123.4,95.8,71.4,15.5,17.2,56.7,48.1,13.5,19.0,34.2,31.6,39.3,34.9,1.67,77.8,4,1
Tulsa,Memphis,1,2021-01-17,Amer,102.3,92.5,65.4,17.6,18.0,49.4,44.4,19.9,21.7,28.1,32.8,28.2,31.5,2.27,77.2,4,0,Amer,102.5,90.3,72.6,15.6,16.8,46.5,45.2,20.1,22.8,33.6,22.3,30.4,30.7,1.08,77.7,3,1
Marshall,Western Kentucky,4,2021-01-17,CUSA,106.7,96.9,73.2,14.4,17.4,53.4,48.0,18.3,20.9,25.2,28.8,33.8,35.2,1.98,77.2,3,0,CUSA,107.1,98.5,69.3,17.4,16.0,49.2,51.6,20.0,19.6,32.8,21.8,31.2,38.7,2.15,76.3,3,1
Wake Forest,Virginia Tech,-8,2021-01-17,ACC,104.1,100.3,69.2,18.0,16.8,53.8,53.9,20.5,22.7,24.9,24.7,33.1,33.6,1.83,77.3,1,0,ACC,111.3,93.2,67.4,17.8,17.8,53.2,48.6,17.6,18.4,30.9,23.1,35.7,33.1,1.62,76.3,4,1
San Diego,Santa Clara,-2,2021-01-17,WCC,97.8,100.4,70.6,15.7,17.4,45.1,51.2,19.3,17.1,18.5,28.2,34.0,38.9,2.18,77.4,1,0,WCC,98.0,94.9,70.9,15.4,18.2,43.4,43.5,17.3,17.2,25.3,23.1,23.5,31.5,1.95,79.1,2,0
Houston,UCF,13,2021-01-17,Amer,112.5,88.4,65.7,19.1,16.5,47.4,41.1,18.2,23.4,40.4,26.4,32.5,26.0,1.77,77.1,4,1,Amer,102.8,95.3,67.2,17.6,17.5,46.3,48.8,19.8,21.4,26.2,32.0,35.1,32.3,1.5,77.6,2,0
Charleston,Northeastern,-2,2021-01-17,CAA,100.5,105.3,64.5,19.0,17.4,50.2,53.2,17.0,18.1,24.3,24.6,37.0,36.4,1.96,76.9,3,0,CAA,99.6,98.1,67.5,18.2,16.4,51.4,47.5,19.8,17.2,18.9,25.4,35.3,27.8,1.12,77.6,5,1
Iona,Saint Peter's,-1,2021-01-17,MAAC,98.9,104.0,67.5,17.7,17.3,50.4,48.4,20.8,20.6,32.9,26.1,33.3,32.2,1.71,77.1,4,1,MAAC,96.5,97.7,67.6,17.3,16.5,48.0,46.3,21.2,22.2,29.4,32.2,34.1,36.0,1.27,76.1,2,0
Loyola MD,Lafayette,-1,2021-01-17,Pat,99.5,106.6,69.8,19.4,16.4,52.7,58.9,19.6,18.1,40.0,26.7,47.1,45.2,1.55,77.7,0,0,Pat,103.4,106.8,69.3,17.3,16.2,53.3,51.5,14.8,17.8,27.7,24.4,40.6,36.0,1.96,77.5,4,1
George Washington,Dayton,-8,2021-01-17,A10,102.2,106.3,71.0,16.8,16.7,52.1,50.7,21.1,18.3,28.4,29.3,34.6,33.1,1.39,78.1,2,0,A10,108.5,97.5,65.8,18.8,18.0,57.3,48.7,23.1,19.4,24.0,30.9,37.4,33.0,2.07,77.7,3,1
Loyola Chicago,Northern Iowa,11,2021-01-17,MVC,109.0,92.9,65.3,17.9,17.9,56.1,49.3,18.0,21.3,26.6,21.9,36.1,36.9,2.22,76.2,4,1,MVC,105.3,102.2,71.2,16.9,17.4,51.2,52.7,18.8,15.1,24.0,22.0,34.9,34.8,1.41,76.5,1,0
Delaware,Hofstra,-1,2021-01-17,CAA,96.9,104.1,67.2,18.3,17.2,47.2,49.8,19.7,20.3,25.3,26.6,29.4,38.8,1.72,78.0,2,1,CAA,101.1,102.6,69.5,16.4,17.6,48.7,50.1,18.8,17.1,25.3,25.5,28.5,33.1,1.72,76.8,2,0
Nevada,Fresno St.,8,2021-01-17,MWC,104.1,98.2,70.3,17.0,17.4,50.4,46.6,19.9,17.7,26.2,23.9,35.4,32.4,1.03,78.3,3,1,MWC,100.2,101.5,66.1,17.9,16.8,49.3,53.5,20.6,20.0,34.3,21.2,28.7,38.1,1.32,77.2,3,0
