home,away,predict_kp,date,conf_x,adj_off_x,adj_def_x,adj_tempo_x,poss_off_x,poss_def_x,fg_off_x,fg_def_x,turnover_off_x,turnover_def_x,reb_off_x,reb_def_x,three_off_x,three_def_x,experience_x,height_x,wins_five_x,wins_last_x,conf_y,adj_off_y,adj_def_y,adj_tempo_y,poss_off_y,poss_def_y,fg_off_y,fg_def_y,turnover_off_y,turnover_def_y,reb_off_y,reb_def_y,three_off_y,three_def_y,experience_y,height_y,wins_five_y,wins_last_y
Florida St.,Virginia,-1,2021-02-15,ACC,116.0,94.7,69.5,16.8,17.5,54.3,47.6,19.9,20.1,35.8,29.1,38.7,34.4,1.99,79.6,4,1,ACC,116.3,90.2,59.8,20.1,18.8,57.5,47.0,15.1,16.1,21.9,22.1,39.9,32.1,1.9,77.8,4,1
Chattanooga,East Tennessee St.,-1,2021-02-15,SC,104.6,104.1,67.1,18.0,16.6,51.2,52.9,15.5,19.3,22.3,24.8,36.1,34.9,2.0,77.1,4,1,SC,103.6,98.7,65.8,17.9,17.3,51.0,50.3,20.5,20.4,31.1,26.4,35.4,33.8,1.94,77.2,2,1
Washington St.,Washington,7,2021-02-15,P12,101.0,93.9,69.1,17.7,16.7,48.1,46.0,21.2,18.7,29.6,27.0,34.2,31.3,1.11,78.7,3,0,P12,103.4,103.2,70.7,16.5,17.8,48.1,51.0,19.3,17.3,24.0,37.3,33.2,35.1,1.93,77.9,0,0
Jackson St.,Texas Southern,-1,2021-02-15,SWAC,91.1,101.1,69.4,16.8,16.6,43.7,44.8,23.8,21.8,29.4,30.2,31.4,32.0,2.35,76.5,5,1,SWAC,98.8,105.4,70.1,16.6,16.2,46.8,48.1,22.0,17.4,32.2,26.6,28.5,33.0,2.55,77.9,5,1
Texas A&M Corpus Chris,Houston Baptist,1,2021-02-15,Slnd,91.8,109.3,68.8,17.4,16.8,46.5,51.6,25.1,18.2,24.7,30.5,32.4,33.4,2.23,76.2,0,0,Slnd,96.2,111.4,72.3,16.4,15.7,50.3,53.8,24.3,18.6,25.6,33.5,35.8,33.6,1.39,76.7,2,1
Presbyterian,USC Upstate,1,2021-02-15,BSth,92.4,107.2,65.3,19.1,17.1,46.9,52.9,23.5,21.8,32.7,29.3,31.3,36.0,0.88,77.3,2,0,BSth,97.3,111.4,68.0,17.8,16.8,48.7,54.7,20.1,17.8,24.1,28.3,34.7,35.7,1.67,76.0,1,0
SIU Edwardsville,Murray St.,-7,2021-02-15,OVC,96.3,107.3,68.9,17.6,16.4,50.9,52.1,23.7,20.0,28.7,32.2,33.3,33.1,1.75,76.5,2,0,OVC,104.3,101.3,66.7,17.4,17.7,55.1,48.7,20.1,20.1,27.4,26.1,36.0,30.1,1.49,76.8,4,1
New Orleans,Stephen F. Austin,-8,2021-02-15,Slnd,95.9,108.9,72.0,16.4,16.0,49.2,53.5,22.4,21.5,29.3,30.9,32.0,33.6,2.17,74.5,2,0,Slnd,104.2,103.9,70.7,16.5,16.3,55.9,52.9,24.1,24.4,37.5,27.1,33.3,36.7,2.4,76.8,4,1
Tennessee Tech,Eastern Kentucky,-8,2021-02-15,OVC,95.2,110.0,68.4,17.2,17.3,49.3,54.3,22.9,17.6,25.7,27.7,31.2,35.0,1.49,77.0,1,1,OVC,100.7,101.0,75.4,15.2,16.1,50.1,50.6,16.7,24.5,28.3,30.1,33.9,33.1,1.3,76.0,2,1
Longwood,Hampton,7,2021-02-15,BSth,97.4,104.3,64.9,18.6,17.6,50.1,51.9,20.3,20.3,26.4,26.2,33.6,30.8,1.24,75.8,4,1,BSth,94.0,107.9,71.6,16.2,17.1,48.5,48.1,17.8,18.3,22.7,32.3,33.0,31.4,1.85,78.0,3,1
