home_team,away_team
Gonzaga,Dixie State
Baylor,Central Arkansas
Tulsa,Houston
West Virginia,Northeastern
Iowa,Northwestern
Texas Tech,Incarnate Word
Rutgers,Purdue
Clemson,Florida State
Virginia Tech,Miami (FL)
Evansville,Bellarmine
Eastern Michigan,Central Michigan
McNeese State,Champion Christian
Rider,Coppin State
Abilene Christian,Dallas Christian
Lipscomb,Freed-Hardeman
Sam Houston State,Mary Hardin-Baylor
Alabama,Ole Miss
Kansas State,Omaha
USC,Santa Clara
Memphis,South Florida
Lamar,Southeastern Louisiana
LSU,Texas A&M
Iona,Towson
Mercer,Wofford
