home_team,away_team
Texas Tech,Kansas
St. John's (NY),Creighton
Loyola Marymount,UC-Irvine
Eastern Kentucky,Campbellsville
Seattle,College of Idaho
ETSU,Columbia International
North Alabama,Crowley's Ridge
Coastal Carolina,Delaware State
Southern Utah,Dixie State
Nebraska,Doane College
Appalachian State,Greensboro
North Texas,Houston Baptist
Bradley,Jackson State
New Mexico,LeTourneau
Sacred Heart,LIU
Wyoming,Omaha
Saint Louis,NC State
Southern Illinois,North Dakota
Valparaiso,Purdue Northwest
Idaho State,SAGU Amer. Indian Coll.
Drexel,St. Joseph's
Oregon,San Francisco
Marquette,Seton Hall
Bryant,Wagner
