home_team,away_team
Michigan State,Western Michigan
Georgetown,West Virginia
Texas,Villanova
Texas Tech,Grambling
Georgia Tech,Kentucky
Howard,Bellarmine
Marist,Binghamton
Bowling Green State,Buffalo
UCLA,California
Denver,UC-Riverside
North Alabama,Carver College
Wake Forest,Catawba
Little Rock,Central Arkansas
Michigan,UCF
Western Illinois,Central Michigan
Ohio,Cleveland State
Drexel,Coppin State
Iowa State,DePaul
Notre Dame,Detroit
Longwood,Greensboro
Sam Houston State,Howard Payne
Evansville,IUPUI
Florida International,Jacksonville State
Valparaiso,Judson
Army,La Salle
Niagara,Lincoln (PA)
Northwestern State,Louisiana-Monroe
Stephen F. Austin,Louisiana State-Alexandria
LSU,Louisiana Tech
Western Kentucky,Mississippi Valley State
Wichita State,Missouri
Quinnipiac,New Hampshire
Appalachian State,North Carolina Wesleyan
TCU,Oklahoma
San Diego State,Pepperdine
Southern Illinois,Quincy
Long Beach State,Seattle
Penn State,Seton Hall
Mercer,Southern Wesleyan
Drake,St. Ambrose
Florida,Stetson
St. John's (NY),Stony Brook
Western Carolina,Tennessee Tech
Texas A&M,Texas-Rio Grande Valley
Alabama-Birmingham,Troy
Presbyterian,Wofford
Oregon State,Wyoming
Cincinnati,Xavier
