home_team,away_team
Texas,Iowa State
TCU,Kansas
Mississippi State,Missouri
Michigan State,Rutgers
Texas Tech,Kansas State
Clemson,NC State
Eastern Michigan,Akron
Holy Cross,Boston University
Gardner-Webb,Campbell
Bowling Green State,Central Michigan
Marquette,UConn
Texas-Rio Grande Valley,Dallas Christian
Duquesne,Davidson
Fordham,Dayton
Coppin State,Delaware State
Alabama,Florida
Radford,Hampton
USC Upstate,Longwood
UCF,Memphis
Purdue,Nebraska
Miami (FL),UNC
Ohio,Northern Illinois
Kent State,Toledo
Kentucky,Vanderbilt
Ball State,Western Michigan
Charleston Southern,Winthrop
