home_team,away_team
Gonzaga,San Francisco
Arizona State,Oregon
Colorado,USC
Iowa,Ohio State
BYU,Santa Clara
Arizona,Oregon State
SIU-Edwardsville,Austin Peay
Morehead State,Belmont
Utah Valley,Cal State Bakersfield
Cal Poly,UC-Davis
Cal State Fullerton,UCSB
Charleston Southern,Campbell
Temple,UConn
James Madison,Elon
Southern Illinois,Evansville
Hampton,Gardner-Webb
Texas State,Georgia Southern
Texas-Arlington,Georgia State
Seattle,Grand Canyon
New Hampshire,Hartford
UC-Riverside,Hawaii
Drexel,Hofstra
North Alabama,Kennesaw State
Jacksonville,Lipscomb
USC Upstate,Longwood
Saint Mary's,Loyola Marymount
Albany (NY),UMBC
Binghamton,UMass-Lowell
Nebraska,Michigan State
Portland State,Montana State
Eastern Illinois,Murray State
Purdue-Fort Wayne,Omaha
Radford,UNC Asheville
Liberty,North Florida
Delaware,Northeastern
Idaho,Northern Arizona
Indiana State,Northern Iowa
Cleveland State,Northern Kentucky
Denver,Oral Roberts
Portland,Pepperdine
High Point,Presbyterian
Eastern Washington,Sacramento State
Appalachian State,South Alabama
Wichita State,South Florida
Jacksonville State,Southeast Missouri State
Northern Colorado,Southern Utah
Washington,Stanford
NJIT,Stetson
Tennessee Tech,UT-Martin
Eastern Kentucky,Tennessee State
Coastal Carolina,Troy
Utah,UCLA
Stony Brook,Vermont
Towson,William & Mary
Youngstown State,Wright State
