home_team,away_team
Baylor,Alcorn State
Missouri,Tennessee
Notre Dame,Virginia
Ohio State,Nebraska
Auburn,Arkansas
Tennessee State,Austin Peay
NC State,Boston College
Ohio,Bowling Green State
Providence,Butler
Winthrop,Campbell
McNeese State,Champion Christian
Houston Baptist,Dallas Christian
UConn,DePaul
Saint Louis,Duquesne
Eastern Kentucky,Eastern Illinois
Vanderbilt,Florida
Colorado State,Fresno State
Chattanooga,Furman
Hampton,Gardner-Webb
UMass,George Mason
Fordham,George Washington
Dayton,La Salle
Georgia,Mississippi State
Belmont,Murray State
Wichita State,Newman
Georgia Tech,UNC
Longwood,UNC Asheville
Citadel,UNC Greensboro
Indiana,Penn State
Seattle,Portland
TCU,Prairie View
Presbyterian,Radford
Davidson,Richmond
Saint Mary's,Sacramento State
Xavier,Seton Hall
High Point,USC Upstate
Tennessee Tech,Southeast Missouri State
Temple,SMU
Rhode Island,St. Bonaventure
Jacksonville State,UT-Martin
UCF,Tulane
St. Joseph's,VCU
Samford,VMI
ETSU,Western Carolina
