home_team,away_team
Iowa,Minnesota
Illinois,Maryland
Virginia Tech,Notre Dame
Northern Iowa,Bradley
Lafayette,Bucknell
Longwood,Campbell
James Madison,Chowan
Wichita State,Cincinnati
Boston University,Colgate
College of Charleston,Drexel
Winthrop,Gardner-Webb
UMass-Lowell,Hartford
Army,Holy Cross
Evansville,Illinois State
Nebraska,Indiana
Navy,Lehigh
Indiana State,Loyola (IL)
NJIT,Maine
Monmouth,Marist
New Hampshire,UMBC
Valparaiso,Missouri State
Norfolk State,Morgan State
Hampton,UNC Asheville
Xavier,Providence
Charleston Southern,Radford
Loyola Marymount,San Francisco
Fresno State,San Jose State
Fairfield,Siena
Florida A&M,South Carolina State
Presbyterian,USC Upstate
Binghamton,Vermont
