home_team,away_team
Missouri,Illinois
Tennessee,Cincinnati
UNC,North Carolina Central
Texas Tech,Texas A&M-Corpus Christi
Florida State,Florida
ETSU,Alabama-Birmingham
Tulane,Arkansas-Pine Bluff
Lipscomb,Belmont
Pepperdine,Cal State Northridge
Loyola Marymount,UCSB
McNeese State,Carver College
Arkansas,Central Arkansas
Northwestern State,Champion Christian
Alabama,Clemson
Middle Tennessee,Covenant
Kennesaw State,Dalton State
Western Michigan,Detroit
Denver,Dixie State
Saint Louis,Evansville
Furman,Flagler
Oklahoma,Florida A&M
Miami (FL),Florida Gulf Coast
North Florida,Florida International
California Baptist,Fresno Pacific
Pitt,Gardner-Webb
Coastal Carolina,Greensboro
UNC Asheville,High Point
Cal State Bakersfield,Idaho
Ball State,Illinois State
Purdue,Indiana State
Fairfield,Iona
Drexel,La Salle
Louisiana,Louisiana Tech
Canisius,Marist
Abilene Christian,McMurry
Auburn,Memphis
Dayton,Mississippi State
Toledo,UMKC
St. Peter's,Niagara
Ole Miss,UNC Wilmington
North Dakota,North Dakota State
Chattanooga,North Georgia
Kentucky,Notre Dame
Wichita State,Oklahoma State
VCU,Old Dominion
Washington,Oregon
Texas State,Our Lady of the Lake
Sacred Heart,Rhode Island College
Manhattan,Rider
Santa Clara,Sacramento State
St. Bonaventure,Saint Francis (PA)
Georgia,Samford
Southern Miss,South Alabama
South Dakota,South Dakota State
Louisiana-Monroe,Stephen F. Austin
Bryant,Stony Brook
Boston College,Syracuse
IUPUI,Tennessee State
Texas A&M,TCU
Arizona,UTEP
Eastern Kentucky,Transylvania
BYU,Utah
Central Michigan,Valparaiso
North Carolina A&T,Western Carolina
Eastern Illinois,Western Illinois
USC Upstate,Winthrop
South Florida,Wofford
Utah Valley,Wyoming
