home_team,away_team
Northwestern,Michigan State
Houston,Alcorn State
UConn,Creighton
Texas,Oklahoma State
Rutgers,Illinois
Nevada,Air Force
UTEP,Benedictine
Georgia Southern,Carver College
Arkansas State,Champion Christian
Drake,Chicago State
Purdue-Fort Wayne,Cleveland State
Washington,Colorado
Georgia Tech,Delaware State
North Alabama,Freed-Hardeman
St. John's (NY),Georgetown
Iowa State,Jackson State
Hartford,Maine
Manhattan,Marist
Xavier,Marquette
Albany (NY),UMBC
Green Bay,Milwaukee
UIC,Oakland
Arkansas,Oral Roberts
UTSA,Our Lady of the Lake
Seton Hall,Providence
Marshall,Robert Morris
Minnesota,Saint Louis
Grand Canyon,San Francisco
Binghamton,Stony Brook
Portland State,Weber State
UT-Martin,Western Illinois
Detroit,Wright State
Northern Kentucky,Youngstown State
