home_team,away_team
Baylor,Nicholls State
Iowa,UNC
Kansas,Creighton
Duke,Illinois
Tennessee,Colorado
Virginia Tech,Penn State
Rutgers,Syracuse
Notre Dame,Ohio State
Murray State,Austin Peay
Northern Illinois,Ball State
Minnesota,Boston College
St. Francis (NY),Bryant
USC,UC-Irvine
Jacksonville,Campbell
Charleston Southern,Carver College
Saint Louis,Central Arkansas
Fairleigh Dickinson,Central Connecticut
Georgetown,Coppin State
UMBC,Delaware
UNC Asheville,ETSU
New Orleans,Florida National University
Kansas State,Fort Hays State
Marquette,Green Bay
VMI,Greensboro
Utah,Idaho State
Mississippi State,Jackson State
Detroit,Kent State
Louisiana,Louisiana State-Alexandria
Memphis,Mississippi Valley State
Georgia,Montana
Iona,Morgan State
Longwood,North Carolina A&T
Dayton,Northern Kentucky
Portland State,Northwest University
Oklahoma State,Oral Roberts
Miami (FL),Purdue
St. John's (NY),Rider
Mount St. Mary's,Saint Francis (PA)
South Florida,Stetson
Belmont,Tennessee State
Saint Mary's,UTEP
Indiana State,Truman State
Seton Hall,Wagner
South Alabama,William Carey
