home_team,away_team
Louisiana-Monroe,Arkansas State
Long Beach State,Cal State Bakersfield
UCSB,Cal State Fullerton
IUPUI,Cleveland State
Coastal Carolina,Georgia State
Youngstown State,Green Bay
Northern Kentucky,Purdue-Fort Wayne
Kennesaw State,Jacksonville
Akron,Kent State
Lipscomb,Liberty
Louisiana Tech,Marshall
Incarnate Word,McMurry
Robert Morris,Milwaukee
Montana State,Montana Western
Marist,Niagara
Stetson,North Florida
Florida International,Old Dominion
Fairfield,Rider
Canisius,St. Peter's
Georgia Southern,South Alabama
Little Rock,Texas-Arlington
Southern Miss,UTEP
Rice,UTSA
Louisiana,Texas State
Bellarmine,Transylvania
Appalachian State,Troy
Charlotte,Western Kentucky
Oakland,Wright State
