home_team,away_team
Baylor,Gonzaga
Kansas,North Dakota State
Houston,South Carolina
Saint Louis,Arkansas-Pine Bluff
Liberty,Bluefield College (VA)
Utah State,BYU
UMass-Lowell,Bryant
Northwestern,Chicago State
Mercer,Columbia International
George Washington,Coppin State
Green Bay,Eastern Illinois
Arizona,Eastern Washington
Providence,Fairleigh Dickinson
Florida Gulf Coast,Florida National University
College of Charleston,Furman
USC Upstate,Georgia Southern
Sacramento State,Idaho
Ball State,UIC
Murray State,Illinois State
Texas State,Incarnate Word
Hofstra,Iona
Air Force,Lamar
Loyola (IL),Lewis
Arkansas,Lipscomb
Louisiana,Louisiana State-Shreveport
Binghamton,Marist
Wright State,Miami (OH)
South Dakota,UMKC
Southern Utah,Montana
VCU,Mount St. Mary's
SIU-Edwardsville,Omaha
Kansas State,UNLV
UConn,NC State
High Point,North Florida
Pitt,Northern Illinois
Chattanooga,Northern Kentucky
Oklahoma State,Oakland
Robert Morris,Point Park
Portland,Portland State
East Carolina,Radford
Houston Baptist,Rice
Syracuse,Rider
Delaware,Salem International
Belmont,Samford
UNC Asheville,South Carolina State
Dayton,SMU
Dixie State,St. Katherine
UTEP,Sul Ross State
Abilene Christian,Tarleton State
Citadel,Toccoa Falls
Colorado,Washington State
