home_team,away_team
Marquette,Villanova
Tennessee,USC Upstate
Ohio State,Rutgers
Creighton,Xavier
Penn State,Illinois
Oregon,UCLA
Notre Dame,Bellarmine
Pepperdine,Cal State Bakersfield
Iona,Coppin State
UNC Wilmington,Delaware State
Seton Hall,Georgetown
Alabama-Birmingham,Georgia Tech
Northern Colorado,Idaho State
Saint Louis,UMKC
Boise State,New Mexico
Rider,NJIT
Indiana,Northwestern
Washington State,Northwestern State
Texas A&M-Corpus Christi,Paul Quinn
Butler,Providence
St. Francis (NY),St. Peter's
Utah State,San Jose State
Oregon State,Santa Clara
Grambling,Southeastern Louisiana
Tulsa,Southwestern Christian
UC-San Diego,St. Katherine
George Mason,Towson
Air Force,Utah Valley
BYU,Weber State
DePaul,Western Illinois
