home_team,away_team
Gonzaga,Northwestern State
Kansas,West Virginia
Iowa,Purdue
Houston,Temple
Wisconsin,Nebraska
Missouri,Bradley
Oklahoma,Texas Tech
Virginia,William & Mary
NC State,UNC
Arkansas,Abilene Christian
Liberty,Alcorn State
Auburn,Appalachian State
Western Michigan,Ball State
George Washington,Charlotte
Tennessee State,Chattanooga
UCF,Cincinnati
Grand Canyon,Colorado
Alabama,ETSU
Fairfield,Fairleigh Dickinson
Florida Gulf Coast,Georgia Southern
Charleston Southern,Hampton
Eastern Kentucky,High Point
Richmond,Hofstra
Texas-Arlington,Howard Payne
Northern Colorado,Idaho State
VCU,James Madison
Maryland,La Salle
UTSA,Lamar
Louisiana-Monroe,Louisiana Tech
Pitt,Louisville
Boston College,Maine
Kennesaw State,Mercer
Arizona,Montana
Portland,Montana State
NJIT,New Hampshire
Albany (NY),Niagara
Marshall,UNC Asheville
North Carolina A&T,UNC Greensboro
Drake,North Dakota
TCU,North Dakota State
Georgia,Northeastern
Denver,Northern Arizona
Toledo,Northern Illinois
Akron,Ohio
Oregon State,Portland State
Citadel,Presbyterian
Wagner,Sacred Heart
San Diego State,Saint Mary's
California,Seattle
Indiana State,Southeast Missouri State
Loyola (IL),St. Francis (IL)
UC-San Diego,St. Katherine
Ole Miss,UT-Martin
Western Kentucky,Tennessee Tech
East Carolina,Tulane
Davidson,Vanderbilt
UMass-Lowell,Vermont
Old Dominion,Virginia Wesleyan
Morgan State,Washington Adventist
South Florida,Wichita State
