home_team,away_team
UNLV,UNC
Davidson,Texas
UCLA,Long Beach State
Duquesne,Little Rock
UCF,Auburn
Appalachian State,Bowling Green State
Tennessee Tech,Chattanooga
Miami (OH),Defiance
Xavier,Eastern Kentucky
Stetson,Emmanuel
Hofstra,Fairleigh Dickinson
Mercer,Georgia State
Providence,Indiana
Seton Hall,Iona
Minnesota,Loyola Marymount
Kansas State,UMKC
Jacksonville State,Mobile
California,Nicholls State
Nevada,Pacific
Western Carolina,Piedmont
Cal State Northridge,Seattle
LSU,Southeastern Louisiana
Campbell,St. Andrews
Boston College,St. John's (NY)
Alabama,Stanford
SMU,Texas A&M-Corpus Christi
Wyoming,Texas Southern
Mississippi State,Texas State
