home_team,away_team
Marquette,Wisconsin
Duke,Bellarmine
Michigan State,Detroit
Creighton,Kennesaw State
Virginia,Kent State
Texas Tech,Troy
Seton Hall,Oregon
Texas A&M-Corpus Christi,Arlington Baptist
Gardner-Webb,Campbell
Austin Peay,Carver College
Memphis,Central Arkansas
Hartford,Central Connecticut
Arkansas State,Crowley's Ridge
Winthrop,Duquesne
Stony Brook,Fairfield
South Florida,Florida A&M
Charlotte,Georgia State
Georgia,Jacksonville
Florida International,Jacksonville State
Loyola Marymount,Long Beach State
Stephen F. Austin,McNeese State
Louisville,UNC Greensboro
Minnesota,North Dakota
Mississippi State,North Texas
Texas-Rio Grande Valley,Our Lady of the Lake
Auburn,South Alabama
Bradley,South Dakota State
California Baptist,Southeastern Louisiana
Northern Iowa,St. Ambrose
Miami (FL),Stetson
UTSA,Sul Ross State
Tulsa,Texas-Arlington
Eastern Michigan,Toledo
Purdue,Valparaiso
Pacific,Westmont
UC-Davis,William Jessup
