home_team,away_team
SMU,Houston
Michigan,Northwestern
Minnesota,Ohio State
Vermont,Albany (NY)
Colgate,Army
Hartford,Binghamton
Delaware,College of Charleston
South Dakota,Denver
George Washington,Duquesne
Northeastern,Elon
Missouri State,Indiana State
Lafayette,Lehigh
North Dakota,UMKC
Siena,Monmouth
Bucknell,Navy
Maine,New Hampshire
UMass-Lowell,NJIT
South Carolina State,North Carolina A&T
Gardner-Webb,NC State
Western Illinois,North Dakota State
Evansville,Northern Iowa
Omaha,Oral Roberts
Rhode Island,St. Joseph's
Drake,Southern Illinois
Georgia Tech,Wake Forest
Hofstra,William & Mary
