home_team,away_team
Gonzaga,Northwestern State
Baylor,Arkansas-Pine Bluff
Tennessee,St. Joseph's
Florida State,Gardner-Webb
Clemson,Morehead State
Missouri State,Little Rock
Samford,Belhaven (MS)
Evansville,Belmont
Southern Utah,Bethesda University (CA)
UMass,Bryant
Stanford,Cal State Bakersfield
Georgia State,College of Charleston
Lipscomb,Crowley's Ridge
Miami (OH),Defiance
SIU-Edwardsville,Eastern Illinois
North Florida,Edward Waters
Florida Atlantic,Florida College
Florida International,Univ. of Ft. Lauderdale
Charleston Southern,Hampton
Kansas State,Jacksonville
Virginia Tech,Longwood
Mississippi State,Mississippi Valley State
Valparaiso,Mt. St. Joseph
Austin Peay,Murray State
Boise State,New Mexico
Rice,New Orleans
Campbell,UNC Wilmington
Washington State,Prairie View
Wagner,Sacred Heart
Texas-Rio Grande Valley,Sam Houston State
Arizona,San Diego
UCSB,San Diego Christian
Utah State,San Jose State
Furman,South Carolina State
Butler,Southern Illinois
BYU,Texas Southern
Northern Arizona,Texas State
Memphis,Tulsa
UMass-Lowell,Vermont
George Mason,VMI
Stetson,Webber
Texas A&M,Wofford
