home_team,away_team
West Virginia,Iowa State
Tennessee,Tennessee Tech
San Diego State,BYU
Nevada,Air Force
Coastal Carolina,Alice Lloyd
Tennessee State,Belmont
Robert Morris,Bowling Green State
Georgia State,Carver College
Western Michigan,Central Michigan
Little Rock,Champion Christian
Northern Illinois,Chicago State
Appalachian State,Columbia International
Rhode Island,Davidson
Montana,Dickinson State (ND)
South Dakota,Drake
Northern Arizona,Eastern Washington
Wichita State,Emporia State
Niagara,Fairfield
Georgia Tech,Florida A&M
Jacksonville State,Georgia Southwestern
North Carolina A&T,Greensboro
Howard,Hampton
Utah,Idaho
Rider,Iona
Washington State,Montana State
Norfolk State,UNC Wilmington
Southern Illinois,North Dakota
Tulsa,Northwestern State
Loyola (IL),Richmond
Southern Utah,SAGU Amer. Indian Coll.
Monmouth,St. Peter's
San Jose State,Santa Clara
Presbyterian,South Carolina State
Morehead State,SIU-Edwardsville
Southeast Missouri State,UT-Martin
Gardner-Webb,VMI
Florida Gulf Coast,Webber
Portland State,Weber State
College of Charleston,Western Carolina
