home_team,away_team
Portland,Gonzaga
TCU,Baylor
West Virginia,Texas
Kansas,Oklahoma
Creighton,St. John's (NY)
Texas A&M,Tennessee
Houston,Tulane
Rutgers,Ohio State
Utah,Oregon
Iowa State,Texas Tech
Duke,Wake Forest
Boston College,Virginia
Eastern Michigan,Akron
Auburn,Alabama
Mississippi Valley State,Alabama A&M
Arkansas-Pine Bluff,Alabama State
St. Joseph's,Albany (NY)
Jackson State,Alcorn State
Louisiana,Little Rock
Holy Cross,Army
Eastern Illinois,Austin Peay
Buffalo,Ball State
Central Michigan,Bowling Green State
Cal State Bakersfield,Cal Poly
Utah Valley,California Baptist
UC-San Diego,UC-Irvine
Longwood,Campbell
Tulsa,UCF
Marshall,Charlotte
Citadel,Chattanooga
Boston University,Colgate
Butler,UConn
William & Mary,Delaware
College of Charleston,Drexel
Old Dominion,Florida Atlantic
Middle Tennessee,Florida International
Duquesne,Fordham
Winthrop,Gardner-Webb
St. Bonaventure,George Washington
Syracuse,Georgetown
Arkansas,Georgia
Appalachian State,Georgia Southern
Tarleton State,Grand Canyon
UMass-Lowell,Hartford
UC-Riverside,Hawaii
Northeastern,Hofstra
Lamar,Houston Baptist
Southern Utah,Idaho
Northern Arizona,Idaho State
Purdue-Fort Wayne,UIC
Evansville,Illinois State
New Orleans,Incarnate Word
Milwaukee,IUPUI
Morehead State,Jacksonville State
Liberty,Kennesaw State
Florida,Kentucky
UMass,La Salle
Bucknell,Lafayette
Bellarmine,Lipscomb
Cal State Fullerton,Long Beach State
Ole Miss,LSU
Western Kentucky,Louisiana Tech
NJIT,Maine
Quinnipiac,Manhattan
Monmouth,Marist
New Hampshire,UMBC
NC State,Miami (FL)
Vanderbilt,Mississippi State
Valparaiso,Missouri State
Northern Colorado,Montana State
Norfolk State,Morgan State
Lehigh,Navy
North Dakota State,Omaha
San Diego State,Nevada
Colorado State,UNLV
Hampton,UNC Asheville
Oral Roberts,North Dakota
Jacksonville,North Florida
UTSA,North Texas
Miami (OH),Northern Illinois
Cleveland State,Northern Kentucky
Portland State,Northwest Nazarene
McNeese State,Northwestern State
Green Bay,Oakland
Kansas State,Oklahoma State
Charleston Southern,Radford
VCU,Rhode Island
UTEP,Rice
George Mason,Richmond
Niagara,Rider
Seattle,Saint Martin's
Central Arkansas,Sam Houston State
Saint Mary's,Santa Clara
DePaul,Seton Hall
Fairfield,Siena
Coastal Carolina,South Alabama
UMKC,South Dakota
East Carolina,South Florida
Tennessee State,Southeast Missouri State
Nicholls State,Southeastern Louisiana
Grambling,Southern
Arizona State,USC
Alabama-Birmingham,Southern Miss
North Alabama,Stetson
Belmont,UT-Martin
Eastern Kentucky,Tennessee Tech
Louisiana-Monroe,Texas-Arlington
Arizona,UCLA
Binghamton,Vermont
California,Washington
Stanford,Washington State
South Dakota State,Western Illinois
Kent State,Western Michigan
Montana,Whitworth
UNC Greensboro,Wofford
Wright State,Youngstown State
