home_team,away_team
Iowa,Western Illinois
Kansas,Washburn
Virginia Tech,VMI
California,Arizona State
Eastern Illinois,Chicago State
Coastal Carolina,Columbia International
USC,UConn
Grambling,East Texas Baptist
Boston College,Florida
Florida Atlantic,Florida National University
Sacramento State,Idaho
Rice,LeTourneau
Louisiana Tech,Louisiana-Monroe
Wright State,Marshall
NC State,UMass-Lowell
Iona,Merrimack
Southern Utah,Montana
Drake,Omaha
Western Carolina,Newberry
Syracuse,Niagara
Citadel,North Carolina A&T
TCU,Northwestern State
Bowling Green State,Purdue Northwest
Drexel,Quinnipiac
Longwood,Regent
Liberty,Saint Francis (PA)
UCLA,Seattle
Pepperdine,St. Katherine
Northern Kentucky,Tennessee Tech
Oklahoma,UTSA
Saint Mary's,Texas Southern
Utah,Washington
Little Rock,Winthrop
