home_team,away_team
Iowa,Northern Illinois
Michigan State,Oakland
West Virginia,Richmond
Ohio State,Cleveland State
Grand Canyon,Arizona State
Drake,Air Force
Troy,Central Baptist
VMI,Hampton
UNC Asheville,High Point
South Carolina State,Jacksonville
Tennessee Tech,Jacksonville State
UIC,Loyola (IL)
Coppin State,UMBC
Northeastern,UMass
Georgia Southern,Mercer
Western Michigan,Milwaukee
Vanderbilt,Mississippi Valley State
NJIT,New Hampshire
UNC Greensboro,Norfolk State
Indiana,North Alabama
Kent State,Northern Kentucky
Seattle,Northwest University
Marshall,Ohio
Michigan,Penn State
Washington State,Portland State
Western Kentucky,Rhode Island
California,San Francisco
Cal Poly,San Jose State
Northwestern,SIU-Edwardsville
Georgetown,St. John's (NY)
USC,Stanford
Boise State,Weber State
USC Upstate,Winthrop
Bowling Green State,Wright State
Montana State,Yellowstone Christian
Binghamton,Youngstown State
