home_team,away_team
Oklahoma State,Kansas
Michigan,Wisconsin
Vanderbilt,Tennessee
Virginia Tech,Duke
Northern Illinois,Akron
Kentucky,Alabama
Mississippi Valley State,Alabama State
Grambling,Alcorn State
Bowling Green State,Ball State
Western Michigan,Buffalo
St. John's (NY),Butler
USC,UC-Riverside
SIU-Edwardsville,Eastern Illinois
Toledo,Eastern Michigan
Central Michigan,Kent State
Boston College,Miami (FL)
Ohio,Miami (OH)
Florida,Ole Miss
Marquette,Providence
Davidson,St. Joseph's
UNLV,St. Katherine
UNC,Syracuse
Oklahoma,TCU
