home_team,away_team
Tennessee,Appalachian State
Wisconsin,Loyola (IL)
Illinois,Minnesota
Florida State,Georgia Tech
Virginia Tech,Clemson
North Texas,Arkansas-Pine Bluff
McNeese State,Arlington Baptist
Oral Roberts,Bacone
Miami (OH),Buffalo
VMI,Campbellsville
Georgia Southern,Carver College
Davidson,Charlotte
Illinois State,Chicago State
Wofford,Coastal Carolina
Portland,College of Idaho
Saint Mary's,Eastern Washington
Austin Peay,Florida A&M
Stetson,Florida Atlantic
Alabama,Furman
ETSU,Gardner-Webb
Monmouth,Hofstra
Rice,Houston Baptist
Saint Louis,Indiana State
Louisiana Tech,Jackson State
Iowa State,Kansas State
UCLA,Long Beach State
Radford,Longwood
Louisiana,New Orleans
Stony Brook,Point Park
Grand Canyon,SAGU Amer. Indian Coll.
Liberty,South Carolina State
UNC Greensboro,USC Upstate
Evansville,Southeast Missouri State
Texas A&M,Southeastern Louisiana
Lamar,Southern Miss
Akron,St. Bonaventure
Central Connecticut,St. Francis (NY)
Cal State Northridge,Stanford
Texas State,Texas A&M-Corpus Christi
Auburn,Texas Southern
Murray State,Transylvania
Lipscomb,Trevecca Nazarene
Utah,Utah Valley
VCU,Western Carolina
Tulsa,Wichita State
