home_team,away_team
Gonzaga,Iowa
Kansas State,Baylor
Villanova,St. Joseph's
Wisconsin,Louisville
Florida State,UCF
Ohio State,UCLA
Kentucky,UNC
ETSU,
UMKC,
UMKC,
Stanford,Arizona
Indiana State,Ball State
Dixie State,Bethesda University (CA)
Syracuse,Buffalo
Indiana,Butler
Loyola Marymount,Cal Poly
California,Cal State Northridge
Pepperdine,UCSB
NC State,Campbell
Stetson,Carver College
Alabama-Birmingham,Chattanooga
Georgia,Cincinnati
Longwood,Citadel
Purdue-Fort Wayne,Cleveland State
Saint Mary's,Colorado State
Virginia Tech,Coppin State
Tennessee State,Crowley's Ridge
La Salle,Delaware
Fairleigh Dickinson,Drexel
Northern Arizona,Eastern Washington
Niagara,Fairfield
North Florida,Flagler
Fresno State,Fresno Pacific
Winthrop,Furman
Florida International,Georgia Southern
Tulane,Grambling
William & Mary,High Point
St. Bonaventure,Hofstra
Oklahoma,Houston Baptist
Rider,Iona
Miami (FL),Jacksonville
East Carolina,James Madison
Louisiana Tech,Lamar
Southern Miss,Louisiana-Monroe
Hartford,Maine
Akron,Malone
Manhattan,Marist
Albany (NY),UMBC
Louisiana,McNeese State
Bradley,Miami (OH)
Green Bay,Milwaukee
Dayton,Ole Miss
Temple,NJIT
Charlotte,North Carolina A&T
Elon,UNC Greensboro
Missouri State,Northwestern State
UIC,Oakland
Texas A&M-Corpus Christi,Our Lady of the Lake
Oregon,Portland
Notre Dame,Purdue
Vanderbilt,Radford
Sam Houston State,Rice
Monmouth,St. Peter's
Kennesaw State,Samford
Alabama A&M,South Alabama
Cal State Bakersfield,St. Katherine
Binghamton,Stony Brook
Denver,Texas State
Auburn,Troy
Toledo,Valparaiso
Morgan State,West Virginia Tech
Alabama,Western Kentucky
Detroit,Wright State
Northern Kentucky,Youngstown State
