home_team,away_team
Gonzaga,West Virginia
Baylor,Illinois
UNC,Texas
Missouri,Oregon
Florida State,North Florida
Ohio State,Morehead State
UC-Irvine,
Kent State,
Northwestern,Arkansas-Pine Bluff
Memphis,Arkansas State
Florida,Army
Michigan,Ball State
Tennessee State,Belmont
Santa Clara,Cal State Bakersfield
McNeese State,Dallas Christian
UNLV,Davidson
North Dakota,Dixie State
USC Upstate,Eastern Kentucky
UT-Martin,Evansville
South Florida,Florida Gulf Coast
Illinois State,Greenville
Fairfield,Hartford
SMU,Houston Baptist
Wyoming,Incarnate Word
Stanford,Indiana
Alabama-Birmingham,Kennesaw State
Howard,La Salle
Cincinnati,Lipscomb
New Orleans,Louisiana
Pacific,Montana State
Middle Tennessee,Murray State
Duquesne,UNC Greensboro
Norfolk State,Old Dominion
Wichita State,Oral Roberts
Washington State,Oregon State
Jacksonville,Presbyterian
Alabama,Providence
Drexel,Quinnipiac
Nevada,San Francisco
Rhode Island,Seton Hall
Clemson,South Carolina State
Iowa State,South Dakota State
California Baptist,Southeastern Louisiana
Southeast Missouri State,Southern Illinois
Northern Illinois,SIU-Edwardsville
Furman,Southern Wesleyan
BYU,St. John's (NY)
Texas A&M,Tarleton State
Xavier,Tennessee Tech
Texas-Rio Grande Valley,Texas A&M-Corpus Christi
Arkansas,Texas-Arlington
Penn State,VCU
Notre Dame,Western Michigan
Utah Valley,Westminster (UT)
Southern Miss,William Carey
