home_team,away_team
Arizona State,San Diego State
Northern Arizona,UC-Riverside
Nicholls State,Campbellsville
Stetson,Florida College
Campbell,Florida National University
Western Kentucky,Gardner-Webb
Ole Miss,Jackson State
San Francisco,Long Beach State
VMI,Mercer
Minnesota,UMKC
Western Illinois,Mt. St. Joseph
Jacksonville,New Orleans
Coppin State,UNC Greensboro
South Dakota,North Dakota
South Dakota State,North Dakota State
East Carolina,North Florida
Oregon State,Portland
Ohio,Purdue Northwest
Texas A&M-Corpus Christi,Texas-Rio Grande Valley
Morehead State,Transylvania
North Alabama,Troy
