home_team,away_team
Baylor,Oklahoma
Creighton,Seton Hall
Tennessee,Arkansas
Michigan,Minnesota
Houston,Wichita State
Louisville,Virginia Tech
Duke,Boston College
Virginia,Wake Forest
La Salle,Saint Louis
Houston Baptist,Abilene Christian
Boise State,Air Force
Ole Miss,Auburn
Mercer,Citadel
Butler,Georgetown
LSU,Georgia
Notre Dame,Georgia Tech
Northwestern State,Incarnate Word
Nicholls State,Lamar
George Washington,UMass
Central Arkansas,New Orleans
Wofford,UNC Greensboro
Utah,Oregon State
Ohio State,Penn State
Syracuse,Pitt
Richmond,Rhode Island
St. Bonaventure,St. Joseph's
Southeastern Louisiana,Sam Houston State
Chattanooga,Samford
Xavier,St. John's (NY)
South Carolina,Texas A&M
South Florida,Tulsa
New Mexico,Utah State
George Mason,VCU
