home_team,away_team
Gonzaga,San Francisco
Iowa State,Baylor
Kansas,Texas
Tennessee,Alabama
Oklahoma,West Virginia
Rutgers,Iowa
Providence,Creighton
Arkansas,Missouri
Texas Tech,Oklahoma State
Illinois,Purdue
Nebraska,Michigan State
Florida State,Duke
Oregon,Stanford
Vermont,Albany (NY)
Washington State,Arizona
Louisiana-Monroe,Arkansas State
Colgate,Army
Texas A&M,Auburn
UT-Martin,Belmont
Hartford,Binghamton
San Jose State,Boise State
Northern Illinois,Bowling Green State
Navy,Bucknell
Seton Hall,Butler
Long Beach State,Cal State Bakersfield
UCSB,Cal State Fullerton
Oregon State,California
McNeese State,Central Arkansas
South Florida,UCF
VMI,Chattanooga
Miami (FL),Clemson
IUPUI,Cleveland State
Delaware,College of Charleston
UCLA,Colorado
San Diego State,Colorado State
VCU,Davidson
South Dakota,Denver
St. John's (NY),DePaul
George Washington,Duquesne
Tulane,East Carolina
UNC Greensboro,ETSU
Austin Peay,Eastern Kentucky
Northeastern,Elon
South Carolina,Florida A&M
La Salle,Fordham
Dayton,George Mason
Coastal Carolina,Georgia State
Alabama State,Grambling
Youngstown State,Green Bay
Missouri State,Indiana State
Northern Kentucky,Purdue-Fort Wayne
Kennesaw State,Jacksonville
Mississippi State,Kentucky
Lehigh,Lafayette
Abilene Christian,Lamar
Lipscomb,Liberty
Florida,LSU
Boston College,Louisville
Georgetown,Marquette
Louisiana Tech,Marshall
Furman,Mercer
Robert Morris,Milwaukee
Arkansas-Pine Bluff,Mississippi Valley State
North Dakota,UMKC
Murray State,Morehead State
Bellarmine,Mt. St. Joseph
New Mexico,Nevada
Maine,New Hampshire
UC-Riverside,New Mexico State
Stephen F. Austin,New Orleans
Marist,Niagara
UMass-Lowell,NJIT
South Carolina State,North Carolina A&T
Drexel,UNC Wilmington
Western Illinois,North Dakota State
Loyola (IL),North Texas
Idaho,Northern Arizona
Montana,Northern Colorado
Evansville,Northern Iowa
Houston Baptist,Northwestern State
UNC,Notre Dame
Ball State,Ohio
Florida International,Old Dominion
Omaha,Oral Roberts
Fairfield,Rider
Dixie State,SAGU Amer. Indian Coll.
Canisius,St. Peter's
Nicholls State,Sam Houston State
Wofford,Samford
Georgia Southern,South Alabama
Richmond,St. Bonaventure
Southeast Missouri State,Tennessee State
Eastern Illinois,Tennessee Tech
Little Rock,Texas-Arlington
Kansas State,TCU
Southern Miss,UTEP
Rice,UTSA
Louisiana,Texas State
Western Michigan,Toledo
Appalachian State,Troy
Cincinnati,Tulsa
USC,Utah
Air Force,Utah State
Weber State,Utah Valley
Charlotte,Western Kentucky
Ole Miss,Wichita State
Hofstra,William & Mary
Oakland,Wright State
Fresno State,Wyoming
