home_team,away_team
Baylor,Stephen F. Austin
Wisconsin,Rhode Island
Texas,Texas State
Texas Tech,Abilene Christian
Richmond,Northern Iowa
Florida State,Indiana
Eastern Michigan,Adrian
Samford,Alabama State
Arkansas State,Arkansas-Pine Bluff
BYU,Boise State
St. Francis (NY),Bryant
Arizona,Cal State Bakersfield
Pepperdine,California
New Orleans,Campbell
Citadel,Carver College
Fairleigh Dickinson,Central Connecticut
Bellarmine,Chattanooga
Loyola (IL),Chicago State
Wyoming,Denver
Evansville,Eastern Illinois
Oregon,Florida A&M
Jacksonville,Florida National University
San Jose State,Fresno Pacific
Cincinnati,Furman
Nebraska,Georgia Tech
Washington State,Idaho
Louisiana-Monroe,Lamar
Missouri,Liberty
Radford,Mars Hill
College of Charleston,Marshall
Clemson,Maryland
Drake,McKendree
Alabama-Birmingham,Mobile
VCU,North Carolina A&T
Xavier,Oklahoma
Northwestern,Pitt
Youngstown State,Point Park
TCU,Providence
UCLA,San Diego
Cal Poly,Santa Clara
Washington,Seattle
Lipscomb,Southeast Missouri State
Louisiana Tech,Southeastern Louisiana
Arkansas,Southern
Valparaiso,SIU-Edwardsville
Tulane,Southern Miss
Utah Valley,Southern Utah
UNC Wilmington,St. Andrews
Hofstra,Stony Brook
Michigan,Toledo
Morehead State,Transylvania
Miami (OH),Western Illinois
