home_team,away_team
Iowa,Iowa State
Kansas,Omaha
Creighton,Nebraska
Georgetown,Villanova
West Virginia,North Texas
Charlotte,Appalachian State
Arkansas State,Central Baptist
Houston Baptist,Champion Christian
Eastern Washington,College of Idaho
Delaware,George Washington
Davidson,Georgia Southern
Texas-Arlington,Hardin-Simmons
UNC Asheville,High Point
Fairfield,Iona
Canisius,Marist
UCLA,Marquette
Mount St. Mary's,UMBC
Kansas State,Milwaukee
Miami (OH),Mt. St. Joseph
Southern Illinois,Murray State
Grand Canyon,Nevada
St. Peter's,Niagara
UMass,Northeastern
Manhattan,Rider
Saint Mary's,San Jose State
College of Charleston,South Carolina State
North Dakota State,South Dakota
North Dakota,South Dakota State
Seton Hall,St. John's (NY)
