home_team,away_team
Michigan State,Purdue
Boise State,Air Force
Louisiana,Little Rock
Cal State Bakersfield,Cal Poly
Utah Valley,California Baptist
San Diego,UC-Irvine
Bryant,Central Connecticut
Marshall,Charlotte
Davidson,Dayton
Old Dominion,Florida Atlantic
Middle Tennessee,Florida International
Appalachian State,Georgia Southern
Troy,Georgia State
Tarleton State,Grand Canyon
UC-Riverside,Hawaii
Purdue-Fort Wayne,UIC
Milwaukee,IUPUI
Liberty,Kennesaw State
Bellarmine,Lipscomb
Cal State Fullerton,Long Beach State
Western Kentucky,Louisiana Tech
Quinnipiac,Manhattan
St. Francis (NY),Mount St. Mary's
North Dakota State,Omaha
Oral Roberts,North Dakota
Jacksonville,North Florida
UTSA,North Texas
Cleveland State,Northern Kentucky
Green Bay,Oakland
Toledo,Ohio
UTEP,Rice
Niagara,Rider
Merrimack,Sacred Heart
LIU,Saint Francis (PA)
Fresno State,San Jose State
Coastal Carolina,South Alabama
UMKC,South Dakota
Alabama-Birmingham,Southern Miss
North Alabama,Stetson
Louisiana-Monroe,Texas-Arlington
New Mexico,Utah State
South Dakota State,Western Illinois
Wright State,Youngstown State
