home,away,home_score,away_score,date,line,score,cover
Virginia,Towson,73.0,42.0,2018-11-06,25.0,31.0,1
Boston College,Milwaukee,73.0,53.0,2018-11-06,17.0,20.0,1
Pittsburgh,Youngstown St.,69.0,53.0,2018-11-06,14.0,16.0,1
Notre Dame,Illinois Chicago,84.0,67.0,2018-11-06,16.0,17.0,1
Western Michigan,Detroit,89.0,76.0,2018-11-06,12.5,13.0,1
Davidson,Cleveland St.,83.0,63.0,2018-11-06,18.5,20.0,1
George Mason,Penn,71.0,72.0,2018-11-06,3.5,-1.0,0
Ball St.,Indiana St.,86.0,69.0,2018-11-06,6.5,17.0,1
Auburn,South Alabama,101.0,58.0,2018-11-06,21.0,43.0,1
Temple,La Salle,75.0,67.0,2018-11-06,10.0,8.0,0
Maryland,Delaware,73.0,67.0,2018-11-06,18.5,6.0,0
Wichita St.,Louisiana Tech,58.0,71.0,2018-11-06,10.5,-13.0,0
Xavier,IUPUI,82.0,69.0,2018-11-06,20.5,13.0,0
Arizona St.,Cal St. Fullerton,102.0,94.0,2018-11-06,11.5,8.0,0
Florida St.,Florida,81.0,60.0,2018-11-06,4.0,21.0,1
Cal St. Northridge,New Mexico,84.0,87.0,2018-11-06,-13.5,-3.0,1
Oregon St.,UC Riverside,72.0,59.0,2018-11-06,18.5,13.0,0
UC Davis,San Francisco,42.0,76.0,2018-11-06,2.0,-34.0,0
Wyoming,UC Santa Barbara,66.0,76.0,2018-11-06,7.5,-10.0,0
Washington,Western Kentucky,73.0,55.0,2018-11-06,5.0,18.0,1
Nevada,BYU,86.0,70.0,2018-11-06,12.5,16.0,1
Providence,Siena,77.0,67.0,2018-11-06,18.5,10.0,0
UCF,Rider,84.0,70.0,2018-11-06,6.0,14.0,1
Charlotte,Chattanooga,69.0,80.0,2018-11-06,5.5,-11.0,0
Clemson,The Citadel,100.0,80.0,2018-11-06,25.0,20.0,0
Purdue,Fairfield,90.0,57.0,2018-11-06,21.0,33.0,1
Syracuse,Eastern Washington,66.0,34.0,2018-11-06,18.0,32.0,1
Georgia St.,East Tennessee St.,74.0,68.0,2018-11-06,7.0,6.0,0
Wofford,North Carolina,67.0,78.0,2018-11-06,-10.0,-11.0,0
UAB,Mercer,75.0,67.0,2018-11-06,7.5,8.0,1
Memphis,Tennessee Tech,76.0,61.0,2018-11-06,14.0,15.0,1
Minnesota,Nebraska Omaha,104.0,76.0,2018-11-06,15.0,28.0,1
Missouri St.,Oral Roberts,84.0,50.0,2018-11-06,6.0,34.0,1
Saint Louis,Southeast Missouri St.,75.0,65.0,2018-11-06,19.0,10.0,0
SIU Edwardsville,Pacific,65.0,74.0,2018-11-06,-7.0,-9.0,0
Texas,Eastern Illinois,71.0,59.0,2018-11-06,25.0,12.0,0
Creighton,Western Illinois,78.0,67.0,2018-11-06,20.0,11.0,0
Manhattan,Elon,56.0,62.0,2018-11-06,-1.0,-6.0,0
UCLA,Purdue Fort Wayne,96.0,71.0,2018-11-06,13.5,25.0,1
Montana St.,Utah St.,71.0,101.0,2018-11-06,-2.5,-30.0,0
UC Irvine,Idaho,86.0,68.0,2018-11-06,10.5,18.0,1
San Diego,Weber St.,83.0,66.0,2018-11-06,4.0,17.0,1
Oregon,Portland St.,84.0,57.0,2018-11-06,20.0,27.0,1
Gonzaga,Idaho St.,120.0,79.0,2018-11-06,27.5,41.0,1
USC,Robert Morris,83.0,62.0,2018-11-06,19.0,21.0,1
DePaul,Bethune Cookman,80.0,58.0,2018-11-07,18.5,22.0,1
Northwestern,New Orleans,82.0,52.0,2018-11-08,18.0,30.0,1
Utah,Maine,75.0,61.0,2018-11-08,22.5,14.0,0
Green Bay,Indiana St.,74.0,78.0,2018-11-09,0.0,-4.0,0
Elon,North Carolina,67.0,116.0,2018-11-09,-17.5,-49.0,0
Kentucky,Southern Illinois,71.0,59.0,2018-11-09,14.5,12.0,0
UNC Wilmington,Stanford,59.0,72.0,2018-11-09,-3.0,-13.0,0
