team,off,def,tempo,luck
Colgate,103.1,101.6,71.8,0.0
Austin Peay,103.1,101.7,73.1,0.186
Temple,98.3,97.0,73.7,0.0
UC Irvine,98.8,97.6,71.1,-0.0
Stephen F. Austin,98.5,97.4,74.4,0.0
Loyola Marymount,102.2,101.1,72.3,0.201
Valparaiso,99.2,98.1,73.4,0.0
Hofstra,100.8,100.0,72.8,0.0
Fresno St.,99.7,99.0,70.0,0.0
San Diego,98.2,97.6,73.2,0.0
Harvard,100.1,99.5,72.1,0.0
Eastern Michigan,98.5,98.1,71.0,0.0
UT Arlington,99.0,98.7,74.5,-0.112
Montana,98.1,98.4,71.4,0.0
Saint Joseph's,102.3,102.6,76.0,-0.135
Saint Peter's,96.8,97.1,68.7,-0.227
UTSA,102.9,103.2,73.6,0.0
Grand Canyon,98.2,98.8,70.9,0.0
Mercer,100.5,101.2,72.5,0.0
Bowling Green,102.2,102.9,75.2,-0.051
Drexel,102.0,102.8,71.9,0.0
La Salle,97.5,98.4,72.5,-0.0
Miami OH,99.4,100.2,70.9,0.0
Louisiana,101.2,102.0,76.7,0.0
Eastern Illinois,100.0,100.9,72.1,-0.046
Missouri St.,99.9,101.1,71.8,0.0
Coastal Carolina,100.8,102.1,74.7,0.0
Northeastern,99.3,100.6,70.5,0.0
East Tennessee St.,95.0,96.4,71.7,-0.085
Kent St.,99.8,101.5,72.6,0.0
Boston University,99.3,101.1,71.3,0.0
Charleston,98.1,99.9,70.2,0.0
Wyoming,97.2,99.1,70.9,0.0
Lipscomb,100.5,102.5,71.3,-0.037
Fordham,92.0,94.1,69.7,0.0
Western Carolina,99.6,101.9,75.7,-0.048
Charlotte,97.6,100.0,69.1,0.0
Youngstown St.,100.5,102.9,71.5,0.0
Northern Colorado,99.3,101.7,71.4,0.0
Monmouth,97.7,100.2,75.4,0.0
Southern Utah,98.6,101.0,73.8,0.0
Appalachian St.,98.0,100.6,72.4,0.0
Southern Illinois,97.4,100.2,69.5,0.0
UC San Diego,98.2,101.0,72.5,0.0
UC Davis,97.9,100.8,74.0,-0.161
Northern Kentucky,98.7,101.7,70.4,0.0
Cal St. Bakersfield,96.6,99.6,70.0,0.0
North Dakota St.,96.4,99.5,69.3,-0.001
Montana St.,98.5,101.6,72.2,0.0
FIU,99.1,102.3,76.4,0.0
UTEP,95.2,98.4,71.8,0.0
Penn,98.4,101.7,73.2,0.0
Cornell,99.6,102.9,70.8,0.0
Navy,98.4,101.8,68.4,0.276
NJIT,96.0,99.4,71.3,0.0
Nebraska Omaha,96.1,99.5,74.5,0.139
New Hampshire,95.3,98.8,71.9,0.0
Middle Tennessee,92.9,96.8,74.4,-0.207
Chattanooga,98.3,102.3,71.1,0.0
Eastern Kentucky,95.4,99.4,76.6,0.0
Florida Atlantic,94.8,99.0,70.1,-0.143
UMBC,96.7,101.0,72.3,-0.1
George Washington,97.8,102.1,71.2,0.0
Oral Roberts,101.2,105.6,73.6,0.0
Georgia Southern,97.9,102.2,73.6,0.0
Elon,98.1,102.5,71.3,0.0
Purdue Fort Wayne,95.5,100.1,72.3,0.0
UMass Lowell,98.7,103.5,73.2,-0.015
UC Riverside,94.6,99.5,70.2,0.0
South Alabama,99.3,104.3,69.4,0.089
Cleveland St.,95.7,100.7,71.5,0.0
UT Rio Grande Valley,95.1,100.2,73.9,0.087
New Mexico,98.3,103.4,74.9,0.0
Long Beach St.,97.1,102.3,74.4,0.0
Tulane,94.3,99.4,70.6,0.119
Detroit,99.7,104.9,73.2,0.0
Nicholls St.,97.3,102.6,74.6,0.093
Norfolk St.,93.6,98.8,70.9,0.088
Delaware,98.6,104.0,71.4,0.0
Towson,99.2,104.7,69.1,-0.123
Central Michigan,98.0,103.6,76.1,0.0
UNC Asheville,98.7,104.3,72.1,-0.131
UNC Wilmington,97.3,102.9,71.7,0.083
Canisius,97.7,103.4,73.3,0.0
South Dakota,97.8,103.6,71.6,-0.0
Brown,93.4,99.3,73.7,0.0
Lafayette,99.2,105.1,71.8,0.0
Illinois St.,96.3,102.2,73.3,0.126
Robert Morris,94.9,100.8,71.1,0.0
Northern Illinois,95.2,101.1,68.9,0.0
Sacramento St.,95.0,101.0,69.6,0.0
Army,93.6,99.6,73.4,0.161
Texas Southern,95.2,101.2,74.6,-0.146
St. Francis PA,98.5,104.5,73.0,0.065
Hawaii,95.6,101.7,72.3,0.0
Stetson,97.7,103.8,69.6,0.0
Western Michigan,94.6,100.8,71.7,0.0
Bucknell,95.3,102.2,73.7,0.0
Marist,92.6,99.7,69.3,0.0
North Alabama,95.8,103.0,73.4,0.0
Rice,95.3,102.4,73.8,0.0
Stony Brook,92.0,99.3,73.0,0.0
Florida Gulf Coast,94.4,101.7,70.7,0.0
Gardner Webb,96.1,103.4,71.3,0.0
Illinois Chicago,93.6,101.0,72.1,0.041
Loyola MD,97.0,104.4,73.9,0.0
Quinnipiac,96.3,103.7,72.2,0.0
Niagara,96.6,104.1,70.7,0.0
Campbell,96.9,104.4,70.5,0.0
Fairleigh Dickinson,99.6,107.2,74.0,0.0
Central Arkansas,97.4,105.2,74.1,0.0
American,95.0,102.9,71.5,0.0
North Dakota,96.7,104.7,72.3,0.0
Mount St. Mary's,94.9,103.0,67.7,0.017
Air Force,96.6,104.7,64.9,0.166
IUPUI,98.7,106.9,74.1,0.0
Arkansas St.,96.7,105.0,70.7,-0.0
Iona,95.8,104.0,72.4,0.0
San Jose St.,96.5,104.8,75.1,0.0
Lamar,93.7,102.0,73.9,-0.2
Louisiana Monroe,94.4,102.8,69.9,0.0
Seattle,94.9,103.4,71.5,0.017
Southern,95.3,103.9,72.1,-0.118
Green Bay,97.9,106.5,76.8,0.0
Jacksonville St.,93.6,102.3,70.3,0.219
Dartmouth,93.1,101.9,70.6,0.0
