home,away,home_score,away_score,home_off,home_def,home_tempo,home_luck,away_off,away_def,away_tempo,away_luck
Central Michigan,Akron,67,80,102.0,106.4,73.6,-0.036,108.5,98.9,69.4,0.022
Penn,Brown,63,75,103.4,100.8,70.2,0.025,96.4,101.1,69.4,0.12
Toledo,Buffalo,67,83,106.3,105.1,68.1,-0.057,104.1,102.3,73.9,0.045
Dartmouth,Columbia,65,63,96.7,99.9,65.8,-0.081,95.2,106.5,69.1,-0.13
Harvard,Cornell,85,63,104.7,99.0,68.8,0.039,101.2,110.3,65.2,-0.105
St. Bonaventure,Davidson,64,93,106.6,102.2,65.7,0.052,112.5,101.9,64.8,-0.094
South Dakota St.,Denver,90,78,110.0,105.3,68.0,-0.022,95.0,106.8,70.9,-0.044
Marist,Fairfield,53,57,90.2,103.8,65.2,-0.105,90.1,101.6,63.2,0.045
Wright St.,UIC,75,58,104.9,101.4,72.1,0.033,90.1,101.6,63.2,0.045
North Dakota St.,Purdue Fort Wayne,80,70,106.8,101.2,66.0,0.032,95.4,103.8,67.9,-0.006
Northern Kentucky,IUPUI,84,70,102.0,99.8,65.7,0.074,99.4,115.6,70.8,-0.068
Iona,Manhattan,80,57,101.6,106.1,68.7,-0.077,92.8,101.6,65.8,-0.011
Canisius,Monmouth,71,85,97.7,105.7,70.0,-0.04,99.1,101.8,72.6,0.061
St. Peter's,Quinnipiac,84,72,97.7,105.7,70.0,-0.04,100.7,108.3,68.9,0.028
Siena,Rider,73,64,107.2,105.1,66.7,-0.001,100.9,102.1,71.1,0.036
Princeton,Yale,64,88,107.0,105.5,66.3,-0.025,107.9,96.4,67.4,-0.026
