home,away,home_score,away_score,home_off,home_def,home_tempo,home_luck,away_off,away_def,away_tempo,away_luck
Gonzaga,San Francisco,85,62,121.8,90.6,77.4,0.046,106.8,96.1,70.7,-0.037
Iowa St.,Baylor,65,76,106.2,97.6,70.0,-0.122,119.7,89.0,70.4,0.005
Kansas,Texas,59,84,112.4,88.5,69.7,0.153,110.8,88.0,69.1,0.055
Tennessee,Alabama,63,71,110.6,85.8,68.2,0.057,109.8,93.5,74.4,-0.033
Oklahoma,West Virginia,75,71,112.1,95.6,70.6,0.004,111.7,89.7,68.5,0.061
Rutgers,Iowa,75,77,111.8,91.5,70.7,0.066,121.8,96.7,72.0,-0.059
Providence,Creighton,65,67,109.5,96.0,66.9,0.107,114.3,92.9,72.2,-0.042
Arkansas,Missouri,68,81,111.3,92.8,72.9,0.09,107.4,91.8,69.8,0.204
Texas Tech,Oklahoma St.,77,82,107.9,85.5,67.2,-0.051,107.6,91.6,72.8,-0.054
Illinois,Purdue,66,58,116.2,92.4,72.8,-0.048,111.3,93.8,67.5,0.001
Nebraska,Michigan St.,77,84,101.1,97.2,73.7,-0.119,110.8,95.3,73.1,0.096
Oregon,Stanford,73,56,112.1,92.1,70.4,0.037,106.5,88.8,71.0,0.019
Vermont,Albany,62,63,103.6,97.3,69.1,-0.135,93.1,104.2,69.6,-0.058
Washington St.,Arizona,82,86,97.3,94.0,69.4,0.151,111.1,92.3,70.1,0.027
Louisiana Monroe,Arkansas St.,62,55,93.9,103.9,68.2,-0.009,97.5,108.3,70.6,-0.093
Colgate,Army,101,57,104.3,102.8,69.8,0.0,95.6,99.9,70.3,0.061
Texas A&M,Auburn,68,66,103.1,93.8,67.1,0.097,108.1,96.7,69.7,0.049
Tennessee Martin,Belmont,69,90,95.9,113.2,70.1,0.142,105.1,97.8,72.0,0.014
Hartford,Binghamton,76,56,94.7,103.4,67.5,0.076,92.8,109.5,68.6,-0.034
San Jose St.,Boise St.,86,87,94.9,107.5,77.6,-0.03,106.8,94.7,69.6,0.005
Northern Illinois,Bowling Green,42,68,93.7,105.6,66.2,-0.04,106.2,104.0,71.7,0.109
Navy,Bucknell,78,69,100.8,102.7,66.2,0.31,96.5,103.4,71.7,0.0
Seton Hall,Butler,68,60,111.3,93.9,69.7,-0.046,106.1,96.3,68.5,0.058
Long Beach St.,Cal St. Bakersfield,76,89,98.2,105.4,74.8,0.251,98.8,99.1,66.6,-0.151
UC Santa Barbara,Cal St. Fullerton,65,61,103.3,99.6,68.7,-0.064,91.2,105.3,71.6,0.0
Oregon St.,California,73,64,103.0,100.1,66.9,-0.171,101.6,98.6,66.6,-0.015
McNeese St.,Central Arkansas,67,81,96.7,110.9,71.6,-0.147,98.3,105.2,75.8,-0.03
South Florida,UCF,68,61,101.4,94.5,68.8,0.017,103.1,94.9,69.1,0.15
VMI,Chattanooga,84,79,98.8,106.3,70.7,-0.097,101.7,101.9,68.4,0.026
Miami FL,Clemson,65,66,104.9,93.0,71.4,-0.066,106.6,86.1,68.5,0.018
IUPUI,Cleveland St.,49,59,97.7,106.2,73.2,0.013,98.9,101.7,69.3,0.184
Delaware,Charleston,70,67,97.5,105.3,68.5,0.068,98.8,104.2,65.2,-0.143
UCLA,Colorado,65,62,113.3,95.4,65.6,0.047,111.7,92.3,68.5,-0.019
San Diego St.,Colorado St.,67,70,109.5,90.6,66.9,0.026,104.5,96.4,72.3,0.061
South Dakota,Denver,93,54,100.2,105.1,69.9,-0.076,94.2,108.3,72.2,-0.147
George Washington,Duquesne,63,75,100.4,104.8,71.3,-0.305,105.9,96.6,70.2,-0.033
Tulane,East Carolina,60,56,96.4,100.1,67.8,0.015,100.8,96.7,69.1,0.125
Austin Peay,Eastern Kentucky,75,80,103.4,105.0,69.9,0.175,96.5,98.8,78.2,0.015
Northeastern,Elon,75,52,99.3,100.9,68.2,0.031,99.5,103.5,67.5,0.1
South Carolina,Florida A&M,78,71,106.2,93.9,72.9,-0.01,93.9,104.2,69.1,0.009
La Salle,Fordham,89,52,98.6,99.0,68.1,0.045,91.2,96.7,66.7,0.0
Dayton,George Mason,74,65,107.7,95.9,67.5,-0.041,101.3,98.7,70.1,0.094
Coastal Carolina,Georgia St.,62,70,103.3,103.6,73.3,0.057,105.5,100.1,72.8,0.097
Alabama St.,Grambling St.,49,66,85.7,107.4,71.0,0.0,91.9,105.6,70.3,-0.078
Youngstown St.,Green Bay,69,79,104.3,108.3,67.5,0.048,98.6,108.9,70.4,-0.121
Missouri St.,Indiana St.,84,74,103.9,100.9,70.7,-0.011,101.1,100.9,70.7,0.054
Northern Kentucky,Purdue Fort Wayne,70,68,100.5,104.1,68.3,0.032,98.9,106.4,71.6,0.038
Kennesaw St.,Jacksonville,66,72,85.9,106.4,68.9,-0.124,92.8,104.2,69.4,0.121
Mississippi St.,Kentucky,73,78,108.6,97.7,65.5,-0.048,106.2,90.7,69.9,-0.324
Lehigh,Lafayette,90,89,96.8,107.4,70.9,0.0,100.4,106.3,69.9,0.0
Abilene Christian,Lamar,83,65,99.3,94.8,69.8,-0.019,91.3,102.9,72.2,-0.007
Lipscomb,Liberty,50,66,101.8,106.0,68.2,0.049,105.3,99.8,65.6,-0.13
