home,away,home_score,away_score,home_off,home_def,home_tempo,home_luck,away_off,away_def,away_tempo,away_luck
Oklahoma,Baylor,54,65,108.8,93.1,69.6,0.031,113.5,88.1,66.2,0.016
VCU,Dayton,61,66,104.7,94.4,69.0,-0.064,119.1,94.1,67.6,0.002
Maryland,Northwestern,76,67,113.5,92.4,67.0,0.037,104.9,101.3,66.7,-0.087
Florida St.,Pitt,82,67,111.7,91.5,69.9,0.065,104.9,101.3,66.7,-0.087
Penn St.,Illinois,56,62,110.3,92.4,70.9,0.014,110.9,93.7,66.0,0.022
LSU,Kentucky,76,79,118.1,102.4,70.0,-0.02,112.7,95.1,67.7,0.018
Marquette,Creighton,65,73,114.0,96.9,70.7,-0.046,118.2,97.3,68.3,0.072
West Virginia,Oklahoma St.,65,47,108.3,87.1,69.4,-0.028,107.2,94.5,68.4,0.034
Western Michigan,Akron,67,71,99.4,105.7,67.4,0.043,108.5,98.9,69.4,0.022
Florida,Arkansas,73,59,112.5,95.7,64.9,-0.047,109.1,95.5,71.2,-0.047
Buffalo,Ball St.,72,59,104.1,102.3,73.9,0.045,99.2,94.0,68.0,-0.089
Ohio,Central Michigan,77,69,103.6,103.3,68.0,-0.01,102.0,106.4,73.6,-0.036
UNLV,Colorado St.,80,56,107.9,100.6,67.0,-0.019,109.3,102.1,69.3,0.045
St. Joseph's,Davidson,73,72,107.9,100.6,67.0,-0.019,112.5,101.9,64.8,-0.094
Central Connecticut,Fairleigh Dickinson,76,75,90.3,114.0,69.5,-0.014,102.1,112.4,68.9,-0.027
Eastern Michigan,Kent St.,70,49,94.2,96.6,66.8,0.028,106.1,102.1,68.9,-0.011
Bryant,Merrimack,61,52,97.8,103.8,70.3,-0.055,93.9,98.8,63.2,0.137
Missouri,Ole Miss,71,68,104.1,96.7,66.5,-0.057,93.9,98.8,63.2,0.137
Wagner,Mount St. Mary's,67,61,97.3,113.9,67.5,-0.024,96.4,107.5,63.2,-0.074
New Mexico,Nevada,74,88,105.3,102.4,71.8,0.044,110.3,101.0,71.0,-0.007
Wisconsin,Purdue,69,65,110.8,91.9,63.7,0.031,109.3,90.8,64.6,-0.104
St. Francis PA,Robert Morris,86,71,107.6,107.9,68.9,0.037,100.5,103.8,66.1,0.027
UMass,Saint Louis,67,63,107.6,107.9,68.9,0.037,105.8,94.4,67.6,0.026
LIU,St. Francis NY,77,87,97.4,106.1,72.8,0.017,94.6,106.5,70.3,0.024
UT Rio Grande Valley,Texas-Permian Basin,93,80,98.7,106.0,70.4,-0.013,94.6,106.5,70.3,0.024
Tennessee,Vanderbilt,65,61,106.6,95.8,65.2,-0.02,104.7,104.5,69.4,-0.061
