home,away,home_score,away_score,home_off,home_def,home_tempo,home_luck,away_off,away_def,away_tempo,away_luck
Baylor,Oklahoma St.,78,70,113.5,88.1,66.2,0.016,107.2,94.5,68.4,0.034
Saint Mary's,Gonzaga,60,90,113.7,98.5,63.9,0.055,121.3,94.4,71.9,0.05
TCU,Kansas,46,60,105.5,96.1,65.1,-0.005,115.8,85.5,67.3,0.04
Air Force,San Diego St.,74,89,107.8,110.3,68.8,-0.059,115.1,90.6,64.6,-0.008
Louisville,Virginia,80,73,114.5,93.1,67.1,-0.003,99.3,85.1,59.4,0.109
Dayton,Saint Louis,71,65,119.1,94.1,67.6,0.002,105.8,94.4,67.6,0.026
UNC,Duke,96,98,119.1,94.1,67.6,0.002,115.7,91.1,72.0,-0.009
Florida St.,Miami FL,99,81,111.7,91.5,69.9,0.065,107.7,101.3,68.3,0.034
Villanova,Seton Hall,64,70,113.9,94.0,66.2,0.082,112.3,92.7,69.8,0.006
Auburn,LSU,91,90,111.4,95.5,69.2,0.103,118.1,102.4,70.0,-0.02
Oklahoma,West Virginia,69,59,108.8,93.1,69.6,0.031,108.3,87.1,69.4,-0.028
Oregon St.,Oregon,63,53,110.9,102.0,65.6,-0.002,117.1,97.1,65.0,0.023
Tennessee,Kentucky,64,77,106.6,95.8,65.2,-0.02,112.7,95.1,67.7,0.018
Michigan,Michigan St.,77,68,113.2,93.0,68.7,-0.048,115.2,91.2,69.1,-0.012
Iowa,Nebraska,96,72,117.3,98.6,70.2,0.005,102.0,101.3,73.1,-0.047
Creighton,St. John's,94,82,118.2,97.3,68.3,0.072,106.1,95.2,72.9,-0.037
Penn St.,Minnesota,83,77,110.3,92.4,70.9,0.014,112.1,94.2,66.8,-0.13
Arizona,UCLA,52,65,111.0,91.4,69.3,-0.077,109.3,99.4,64.9,0.047
Colorado,Stanford,81,74,109.1,93.4,68.2,-0.01,104.4,90.3,68.3,-0.08
Georgia,Alabama,102,105,108.2,100.8,70.5,-0.017,111.0,99.5,74.8,-0.076
Arkansas Pine Bluff,Alabama A&M,54,58,79.0,104.6,66.1,-0.008,87.9,108.2,67.7,0.014
Mississippi Valley St.,Alabama St.,74,87,89.8,117.6,77.1,-0.027,86.2,103.4,69.7,-0.022
Jackson St.,Alcorn St.,86,57,92.8,102.3,68.7,-0.012,96.9,111.3,70.1,0.037
Missouri,Arkansas,83,79,104.1,96.7,66.5,-0.057,109.1,95.5,71.2,-0.047
Little Rock,Arkansas St.,90,87,106.4,102.5,69.3,0.069,104.2,107.5,67.3,0.042
American,Army,72,62,101.1,104.0,68.7,-0.033,98.8,107.4,69.5,0.046
Belmont,Austin Peay,71,63,106.5,100.5,70.5,0.012,106.9,107.0,67.8,0.032
Western Michigan,Ball St.,68,64,99.4,105.7,67.4,0.043,99.2,94.0,68.0,-0.089
Utah St.,Boise St.,70,61,109.5,94.6,67.4,0.034,107.0,97.6,69.1,0.025
Virginia Tech,Boston College,73,77,104.3,98.0,65.5,-0.04,99.6,100.3,69.3,0.065
Loyola Marymount,Bucknell,78,65,100.6,104.0,63.0,-0.022,96.2,102.9,69.5,0.004
