home,away,home_score,away_score,home_off,home_def,home_tempo,home_luck,away_off,away_def,away_tempo,away_luck
Oregon,Colorado,68,60,117.1,97.1,65.0,0.023,109.1,93.4,68.2,-0.01
Indiana,Iowa,89,77,108.5,92.7,67.9,0.016,117.3,98.6,70.2,0.005
Georgia St.,Appalachian St.,76,65,105.6,101.4,73.0,-0.035,99.9,100.2,67.2,0.041
California,Arizona,52,68,101.5,100.4,65.2,0.09,111.0,91.4,69.3,-0.077
Stanford,Arizona St.,69,74,104.4,90.3,68.3,-0.08,106.0,94.7,73.2,0.069
Texas St.,Little Rock,74,66,106.3,98.3,65.2,-0.05,106.4,102.5,69.3,0.069
UT Arlington,Arkansas St.,77,67,102.3,98.4,67.7,-0.13,104.2,107.5,67.3,0.042
Loyola Marymount,BYU,54,77,100.6,104.0,63.0,-0.022,116.3,95.6,69.5,-0.028
Sacred Heart,Bryant,74,65,102.2,104.8,68.7,0.019,97.8,103.8,70.3,-0.055
Cal St. Northridge,Cal Poly,81,73,107.4,113.3,70.3,0.071,95.2,108.5,68.3,-0.038
UC Davis,UCSB,84,75,104.7,109.4,68.0,-0.024,95.2,108.5,68.3,-0.038
North Texas,Charlotte,81,72,111.2,101.2,62.9,-0.032,98.5,98.0,65.5,0.008
Cal St. Bakersfield,Chicago St.,64,54,96.2,104.9,64.9,-0.063,86.9,120.8,69.0,-0.029
Oakland,Cleveland St.,79,74,98.6,105.0,66.1,-0.014,92.9,105.7,67.1,0.048
Georgia Southern,Coastal Carolina,79,69,102.2,98.8,71.8,0.005,104.8,106.2,72.8,-0.033
Hofstra,Charleston,76,63,108.7,102.6,67.9,0.064,105.0,104.9,65.9,-0.004
Elon,Delaware,75,81,100.6,110.0,66.2,-0.013,105.6,106.4,68.3,0.074
William & Mary,Drexel,77,72,103.3,105.5,67.5,0.132,100.0,106.7,67.3,0.002
Morehead St.,Eastern Kentucky,71,78,94.6,108.1,67.3,-0.001,95.4,104.9,74.5,0.07
Southern Miss,Florida Atlantic,68,66,94.4,103.8,67.2,-0.01,99.7,101.3,68.8,-0.001
Kennesaw St.,Florida Gulf Coast,58,70,83.5,112.2,68.2,-0.042,91.2,103.3,66.1,-0.032
Louisiana Tech,FIU,60,57,108.7,98.2,66.5,-0.023,103.7,102.1,72.2,0.01
Campbell,Hampton,75,49,96.8,105.3,65.6,-0.047,104.8,116.7,70.9,0.041
Charleston Southern,High Point,66,63,95.4,109.1,66.9,0.033,94.5,113.6,66.4,0.035
Eastern Washington,Idaho,71,74,105.4,101.1,73.1,0.121,92.8,107.1,68.9,-0.023
Montana St.,Idaho St.,73,69,97.0,101.6,67.3,0.056,100.8,111.1,67.4,0.008
North Florida,Jacksonville,81,66,112.0,111.6,69.4,0.034,96.0,102.5,66.6,-0.072
Tennessee Tech,Jacksonville St.,75,74,92.5,109.3,66.9,0.025,95.8,105.5,68.1,-0.078
Central Connecticut,LIU,74,90,90.3,114.0,69.5,-0.014,97.4,106.1,72.8,0.017
UNC Asheville,Longwood,73,71,98.7,110.3,71.0,0.017,91.3,105.1,67.8,-0.001
South Alabama,Louisiana,78,75,104.9,103.9,65.3,0.063,101.3,106.2,71.8,0.02
Troy,Louisiana Monroe,71,74,96.2,106.6,69.3,-0.027,96.1,103.7,64.9,-0.056
UTSA,Marshall,72,63,104.2,108.0,72.8,-0.047,101.2,99.1,74.9,-0.037
Cincinnati,Memphis,92,86,108.8,94.7,68.0,-0.013,100.6,89.1,72.6,0.025
St. Francis NY,Merrimack,50,60,94.6,106.5,70.3,0.024,93.9,98.8,63.2,0.137
Grand Canyon,UMKC,71,66,103.4,112.1,68.0,0.02,97.5,103.6,64.9,0.048
Austin Peay,Murray St.,71,68,106.9,107.0,67.8,0.032,102.4,99.3,68.9,-0.03
Lipscomb,NJIT,77,63,101.2,108.0,68.7,0.053,94.7,105.8,66.9,-0.079
Stetson,North Alabama,75,64,98.1,108.3,63.2,0.083,96.0,105.6,70.1,-0.011
Northeastern,UNC Wilmington,71,63,105.4,103.2,65.9,-0.113,92.1,104.5,68.5,0.019
Northern Arizona,Northern Colorado,54,84,102.3,106.7,66.6,0.071,110.2,100.1,65.0,-0.035
Rice,Old Dominion,70,73,105.8,108.4,70.1,-0.004,98.3,98.3,66.4,-0.091
Pacific,Portland,75,55,103.8,99.1,64.9,0.072,94.4,104.3,69.3,-0.015
