home,away,home_score,away_score,home_off,home_def,home_tempo,home_luck,away_off,away_def,away_tempo,away_luck
Baylor,West Virginia,70,59,113.5,88.1,66.2,0.016,108.3,87.1,69.4,-0.028
Pepperdine,Gonzaga,77,89,107.2,104.4,70.8,0.034,121.3,94.4,71.9,0.05
Kansas,Oklahoma,87,70,115.8,85.5,67.3,0.04,108.8,93.1,69.6,0.031
Clemson,Louisville,77,62,103.9,93.5,66.0,-0.043,114.5,93.1,67.1,-0.003
UMass,Dayton,63,71,103.9,93.5,66.0,-0.043,119.1,94.1,67.6,0.002
Duke,Notre Dame,94,60,115.7,91.1,72.0,-0.009,110.7,98.6,68.1,-0.021
Florida St.,Syracuse,80,77,111.7,91.5,69.9,0.065,112.8,99.6,68.3,-0.06
Michigan St.,Maryland,60,67,115.2,91.2,69.1,-0.012,113.5,92.4,67.0,0.037
Providence,Seton Hall,74,71,107.8,92.8,68.4,-0.008,112.3,92.7,69.8,0.006
Missouri,Auburn,85,73,104.1,96.7,66.5,-0.057,111.4,95.5,69.2,0.103
Kentucky,Ole Miss,67,62,112.7,95.1,67.7,0.018,111.4,95.5,69.2,0.103
Penn St.,Northwestern,77,61,110.3,92.4,70.9,0.014,104.9,101.3,66.7,-0.087
Oregon St.,Colorado,47,69,110.9,102.0,65.6,-0.002,109.1,93.4,68.2,-0.01
Butler,Georgetown,66,73,112.6,94.2,63.7,0.032,111.0,100.2,70.0,-0.049
SMU,Houston,73,72,112.4,103.8,64.8,0.004,112.7,92.3,65.7,-0.052
Rutgers,Illinois,72,57,107.9,90.2,67.4,-0.042,110.9,93.7,66.0,0.022
Creighton,DePaul,93,64,118.2,97.3,68.3,0.072,103.4,95.5,70.6,0.022
Oklahoma St.,Texas Tech,73,70,107.2,94.5,68.4,0.034,109.8,90.5,67.3,-0.113
Alabama,LSU,88,82,111.0,99.5,74.8,-0.076,118.1,102.4,70.0,-0.02
Texas A&M Corpus Chris,Abilene Christian,64,78,94.3,106.0,65.7,0.029,99.1,100.2,68.4,-0.023
Alabama St.,Alabama A&M,61,58,86.2,103.4,69.7,-0.022,87.9,108.2,67.7,0.014
Middle Tennessee,UAB,66,79,97.5,108.2,69.8,0.003,100.8,102.1,65.7,0.048
Bucknell,American,72,68,96.2,102.9,69.5,0.004,101.1,104.0,68.7,-0.033
Georgia Southern,Appalachian St.,57,62,102.2,98.8,71.8,0.005,99.9,100.2,67.2,0.041
Stanford,Arizona,60,69,104.4,90.3,68.3,-0.08,111.0,91.4,69.3,-0.077
UT Arlington,Little Rock,76,65,102.3,98.4,67.7,-0.13,106.4,102.5,69.3,0.069
Southern,Arkansas Pine Bluff,73,49,97.2,104.8,66.8,0.006,79.0,104.6,66.1,-0.008
Texas St.,Arkansas St.,69,64,106.3,98.3,65.2,-0.05,104.2,107.5,67.3,0.042
Maryland Eastern Shore,Bethune Cookman,66,58,81.7,107.8,67.5,-0.024,95.4,105.8,73.0,0.012
Vermont,Binghamton,76,48,106.5,96.4,66.3,-0.027,99.7,116.9,68.6,0.073
Navy,Boston University,54,77,98.1,106.0,62.5,0.018,103.3,102.6,66.3,0.002
Ball St.,Bowling Green,71,77,99.2,94.0,68.0,-0.089,104.3,104.0,70.1,0.142
Southern Illinois,Bradley,67,69,98.2,98.6,64.2,-0.002,106.8,100.7,67.1,0.036
San Diego,BYU,71,72,94.4,99.8,70.2,-0.032,116.3,95.6,69.5,-0.028
Princeton,Brown,73,54,107.0,105.5,66.3,-0.025,96.4,101.1,69.4,0.12
Central Connecticut,Bryant,75,70,90.3,114.0,69.5,-0.014,97.8,103.8,70.3,-0.055
Cal St. Fullerton,Cal Poly,105,101,95.9,104.5,69.3,0.01,95.2,108.5,68.3,-0.038
UC Davis,Cal St. Northridge,110,98,104.7,109.4,68.0,-0.024,107.4,113.3,70.3,0.071
Hawaii,UC Irvine,63,70,97.6,101.0,68.4,0.029,105.4,99.3,67.7,-0.064
Long Beach St.,UC Riverside,65,63,94.2,105.3,70.9,0.08,95.8,99.8,63.2,-0.029
Sam Houston St.,Central Arkansas,82,67,99.5,103.7,71.1,-0.028,98.0,107.6,73.2,-0.021
UNC Asheville,Charleston Southern,79,75,98.7,110.3,71.0,0.017,95.4,109.1,66.9,0.033
Rice,Charlotte,70,54,105.8,108.4,70.1,-0.004,98.5,98.0,65.5,0.008
Furman,Chattanooga,58,53,107.7,98.1,68.2,0.041,106.6,104.8,67.0,0.025
Grand Canyon,Chicago St.,71,47,103.4,112.1,68.0,0.02,86.9,120.8,69.0,-0.029
Detroit,Cleveland St.,66,67,99.9,111.7,69.3,-0.031,92.9,105.7,67.1,0.048
Georgia St.,Coastal Carolina,92,80,105.6,101.4,73.0,-0.035,104.8,106.2,72.8,-0.033
Northeastern,Charleston,65,51,105.4,103.2,65.9,-0.113,105.0,104.9,65.9,-0.004
Wyoming,Colorado St.,70,77,94.1,100.9,66.7,-0.017,109.3,102.1,69.3,0.045
Harvard,Columbia,77,73,104.7,99.0,68.8,0.039,95.2,106.5,69.1,-0.13
South Carolina St.,Coppin St.,70,66,94.9,113.2,67.4,0.014,89.6,105.3,73.4,0.038
Dartmouth,Cornell,75,53,96.7,99.9,65.8,-0.081,101.2,110.3,65.2,-0.105
William & Mary,Delaware,81,77,103.3,105.5,67.5,0.132,105.6,106.4,68.3,0.074
Elon,Drexel,75,70,100.6,110.0,66.2,-0.013,100.0,106.7,67.3,0.002
VMI,ETSU,67,72,100.2,108.1,67.9,-0.143,100.0,106.7,67.3,0.002
UT-Martin,Eastern Illinois,80,79,100.2,108.1,67.9,-0.143,98.2,104.5,69.1,-0.05
Austin Peay,Eastern Kentucky,93,85,106.9,107.0,67.8,0.032,95.4,104.9,74.5,0.07
Portland St.,Eastern Washington,81,89,108.8,108.8,71.8,-0.0,105.4,101.1,73.1,0.121
Robert Morris,Fairleigh Dickinson,71,72,100.5,103.8,66.1,0.027,102.1,112.4,68.9,-0.027
Delaware St.,Florida A&M,95,97,94.1,117.2,74.7,-0.042,94.4,107.3,68.6,0.1
Louisiana Tech,Florida Atlantic,81,68,108.7,98.2,66.5,-0.023,99.7,101.3,68.8,-0.001
Lipscomb,Florida Gulf Coast,64,54,101.2,108.0,68.7,0.053,91.2,103.3,66.1,-0.032
Southern Miss,FIU,75,67,94.4,103.8,67.2,-0.01,103.7,102.1,72.2,0.01
George Mason,George Washington,67,73,101.3,101.3,67.0,0.056,99.2,105.8,66.6,0.02
Texas A&M,Georgia,74,69,101.0,97.2,64.5,0.098,108.2,100.8,70.5,-0.017
Prairie View A&M,Grambling St.,75,69,96.3,100.5,70.7,-0.001,93.1,105.1,68.7,0.046
Milwaukee,Green Bay,90,94,96.0,104.9,69.5,-0.015,105.8,110.5,74.0,0.045
Longwood,Hampton,76,68,91.3,105.1,67.8,-0.001,104.8,116.7,70.9,0.041
Lamar,Houston Baptist,79,69,96.3,102.5,69.6,0.003,102.9,122.3,76.1,0.002
Montana,Idaho St.,78,63,103.2,100.1,68.2,0.019,100.8,111.1,67.4,0.008
New Orleans,Incarnate Word,66,67,99.3,114.8,69.8,-0.044,90.3,112.8,66.1,0.066
Texas Southern,Jackson St.,77,74,99.1,108.6,72.9,0.086,92.8,102.3,68.7,-0.012
Belmont,Jacksonville St.,101,84,106.5,100.5,70.5,0.012,95.8,105.5,68.1,-0.078
TCU,Kansas St.,68,57,105.5,96.1,65.1,-0.005,102.5,94.2,67.2,-0.129
Stetson,Kennesaw St.,59,42,98.1,108.3,63.2,0.083,83.5,112.2,68.2,-0.042
Saint Louis,La Salle,84,69,105.8,94.4,67.6,0.026,99.6,100.4,69.1,0.057
Holy Cross,Lafayette,62,72,95.9,117.3,68.3,-0.042,100.6,105.5,66.9,0.101
Army,Lehigh,79,66,98.8,107.4,69.5,0.046,97.0,108.8,68.4,0.046
Troy,Louisiana,77,81,96.2,106.6,69.3,-0.027,101.3,106.2,71.8,0.02
South Alabama,Louisiana Monroe,50,49,104.9,103.9,65.3,0.063,96.1,103.7,64.9,-0.056
Santa Clara,Loyola Marymount,59,65,102.6,101.3,71.6,0.049,100.6,104.0,63.0,-0.022
UTEP,Marshall,61,71,96.9,98.2,67.5,-0.005,101.2,99.1,74.9,-0.037
Hartford,UMass-Lowell,67,74,94.4,101.1,68.2,0.048,101.2,99.1,74.9,-0.037
Northwestern St.,McNeese St.,84,79,98.3,107.1,72.4,0.015,103.0,112.3,69.0,-0.039
Arkansas,Mississippi St.,77,78,109.1,95.5,71.2,-0.047,113.4,99.8,66.2,-0.001
Alcorn St.,Mississippi Valley St.,92,88,96.9,111.3,70.1,0.037,89.8,117.6,77.1,-0.027
Cal St. Bakersfield,UMKC,53,59,96.2,104.9,64.9,-0.063,97.5,103.6,64.9,0.048
Murray St.,Morehead St.,85,57,102.4,99.3,68.9,-0.03,94.6,108.1,67.3,-0.001
Norfolk St.,Morgan St.,62,57,94.2,101.9,67.5,-0.052,93.2,107.5,69.6,0.039
