home,away,home_score,away_score,home_off,home_def,home_tempo,home_luck,away_off,away_def,away_tempo,away_luck
Kansas,Iowa St.,91,71,115.8,85.5,67.3,0.04,109.6,101.2,69.9,-0.092
Alcorn St.,Arkansas Pine Bluff,60,52,96.9,111.3,70.1,0.037,79.0,104.6,66.1,-0.008
Delaware St.,Bethune Cookman,70,71,94.1,117.2,74.7,-0.042,95.4,105.8,73.0,0.012
Holy Cross,Bucknell,48,69,95.9,117.3,68.3,-0.042,96.2,102.9,69.5,0.004
Norfolk St.,Coppin St.,80,60,94.2,101.9,67.5,-0.052,89.6,105.3,73.4,0.038
Maryland Eastern Shore,Florida A&M,81,71,81.7,107.8,67.5,-0.024,94.4,107.3,68.6,0.1
Texas Southern,Grambling St.,93,79,99.1,108.6,72.9,0.086,93.1,105.1,68.7,0.046
Portland St.,Idaho,90,69,108.8,108.8,71.8,-0.0,92.8,107.1,68.9,-0.023
Prairie View A&M,Jackson St.,70,61,96.3,100.5,70.7,-0.001,92.8,102.3,68.7,-0.012
Southern,Mississippi Valley St.,95,62,97.2,104.8,66.8,0.006,89.8,117.6,77.1,-0.027
South Carolina St.,Morgan St.,72,78,94.9,113.2,67.4,0.014,93.2,107.5,69.6,0.039
Notre Dame,UNC,77,76,110.7,98.6,68.1,-0.021,93.2,107.5,69.6,0.039
North Carolina A&T,North Carolina Central,77,60,92.3,102.4,73.7,0.068,94.2,103.2,66.6,0.065
St. John's,Xavier,74,77,106.1,95.2,72.9,-0.037,106.1,92.2,68.1,-0.013
