home,away,home_score,away_score,home_off,home_def,home_tempo,home_luck,away_off,away_def,away_tempo,away_luck
West Virginia,Kansas,49,58,108.3,87.1,69.4,-0.028,115.8,85.5,67.3,0.04
Georgia Tech,Louisville,64,58,103.1,91.8,70.0,-0.006,114.5,93.1,67.1,-0.003
Seton Hall,Creighton,82,87,112.3,92.7,69.8,0.006,118.2,97.3,68.3,0.072
Auburn,Alabama,95,91,111.4,95.5,69.2,0.103,111.0,99.5,74.8,-0.076
Villanova,Marquette,72,71,113.9,94.0,66.2,0.082,114.0,96.9,70.7,-0.046
Butler,Xavier,66,61,112.6,94.2,63.7,0.032,106.1,92.2,68.1,-0.013
South Florida,Houston,58,62,100.2,95.9,64.9,-0.047,112.7,92.3,65.7,-0.052
Hartford,Albany,66,60,94.4,101.1,68.2,0.048,94.3,103.9,68.5,0.011
Miami FL,Boston College,85,58,107.7,101.3,68.3,0.034,99.6,100.3,69.3,0.065
Navy,Bucknell,60,59,98.1,106.0,62.5,0.018,96.2,102.9,69.5,0.004
UC Riverside,UC Irvine,59,63,95.8,99.8,63.2,-0.029,105.4,99.3,67.7,-0.064
Niagara,Canisius,69,66,100.1,111.6,66.0,0.068,97.7,105.7,70.0,-0.04
ETSU,The Citadel,91,67,100.1,111.6,66.0,0.068,94.9,112.2,73.7,0.02
Pitt,Clemson,52,72,100.1,111.6,66.0,0.068,103.9,93.5,66.0,-0.043
SMU,UConn,79,75,112.4,103.8,64.8,0.004,103.9,93.5,66.0,-0.043
Missouri St.,Drake,97,62,104.8,100.2,68.3,-0.083,102.0,101.3,67.9,0.065
Tulsa,East Carolina,70,56,103.2,93.6,65.8,0.076,99.6,104.0,70.6,-0.01
Texas A&M,Florida,61,78,101.0,97.2,64.5,0.098,112.5,95.7,64.9,-0.047
San Jose St.,Fresno St.,78,84,97.5,107.8,73.3,0.009,105.1,104.1,64.2,-0.117
Samford,Furman,71,86,98.6,112.6,72.8,0.008,107.7,98.1,68.2,0.041
VCU,George Mason,67,72,104.7,94.4,69.0,-0.064,101.3,101.3,67.0,0.056
Lehigh,Holy Cross,89,82,97.0,108.8,68.4,0.046,95.9,117.3,68.3,-0.042
Abilene Christian,Houston Baptist,81,67,99.1,100.2,68.4,-0.023,102.9,122.3,76.1,0.002
Northern Iowa,Illinois St.,71,63,112.7,99.3,65.8,0.019,98.4,102.9,68.5,-0.005
Northwestern St.,Incarnate Word,70,60,98.3,107.1,72.4,0.015,90.3,112.8,66.1,0.066
Bradley,Indiana St.,72,61,106.8,100.7,67.1,0.036,105.8,101.2,66.4,0.043
Oklahoma,Iowa St.,90,61,108.8,93.1,69.6,0.031,109.6,101.2,69.9,-0.092
Army,Lafayette,65,48,98.8,107.4,69.5,0.046,100.6,105.5,66.9,0.101
Nicholls St.,Lamar,69,65,99.7,101.5,68.7,0.05,96.3,102.5,69.6,0.003
Hawaii,Long Beach St.,49,50,97.6,101.0,68.4,0.029,94.2,105.3,70.9,0.08
Evansville,Loyola Chicago,66,73,96.9,107.4,67.6,0.015,103.7,96.8,65.3,0.006
American,Loyola Marymount,81,76,101.1,104.0,68.7,-0.033,100.6,104.0,63.0,-0.022
UMass-Lowell,Maine,71,63,101.1,104.0,68.7,-0.033,92.9,106.8,65.9,-0.03
Wofford,Mercer,68,70,104.5,103.4,65.9,-0.019,100.1,102.7,68.1,0.014
Northwestern,Michigan,54,79,104.9,101.3,66.7,-0.087,113.2,93.0,68.7,-0.048
UAB,Middle Tennessee,83,72,100.8,102.1,65.7,0.048,97.5,108.2,69.8,0.003
Oral Roberts,Nebraska Omaha,81,78,108.2,104.9,70.4,-0.103,103.2,107.7,69.2,0.077
UNLV,Nevada,79,82,107.9,100.6,67.0,-0.019,110.3,101.0,71.0,-0.007
Vermont,New Hampshire,74,50,106.5,96.4,66.3,-0.027,95.0,102.1,68.6,0.011
Central Arkansas,New Orleans,73,68,98.0,107.6,73.2,-0.021,99.3,114.8,69.8,-0.044
St. John's,Providence,80,69,106.1,95.2,72.9,-0.037,107.8,92.8,68.4,-0.008
Towson,Regent,71,55,105.7,104.8,65.1,0.014,107.8,92.8,68.4,-0.008
La Salle,Richmond,47,74,99.6,100.4,69.1,0.057,109.2,95.3,69.3,0.044
Ohio St.,Rutgers,72,66,114.3,92.0,66.2,-0.038,107.9,90.2,67.4,-0.042
Southeastern Louisiana,Sam Houston St.,70,79,92.0,109.6,72.1,-0.008,99.5,103.7,71.1,-0.028
Georgia,South Carolina,59,75,108.2,100.8,70.5,-0.017,105.4,94.7,73.1,-0.023
Valparaiso,Southern Illinois,55,38,104.5,102.5,69.3,0.02,98.2,98.6,64.2,-0.002
Texas A&M Corpus Chris,Stephen F. Austin,67,75,94.3,106.0,65.7,0.029,104.1,97.1,71.8,0.042
Binghamton,Stony Brook,70,75,99.7,116.9,68.6,0.073,97.7,99.4,69.8,0.021
Tulane,Temple,68,72,101.9,103.1,68.7,-0.014,100.1,94.6,70.3,-0.052
Chattanooga,VMI,86,67,106.6,104.8,67.0,0.025,100.2,108.1,67.9,-0.143
UNC Greensboro,Western Carolina,82,62,103.7,95.5,67.8,-0.009,107.3,106.3,71.5,0.049
South Dakota,Western Illinois,85,72,108.6,108.9,70.0,0.011,98.3,115.0,71.3,-0.082
