home,away,predict_kp,date,draft_kings,line,home_cover,percent_chance,bet,score
Denver,Oral Roberts,-10,2021-01-16,-10.0,-10.256203654922633,0.0,0.6685832608605686,Oral Roberts,-9.0
UCLA,Washington,14,2021-01-16,15.0,16.158800414251285,1.0,0.6651155179305043,UCLA,5.0
La Salle,Davidson,-5,2021-01-16,-8.5,-10.225780274330734,0.0,0.6647014157579478,Davidson,-24.0
Southern Miss,Middle Tennessee,2,2021-01-16,2.5,2.9863322465508126,1.0,0.6597303645869785,Southern Miss,5.0
Delaware St.,Norfolk St.,-9,2021-01-16,-10.0,-9.714871555508127,0.0,0.6457985750686377,Norfolk St.,-11.0
St. John's,Marquette,-2,2021-01-16,-2.5,-3.5245543886698307,0.0,0.6427033594438825,Marquette,-2.0
Oakland,Youngstown St.,2,2021-01-16,3.0,0.5570155600823874,0.0,0.6401512642645093,Youngstown St.,7.0
USC,Washington St.,14,2021-01-16,12.5,14.787267858837804,1.0,0.6382873002142295,USC,8.0
Akron,Toledo,-5,2021-01-16,-3.5,-7.108869340801622,0.0,0.6345694322938531,Toledo,1.0
Vermont,Maine,17,2021-01-16,17.0,17.97447289189689,1.0,0.6342121173126233,Vermont,35.0
San Jose St.,Colorado St.,-18,2021-01-16,-19.5,-13.458074229647313,0.0,0.6169173677795149,Colorado St.,-27.0
Stetson,Liberty,-5,2021-01-16,-7.0,-7.771301725948978,0.0,0.609980349051527,Liberty,-10.0
Minnesota,Michigan,-4,2021-01-16,-5.5,-6.2649692274123545,0.0,0.6084667629858189,Michigan,18.0
Illinois,Ohio St.,5,2021-01-16,6.5,2.2878683980538703,0.0,0.6073898947432366,Ohio St.,-6.0
Morgan St.,Coppin St.,6,2021-01-16,7.5,8.636443409592783,1.0,0.6046112353674754,Morgan St.,20.0
Bucknell,Lehigh,4,2021-01-16,4.0,2.494380131025121,0.0,0.5954663142157552,Lehigh,5.0
Manhattan,Niagara,-2,2021-01-16,-1.5,-5.641037220318314,0.0,0.5901239993898251,Niagara,3.0
LSU,South Carolina,8,2021-01-16,7.5,9.220409990907141,1.0,0.5867783891558034,LSU,5.0
Colorado,Stanford,6,2021-01-16,7.5,6.3375153816507135,1.0,0.5848312104338962,Colorado,13.0
Furman,East Tennessee St.,9,2021-01-16,10.0,9.922439979937248,1.0,0.5766554114754648,Furman,12.0
Butler,Creighton,-9,2021-01-16,-8.0,-11.764559687874913,0.0,0.5757256981243772,Creighton,4.0
Texas Southern,Grambling St.,7,2021-01-16,6.5,8.312855289540192,1.0,0.5746684572362527,Texas Southern,-6.0
Hawaii,Cal St. Bakersfield,-2,2021-01-16,1.0,-3.2040242993803822,0.0,0.5743978064387258,Cal St. Bakersfield,-11.0
Pepperdine,Portland,12,2021-01-16,13.0,12.425411088754087,1.0,0.5733940111344522,Pepperdine,15.0
North Dakota,North Dakota St.,-6,2021-01-16,-6.0,-9.760052616094928,0.0,0.5728671368484222,North Dakota St.,4.0
Miami FL,Louisville,-4,2021-01-16,-3.5,-6.559839349514935,0.0,0.5725784782769142,Louisville,6.0
Central Michigan,Eastern Michigan,1,2021-01-16,-0.5,0.168852505084228,0.0,0.5724872784767199,Eastern Michigan,11.0
Eastern Illinois,Eastern Kentucky,-1,2021-01-16,-0.5,1.4385192577502828,1.0,0.570759543552445,Eastern Illinois,-8.0
Navy,American,7,2021-01-16,8.5,7.086829702216033,1.0,0.5702650208538924,Navy,1.0
Eastern Washington,Southern Utah,7,2021-01-16,5.5,5.747680735529723,0.0,0.5690204329084669,Southern Utah,-5.0
Tennessee,Vanderbilt,17,2021-01-16,18.0,15.699599051260858,1.0,0.5689334149607286,Tennessee,20.0
Northern Kentucky,IUPUI,5,2021-01-16,7.0,5.4944797829374865,1.0,0.5681705730627058,Northern Kentucky,-2.0
Charleston,Northeastern,-2,2021-01-16,-1.0,-1.839706752348281,1.0,0.5675484209648956,Charleston,-5.0
Mercer,Western Carolina,5,2021-01-16,6.5,4.912587601917746,0.0,0.5669294764361417,Western Carolina,2.0
Cal Poly,UC Riverside,-11,2021-01-16,-10.0,-12.474504526077785,0.0,0.5661484115013946,UC Riverside,-17.0
Montana,Northern Arizona,11,2021-01-16,12.5,9.193945495654187,0.0,0.5641161395707921,Northern Arizona,-4.0
